alias,auc,balanced_accuracy,classifier,family,folds,generated_count,generated_recall,method_id,painter_id,real_specificity,reference_count,split
gpt-image-1,0.9871632996632996,0.9462594696969697,linear,all31,16,64,0.953125,by_name,claude_monet,0.9393939393939394,297,scene
gpt-image-1,0.993108164983165,0.9529934764309764,rbf,all31,16,64,0.953125,by_name,claude_monet,0.9528619528619529,297,scene
gpt-image-1,0.9893728956228957,0.9540719696969697,linear,all31,4,64,0.96875,by_name,claude_monet,0.9393939393939394,297,block
gpt-image-1,0.9962121212121212,0.9703019781144782,rbf,all31,4,64,0.984375,by_name,claude_monet,0.9562289562289562,297,block
gpt-image-1,0.9897411616161617,0.9703019781144782,linear,all31,16,64,0.984375,style_instruction,claude_monet,0.9562289562289562,297,scene
gpt-image-1,0.9920559764309764,0.9614109848484849,rbf,all31,16,64,0.953125,style_instruction,claude_monet,0.9696969696969697,297,scene
gpt-image-1,0.991635101010101,0.9669349747474747,linear,all31,4,64,0.984375,style_instruction,claude_monet,0.9494949494949495,297,block
gpt-image-1,0.9965277777777778,0.9675399831649831,rbf,all31,4,64,0.96875,style_instruction,claude_monet,0.9663299663299664,297,block
gpt-image-1,0.9950547138047138,0.9730639730639731,linear,all31,16,64,1.0,style_aspects,claude_monet,0.9461279461279462,297,scene
gpt-image-1,0.9972117003367004,0.9804029882154882,rbf,all31,16,64,0.984375,style_aspects,claude_monet,0.9764309764309764,297,scene
gpt-image-1,0.9956334175084175,0.9747474747474747,linear,all31,4,64,1.0,style_aspects,claude_monet,0.9494949494949495,297,block
gpt-image-1,0.9988425925925926,0.9865319865319866,rbf,all31,4,64,1.0,style_aspects,claude_monet,0.9730639730639731,297,block
gpt-image-2,0.9893202861952862,0.9540719696969697,linear,all31,16,64,0.96875,by_name,claude_monet,0.9393939393939394,297,scene
gpt-image-2,0.9765361952861953,0.9474694865319866,rbf,all31,16,64,0.921875,by_name,claude_monet,0.9730639730639731,297,scene
gpt-image-2,0.9916877104377104,0.9635679713804715,linear,all31,4,64,0.984375,by_name,claude_monet,0.9427609427609428,297,block
gpt-image-2,0.9963173400673401,0.9753524831649831,rbf,all31,4,64,0.984375,by_name,claude_monet,0.9663299663299664,297,block
gpt-image-2,0.9937394781144782,0.9546769781144782,linear,all31,16,64,0.953125,style_instruction,claude_monet,0.9562289562289562,297,scene
gpt-image-2,0.9966856060606061,0.9820864898989898,rbf,all31,16,64,0.984375,style_instruction,claude_monet,0.9797979797979798,297,scene
