alias,family,generated_count,generated_to_original_variance_ratio,generated_total_variance,method_id,original_total_variance,painter_id,reference_count
gpt-image-1,all31,64,0.2492438928933788,6.121107838170062,by_name,24.558707405475086,claude_monet,297
gpt-image-1,all31,64,0.22964723050522473,5.639839140455507,style_instruction,24.558707405475086,claude_monet,297
gpt-image-1,all31,64,0.22730158571629663,5.582233136407044,style_aspects,24.558707405475086,claude_monet,297
gpt-image-2,all31,64,0.3040697294775568,7.4675595171012805,by_name,24.558707405475086,claude_monet,297
gpt-image-2,all31,64,0.20632143453433927,5.066987742206721,style_instruction,24.558707405475086,claude_monet,297
gpt-image-2,all31,64,0.20924039105960868,5.138673541440115,style_aspects,24.558707405475086,claude_monet,297
gpt-image-1,color,64,0.28748003094226693,1.9646837633054852,by_name,6.834157339088509,claude_monet,297
gpt-image-1,color,64,0.24658284000691652,1.685185925726556,style_instruction,6.834157339088509,claude_monet,297
gpt-image-1,color,64,0.23271105003095124,1.5903839304560186,style_aspects,6.834157339088509,claude_monet,297
gpt-image-2,color,64,0.3320318536578592,2.26915792948702,by_name,6.834157339088509,claude_monet,297
gpt-image-2,color,64,0.24128308646431196,1.6489665761580048,style_instruction,6.834157339088509,claude_monet,297
gpt-image-2,color,64,0.2356138341530223,1.6102220138676602,style_aspects,6.834157339088509,claude_monet,297
gpt-image-1,spatial,64,0.36238115760782635,2.7022939712961294,by_name,7.457048785689314,claude_monet,297
gpt-image-1,spatial,64,0.34345297655140467,2.5611456017340326,style_instruction,7.457048785689314,claude_monet,297
gpt-image-1,spatial,64,0.3590025567904395,2.677099580173506,style_aspects,7.457048785689314,claude_monet,297
gpt-image-2,spatial,64,0.47717865580300356,3.5583445158126468,by_name,7.457048785689314,claude_monet,297
gpt-image-2,spatial,64,0.27987933353816385,2.087073844300299,style_instruction,7.457048785689314,claude_monet,297
gpt-image-2,spatial,64,0.3175543825737496,2.3680185229618993,style_aspects,7.457048785689314,claude_monet,297
gpt-image-1,texture,64,0.14162453588412885,1.4541301035684482,by_name,10.267501280697262,claude_monet,297
gpt-image-1,texture,64,0.13572022782355928,1.393507612994919,style_instruction,10.267501280697262,claude_monet,297
gpt-image-1,texture,64,0.1280496188736035,1.3147496257775202,style_aspects,10.267501280697262,claude_monet,297
gpt-image-2,texture,64,0.15973283342899539,1.6400570718016125,by_name,10.267501280697262,claude_monet,297
gpt-image-2,texture,64,0.1296271882868499,1.3309473217484165,style_instruction,10.267501280697262,claude_monet,297
gpt-image-2,texture,64,0.11302000096091053,1.1604330046105547,style_aspects,10.267501280697262,claude_monet,297
gpt-image-1,all31,64,0.35299406774206943,6.833492211246838,by_name,19.358660203434436,alfred_sisley,106
gpt-image-1,all31,64,0.2230632545800508,4.318205749287394,style_instruction,19.358660203434436,alfred_sisley,106
gpt-image-1,all31,64,0.241703492302032,4.679055777458468,style_aspects,19.358660203434436,alfred_sisley,106
gpt-image-2,all31,64,0.3144837431562978,6.087983923266918,by_name,19.358660203434436,alfred_sisley,106
gpt-image-2,all31,64,0.22672394055697997,4.389071725226243,style_instruction,19.358660203434436,alfred_sisley,106
gpt-image-2,all31,64,0.2188424306071197,4.23649625221691,style_aspects,19.358660203434436,alfred_sisley,106
gpt-image-1,color,64,0.3696776169420231,2.185647620889051,by_name,5.912307158244391,alfred_sisley,106
gpt-image-1,color,64,0.23791050862666674,1.4066000031750057,style_instruction,5.912307158244391,alfred_sisley,106
gpt-image-1,color,64,0.23849113175857234,1.4100328254740135,style_aspects,5.912307158244391,alfred_sisley,106
gpt-image-2,color,64,0.355531736950377,2.1020128333547756,by_name,5.912307158244391,alfred_sisley,106
gpt-image-2,color,64,0.24881581155719962,1.4710755037540189,style_instruction,5.912307158244391,alfred_sisley,106
gpt-image-2,color,64,0.24028512969679214,1.4206394923260262,style_aspects,5.912307158244391,alfred_sisley,106
gpt-image-1,spatial,64,0.43724557457883456,2.8038816640517688,by_name,6.412601583795411,alfred_sisley,106
gpt-image-1,spatial,64,0.28020716102937676,1.7968568846077972,style_instruction,6.412601583795411,alfred_sisley,106
gpt-image-1,spatial,64,0.3297539299208339,2.1145805732731002,style_aspects,6.412601583795411,alfred_sisley,106
gpt-image-2,spatial,64,0.3832507880727287,2.4576346105860196,by_name,6.412601583795411,alfred_sisley,106
gpt-image-2,spatial,64,0.2718389392873725,1.7431948126114694,style_instruction,6.412601583795411,alfred_sisley,106
gpt-image-2,spatial,64,0.26267667935442796,1.684440890054324,style_aspects,6.412601583795411,alfred_sisley,106
gpt-image-1,texture,64,0.26215923841306754,1.8439629263060175,by_name,7.0337514613946315,alfred_sisley,106
gpt-image-1,texture,64,0.15848567689987175,1.1147488615045904,style_instruction,7.0337514613946315,alfred_sisley,106
gpt-image-1,texture,64,0.16412896944789904,1.1544423787113547,style_aspects,7.0337514613946315,alfred_sisley,106
gpt-image-2,texture,64,0.2172861079488711,1.5283364793261238,by_name,7.0337514613946315,alfred_sisley,106
gpt-image-2,texture,64,0.1670234462091469,1.1748014088607546,style_instruction,7.0337514613946315,alfred_sisley,106
gpt-image-2,texture,64,0.16085525285424662,1.1314158698365602,style_aspects,7.0337514613946315,alfred_sisley,106
gpt-image-1,all31,64,0.3421707564752047,5.871659824768359,by_name,17.16002818374646,camille_pissarro,141
gpt-image-1,all31,64,0.24022407441078852,4.122251887303538,style_instruction,17.16002818374646,camille_pissarro,141
gpt-image-1,all31,64,0.24047760015479036,4.126602396215914,style_aspects,17.16002818374646,camille_pissarro,141
gpt-image-2,all31,64,0.37573650684602394,6.4476490471402155,by_name,17.16002818374646,camille_pissarro,141
gpt-image-2,all31,64,0.26654939798706545,4.573995181818694,style_instruction,17.16002818374646,camille_pissarro,141
gpt-image-2,all31,64,0.25634261090618726,4.398846427845326,style_aspects,17.16002818374646,camille_pissarro,141
gpt-image-1,color,64,0.29337113097712597,1.8025902060945707,by_name,6.1444021437648475,camille_pissarro,141
gpt-image-1,color,64,0.1908213709622453,1.1724832408165673,style_instruction,6.1444021437648475,camille_pissarro,141
gpt-image-1,color,64,0.22279202687812993,1.3689238075636971,style_aspects,6.1444021437648475,camille_pissarro,141
gpt-image-2,color,64,0.26786038442655435,1.6458419203001966,by_name,6.1444021437648475,camille_pissarro,141
gpt-image-2,color,64,0.22458042779113288,1.3799124619674634,style_instruction,6.1444021437648475,camille_pissarro,141
gpt-image-2,color,64,0.251798524143318,1.5471513915430277,style_aspects,6.1444021437648475,camille_pissarro,141
gpt-image-1,spatial,64,0.5567154545110451,2.654182670141038,by_name,4.767574976829351,camille_pissarro,141
gpt-image-1,spatial,64,0.3935132586218958,1.8761039648563274,style_instruction,4.767574976829351,camille_pissarro,141
gpt-image-1,spatial,64,0.38719278423094966,1.8459706293083618,style_aspects,4.767574976829351,camille_pissarro,141
gpt-image-2,spatial,64,0.6295912267719749,3.001623378389361,by_name,4.767574976829351,camille_pissarro,141
gpt-image-2,spatial,64,0.4494067427716246,2.1425803412563824,style_instruction,4.767574976829351,camille_pissarro,141
gpt-image-2,spatial,64,0.39215548350002494,1.8696306701611345,style_aspects,4.767574976829351,camille_pissarro,141
gpt-image-1,texture,64,0.22645252643292468,1.4148869485327504,by_name,6.2480510631522606,camille_pissarro,141
gpt-image-1,texture,64,0.17183993388955404,1.0736646816306423,style_instruction,6.2480510631522606,camille_pissarro,141
gpt-image-1,texture,64,0.1459187753315002,0.9117079593438556,style_aspects,6.2480510631522606,camille_pissarro,141
gpt-image-2,texture,64,0.28811924394587607,1.8001837484506564,by_name,6.2480510631522606,camille_pissarro,141
gpt-image-2,texture,64,0.16829285931993418,1.0515023785948485,style_instruction,6.2480510631522606,camille_pissarro,141
gpt-image-2,texture,64,0.15717931179097877,0.9820643661411655,style_aspects,6.2480510631522606,camille_pissarro,141
gpt-image-1,all31,64,0.3089570791880468,4.704022320640092,by_name,15.22548806132708,paul_cezanne,105
gpt-image-1,all31,64,0.25452149221102216,3.8752139410100717,style_instruction,15.22548806132708,paul_cezanne,105
gpt-image-1,all31,64,0.2618864683531974,3.987349297334719,style_aspects,15.22548806132708,paul_cezanne,105
gpt-image-2,all31,64,0.2944982389773271,4.483879421631143,by_name,15.22548806132708,paul_cezanne,105
gpt-image-2,all31,64,0.25379641045480944,3.8641742173873688,style_instruction,15.22548806132708,paul_cezanne,105
gpt-image-2,all31,64,0.24850403307606694,3.783595188791287,style_aspects,15.22548806132708,paul_cezanne,105
gpt-image-1,color,64,0.29312575326139995,1.3812708051249625,by_name,4.712212385832883,paul_cezanne,105
gpt-image-1,color,64,0.204133273637731,0.9619193403963292,style_instruction,4.712212385832883,paul_cezanne,105
gpt-image-1,color,64,0.20370025631099273,0.9598788707859929,style_aspects,4.712212385832883,paul_cezanne,105
gpt-image-2,color,64,0.24916686937342516,1.1741272080006582,by_name,4.712212385832883,paul_cezanne,105
gpt-image-2,color,64,0.2108733907401825,0.9936802036884651,style_instruction,4.712212385832883,paul_cezanne,105
gpt-image-2,color,64,0.2092415477458073,0.9859906129186358,style_aspects,4.712212385832883,paul_cezanne,105
gpt-image-1,spatial,64,0.5298013860097586,2.109713149048542,by_name,3.9820831065354794,paul_cezanne,105
gpt-image-1,spatial,64,0.4261144944054663,1.6968233296219144,style_instruction,3.9820831065354794,paul_cezanne,105
gpt-image-1,spatial,64,0.4981924225693654,1.9838436297174549,style_aspects,3.9820831065354794,paul_cezanne,105
gpt-image-2,spatial,64,0.5330138511685348,2.1225054522876388,by_name,3.9820831065354794,paul_cezanne,105
