membership_id,content_counts.built,content_counts.land,content_counts.water,image_ids.n
jpeg90_512:flux_2_max:claude_monet:artist_free,24,24,24,72
jpeg90_512:flux_2_max:claude_monet:named,24,24,24,72
jpeg90_512:flux_2_max:paul_cezanne:artist_free,24,24,24,72
jpeg90_512:flux_2_max:paul_cezanne:named,24,24,24,72
jpeg90_512:nano_banana_2:claude_monet:artist_free,24,24,24,72
jpeg90_512:nano_banana_2:claude_monet:named,24,24,24,72
jpeg90_512:nano_banana_2:paul_cezanne:artist_free,24,24,24,72
jpeg90_512:nano_banana_2:paul_cezanne:named,24,24,24,72
jpeg90_512:oauth_gpt_image_2:claude_monet:artist_free,24,24,24,72
jpeg90_512:oauth_gpt_image_2:claude_monet:generic_named,24,24,24,72
jpeg90_512:oauth_gpt_image_2:claude_monet:named,24,24,24,72
jpeg90_512:oauth_gpt_image_2:paul_cezanne:artist_free,24,24,24,72
jpeg90_512:oauth_gpt_image_2:paul_cezanne:generic_named,23,24,23,70
jpeg90_512:oauth_gpt_image_2:paul_cezanne:named,24,24,24,72
jpeg90_512:reference:claude_monet,4,13,21,38
jpeg90_512:reference:paul_cezanne,11,18,3,32
primary512:flux_2_max:claude_monet:artist_free,24,24,24,72
primary512:flux_2_max:claude_monet:named,24,24,24,72
primary512:flux_2_max:paul_cezanne:artist_free,24,24,24,72
primary512:flux_2_max:paul_cezanne:named,24,24,24,72
primary512:nano_banana_2:claude_monet:artist_free,24,24,24,72
primary512:nano_banana_2:claude_monet:named,24,24,24,72
primary512:nano_banana_2:paul_cezanne:artist_free,24,24,24,72
primary512:nano_banana_2:paul_cezanne:named,24,24,24,72
primary512:oauth_gpt_image_2:claude_monet:artist_free,24,24,24,72
primary512:oauth_gpt_image_2:claude_monet:generic_named,24,24,24,72
primary512:oauth_gpt_image_2:claude_monet:named,24,24,24,72
primary512:oauth_gpt_image_2:paul_cezanne:artist_free,24,24,24,72
primary512:oauth_gpt_image_2:paul_cezanne:generic_named,23,24,23,70
primary512:oauth_gpt_image_2:paul_cezanne:named,24,24,24,72
primary512:reference:claude_monet,4,13,21,38
primary512:reference:paul_cezanne,11,18,3,32
resolution256:flux_2_max:claude_monet:artist_free,24,24,24,72
resolution256:flux_2_max:claude_monet:named,24,24,24,72
resolution256:flux_2_max:paul_cezanne:artist_free,24,24,24,72
resolution256:flux_2_max:paul_cezanne:named,24,24,24,72
resolution256:nano_banana_2:claude_monet:artist_free,24,24,24,72
resolution256:nano_banana_2:claude_monet:named,24,24,24,72
resolution256:nano_banana_2:paul_cezanne:artist_free,24,24,24,72
resolution256:nano_banana_2:paul_cezanne:named,24,24,24,72
resolution256:oauth_gpt_image_2:claude_monet:artist_free,24,24,24,72
resolution256:oauth_gpt_image_2:claude_monet:generic_named,24,24,24,72
resolution256:oauth_gpt_image_2:claude_monet:named,24,24,24,72
resolution256:oauth_gpt_image_2:paul_cezanne:artist_free,24,24,24,72
resolution256:oauth_gpt_image_2:paul_cezanne:generic_named,23,24,23,70
resolution256:oauth_gpt_image_2:paul_cezanne:named,24,24,24,72
resolution256:reference:claude_monet,4,13,21,38
resolution256:reference:paul_cezanne,11,18,3,32
