painter_id,route,condition,k,status,mode,sample_size,reference_n,coverage,reason,size_label,coverage.n,maximum,median,minimum,per_reference_hit_frequency.n,quantile05,quantile95,sample_design_index
claude_monet,flux_2_max,artist_free,1,available,all_available,72,38,0.39473684210526316,,,,,,,,,,
claude_monet,flux_2_max,artist_free,1,available,uniform,19,38,,,half_reference_n,100,0.34210526315789475,0.21052631578947367,0.13157894736842105,38,0.15657894736842104,0.2907894736842105,0
claude_monet,flux_2_max,artist_free,1,available,reference_class_counts,19,38,,,half_reference_n,100,0.39473684210526316,0.23684210526315788,0.07894736842105263,38,0.13026315789473683,0.3157894736842105,1
claude_monet,flux_2_max,artist_free,1,available,uniform,38,38,,,reference_n,100,0.39473684210526316,0.2894736842105263,0.18421052631578946,38,0.21052631578947367,0.3684210526315789,2
claude_monet,flux_2_max,artist_free,1,available,reference_class_counts,38,38,,,reference_n,100,0.3684210526315789,0.3026315789473684,0.21052631578947367,38,0.23684210526315788,0.34210526315789475,3
claude_monet,flux_2_max,artist_free,3,available,all_available,72,38,0.5526315789473685,,,,,,,,,,
claude_monet,flux_2_max,artist_free,3,available,uniform,19,38,,,half_reference_n,100,0.47368421052631576,0.3684210526315789,0.23684210526315788,38,0.2894736842105263,0.4223684210526315,0
claude_monet,flux_2_max,artist_free,3,available,reference_class_counts,19,38,,,half_reference_n,100,0.5,0.3684210526315789,0.21052631578947367,38,0.2894736842105263,0.4473684210526316,1
claude_monet,flux_2_max,artist_free,3,available,uniform,38,38,,,reference_n,100,0.5263157894736842,0.47368421052631576,0.3157894736842105,38,0.3684210526315789,0.5263157894736842,2
claude_monet,flux_2_max,artist_free,3,available,reference_class_counts,38,38,,,reference_n,100,0.5263157894736842,0.47368421052631576,0.3684210526315789,38,0.42105263157894735,0.5,3
claude_monet,flux_2_max,artist_free,5,available,all_available,72,38,0.5789473684210527,,,,,,,,,,
claude_monet,flux_2_max,artist_free,5,available,uniform,19,38,,,half_reference_n,100,0.5789473684210527,0.47368421052631576,0.3684210526315789,38,0.39473684210526316,0.5526315789473685,0
claude_monet,flux_2_max,artist_free,5,available,reference_class_counts,19,38,,,half_reference_n,100,0.5789473684210527,0.47368421052631576,0.3157894736842105,38,0.39473684210526316,0.5526315789473685,1
claude_monet,flux_2_max,artist_free,5,available,uniform,38,38,,,reference_n,100,0.5789473684210527,0.5526315789473685,0.47368421052631576,38,0.4986842105263158,0.5789473684210527,2
claude_monet,flux_2_max,artist_free,5,available,reference_class_counts,38,38,,,reference_n,100,0.5789473684210527,0.5526315789473685,0.5,38,0.5,0.5789473684210527,3
claude_monet,flux_2_max,named,1,available,all_available,72,38,0.42105263157894735,,,,,,,,,,
claude_monet,flux_2_max,named,1,available,uniform,19,38,,,half_reference_n,100,0.3684210526315789,0.2894736842105263,0.18421052631578946,38,0.23552631578947367,0.34210526315789475,0
claude_monet,flux_2_max,named,1,available,reference_class_counts,19,38,,,half_reference_n,100,0.3684210526315789,0.2631578947368421,0.21052631578947367,38,0.21052631578947367,0.34210526315789475,1
claude_monet,flux_2_max,named,1,available,uniform,38,38,,,reference_n,100,0.42105263157894735,0.34210526315789475,0.2894736842105263,38,0.3157894736842105,0.39473684210526316,2
claude_monet,flux_2_max,named,1,available,reference_class_counts,38,38,,,reference_n,100,0.39473684210526316,0.34210526315789475,0.2894736842105263,38,0.3157894736842105,0.39473684210526316,3
claude_monet,flux_2_max,named,3,available,all_available,72,38,0.7894736842105263,,,,,,,,,,
claude_monet,flux_2_max,named,3,available,uniform,19,38,,,half_reference_n,100,0.7368421052631579,0.5921052631578947,0.4473684210526316,38,0.47368421052631576,0.6842105263157895,0
claude_monet,flux_2_max,named,3,available,reference_class_counts,19,38,,,half_reference_n,100,0.6842105263157895,0.5789473684210527,0.42105263157894735,38,0.47368421052631576,0.6842105263157895,1
claude_monet,flux_2_max,named,3,available,uniform,38,38,,,reference_n,100,0.7894736842105263,0.7105263157894737,0.6052631578947368,38,0.631578947368421,0.7644736842105263,2
claude_monet,flux_2_max,named,3,available,reference_class_counts,38,38,,,reference_n,100,0.7894736842105263,0.7105263157894737,0.6052631578947368,38,0.6302631578947369,0.7631578947368421,3
claude_monet,flux_2_max,named,5,available,all_available,72,38,0.9210526315789473,,,,,,,,,,
claude_monet,flux_2_max,named,5,available,uniform,19,38,,,half_reference_n,100,0.9210526315789473,0.7894736842105263,0.631578947368421,38,0.6828947368421053,0.868421052631579,0
claude_monet,flux_2_max,named,5,available,reference_class_counts,19,38,,,half_reference_n,100,0.868421052631579,0.7368421052631579,0.631578947368421,38,0.6578947368421053,0.8421052631578947,1
claude_monet,flux_2_max,named,5,available,uniform,38,38,,,reference_n,100,0.9210526315789473,0.868421052631579,0.7631578947368421,38,0.7894736842105263,0.9210526315789473,2
claude_monet,flux_2_max,named,5,available,reference_class_counts,38,38,,,reference_n,100,0.9210526315789473,0.8421052631578947,0.7368421052631579,38,0.7894736842105263,0.9210526315789473,3
claude_monet,nano_banana_2,artist_free,1,available,all_available,72,38,0.18421052631578946,,,,,,,,,,
claude_monet,nano_banana_2,artist_free,1,available,uniform,19,38,,,half_reference_n,100,0.18421052631578946,0.07894736842105263,0.0,38,0.02631578947368421,0.15789473684210525,0
claude_monet,nano_banana_2,artist_free,1,available,reference_class_counts,19,38,,,half_reference_n,100,0.13157894736842105,0.05263157894736842,0.0,38,0.02631578947368421,0.10526315789473684,1
claude_monet,nano_banana_2,artist_free,1,available,uniform,38,38,,,reference_n,100,0.18421052631578946,0.13157894736842105,0.02631578947368421,38,0.07894736842105263,0.18421052631578946,2
claude_monet,nano_banana_2,artist_free,1,available,reference_class_counts,38,38,,,reference_n,100,0.18421052631578946,0.07894736842105263,0.02631578947368421,38,0.05263157894736842,0.13157894736842105,3
claude_monet,nano_banana_2,artist_free,3,available,all_available,72,38,0.2894736842105263,,,,,,,,,,
claude_monet,nano_banana_2,artist_free,3,available,uniform,19,38,,,half_reference_n,100,0.2631578947368421,0.18421052631578946,0.10526315789473684,38,0.13157894736842105,0.23684210526315788,0
claude_monet,nano_banana_2,artist_free,3,available,reference_class_counts,19,38,,,half_reference_n,100,0.23684210526315788,0.18421052631578946,0.07894736842105263,38,0.07894736842105263,0.23684210526315788,1
claude_monet,nano_banana_2,artist_free,3,available,uniform,38,38,,,reference_n,100,0.2894736842105263,0.23684210526315788,0.15789473684210525,38,0.20921052631578946,0.2894736842105263,2
claude_monet,nano_banana_2,artist_free,3,available,reference_class_counts,38,38,,,reference_n,100,0.2894736842105263,0.21052631578947367,0.13157894736842105,38,0.18421052631578946,0.2631578947368421,3
claude_monet,nano_banana_2,artist_free,5,available,all_available,72,38,0.34210526315789475,,,,,,,,,,
claude_monet,nano_banana_2,artist_free,5,available,uniform,19,38,,,half_reference_n,100,0.34210526315789475,0.21052631578947367,0.10526315789473684,38,0.13157894736842105,0.3157894736842105,0
claude_monet,nano_banana_2,artist_free,5,available,reference_class_counts,19,38,,,half_reference_n,100,0.3157894736842105,0.21052631578947367,0.07894736842105263,38,0.10526315789473684,0.2894736842105263,1
claude_monet,nano_banana_2,artist_free,5,available,uniform,38,38,,,reference_n,100,0.34210526315789475,0.2894736842105263,0.18421052631578946,38,0.21052631578947367,0.34210526315789475,2
claude_monet,nano_banana_2,artist_free,5,available,reference_class_counts,38,38,,,reference_n,100,0.34210526315789475,0.2631578947368421,0.15789473684210525,38,0.18421052631578946,0.3157894736842105,3
claude_monet,nano_banana_2,named,1,available,all_available,72,38,0.18421052631578946,,,,,,,,,,
claude_monet,nano_banana_2,named,1,available,uniform,19,38,,,half_reference_n,100,0.18421052631578946,0.13157894736842105,0.07894736842105263,38,0.10526315789473684,0.15789473684210525,0
claude_monet,nano_banana_2,named,1,available,reference_class_counts,19,38,,,half_reference_n,100,0.18421052631578946,0.13157894736842105,0.05263157894736842,38,0.07894736842105263,0.15789473684210525,1
claude_monet,nano_banana_2,named,1,available,uniform,38,38,,,reference_n,100,0.18421052631578946,0.15789473684210525,0.10526315789473684,38,0.13157894736842105,0.18421052631578946,2
claude_monet,nano_banana_2,named,1,available,reference_class_counts,38,38,,,reference_n,100,0.18421052631578946,0.15789473684210525,0.13157894736842105,38,0.13157894736842105,0.18421052631578946,3
claude_monet,nano_banana_2,named,3,available,all_available,72,38,0.5789473684210527,,,,,,,,,,
claude_monet,nano_banana_2,named,3,available,uniform,19,38,,,half_reference_n,100,0.5263157894736842,0.42105263157894735,0.21052631578947367,38,0.2894736842105263,0.5,0
claude_monet,nano_banana_2,named,3,available,reference_class_counts,19,38,,,half_reference_n,100,0.5,0.39473684210526316,0.15789473684210525,38,0.23684210526315788,0.47368421052631576,1
claude_monet,nano_banana_2,named,3,available,uniform,38,38,,,reference_n,100,0.5789473684210527,0.5,0.3157894736842105,38,0.4473684210526316,0.5789473684210527,2
claude_monet,nano_banana_2,named,3,available,reference_class_counts,38,38,,,reference_n,100,0.5526315789473685,0.4473684210526316,0.2894736842105263,38,0.41973684210526313,0.5263157894736842,3
claude_monet,nano_banana_2,named,5,available,all_available,72,38,0.6842105263157895,,,,,,,,,,
claude_monet,nano_banana_2,named,5,available,uniform,19,38,,,half_reference_n,100,0.631578947368421,0.5,0.34210526315789475,38,0.3684210526315789,0.6052631578947368,0
claude_monet,nano_banana_2,named,5,available,reference_class_counts,19,38,,,half_reference_n,100,0.6052631578947368,0.4473684210526316,0.23684210526315788,38,0.3671052631578947,0.5526315789473685,1
