painter_id,domain,descriptor,value,n,route,condition
claude_monet,original,border_counts,False,35,,
claude_monet,original,border_counts,True,3,,
claude_monet,original,capture_workflow_counts,unresolved,38,,
claude_monet,original,color_profile_counts,embedded_to_srgb,5,,
claude_monet,original,color_profile_counts,missing_assumed_srgb,33,,
claude_monet,original,format_counts,unknown,38,,
claude_monet,original,source_proxy_counts,collection:Q1068063,1,,
claude_monet,original,source_proxy_counts,collection:Q106857407,2,,
claude_monet,original,source_proxy_counts,collection:Q1189960,1,,
claude_monet,original,source_proxy_counts,collection:Q125634,1,,
claude_monet,original,source_proxy_counts,collection:Q1319192,1,,
claude_monet,original,source_proxy_counts,collection:Q1327886,7,,
claude_monet,original,source_proxy_counts,collection:Q1341595,1,,
claude_monet,original,source_proxy_counts,collection:Q1372546,1,,
claude_monet,original,source_proxy_counts,collection:Q14917275,1,,
claude_monet,original,source_proxy_counts,collection:Q1574475,2,,
claude_monet,original,source_proxy_counts,collection:Q1741629,1,,
claude_monet,original,source_proxy_counts,collection:Q180788,1,,
claude_monet,original,source_proxy_counts,collection:Q194622,1,,
claude_monet,original,source_proxy_counts,collection:Q1952944+Q23402,1,,
claude_monet,original,source_proxy_counts,collection:Q2277827,1,,
claude_monet,original,source_proxy_counts,collection:Q23402,3,,
claude_monet,original,source_proxy_counts,collection:Q23402+Q3086934,1,,
claude_monet,original,source_proxy_counts,collection:Q2495870,1,,
claude_monet,original,source_proxy_counts,collection:Q4013975,1,,
claude_monet,original,source_proxy_counts,collection:Q403080,1,,
claude_monet,original,source_proxy_counts,collection:Q49133,2,,
claude_monet,original,source_proxy_counts,collection:Q510324,1,,
claude_monet,original,source_proxy_counts,collection:Q64337658+Q679075,1,,
claude_monet,original,source_proxy_counts,collection:Q700959,1,,
claude_monet,original,source_proxy_counts,collection:Q812285,1,,
claude_monet,original,source_proxy_counts,collection:Q953345,2,,
claude_monet,original,square_counts,0,38,,
claude_monet,generated,border_counts,unknown,72,flux_2_max,artist_free
claude_monet,generated,capture_workflow_counts,not_applicable_generated,72,flux_2_max,artist_free
claude_monet,generated,color_profile_counts,missing_assumed_srgb,72,flux_2_max,artist_free
claude_monet,generated,format_counts,PNG,72,flux_2_max,artist_free
claude_monet,generated,source_proxy_counts,route:flux_2_max,72,flux_2_max,artist_free
claude_monet,generated,square_counts,1,72,flux_2_max,artist_free
claude_monet,generated,border_counts,unknown,72,flux_2_max,named
claude_monet,generated,capture_workflow_counts,not_applicable_generated,72,flux_2_max,named
claude_monet,generated,color_profile_counts,missing_assumed_srgb,72,flux_2_max,named
claude_monet,generated,format_counts,PNG,72,flux_2_max,named
claude_monet,generated,source_proxy_counts,route:flux_2_max,72,flux_2_max,named
claude_monet,generated,square_counts,1,72,flux_2_max,named
claude_monet,generated,border_counts,unknown,72,nano_banana_2,artist_free
claude_monet,generated,capture_workflow_counts,not_applicable_generated,72,nano_banana_2,artist_free
claude_monet,generated,color_profile_counts,missing_assumed_srgb,72,nano_banana_2,artist_free
claude_monet,generated,format_counts,JPEG,72,nano_banana_2,artist_free
claude_monet,generated,source_proxy_counts,route:nano_banana_2,72,nano_banana_2,artist_free
claude_monet,generated,square_counts,1,72,nano_banana_2,artist_free
claude_monet,generated,border_counts,unknown,72,nano_banana_2,named
claude_monet,generated,capture_workflow_counts,not_applicable_generated,72,nano_banana_2,named
claude_monet,generated,color_profile_counts,missing_assumed_srgb,72,nano_banana_2,named
claude_monet,generated,format_counts,JPEG,72,nano_banana_2,named
claude_monet,generated,source_proxy_counts,route:nano_banana_2,72,nano_banana_2,named
claude_monet,generated,square_counts,1,72,nano_banana_2,named
claude_monet,generated,border_counts,unknown,72,oauth_gpt_image_2,artist_free
claude_monet,generated,capture_workflow_counts,not_applicable_generated,72,oauth_gpt_image_2,artist_free
claude_monet,generated,color_profile_counts,missing_assumed_srgb,72,oauth_gpt_image_2,artist_free
claude_monet,generated,format_counts,PNG,72,oauth_gpt_image_2,artist_free
claude_monet,generated,source_proxy_counts,route:oauth_gpt_image_2,72,oauth_gpt_image_2,artist_free
claude_monet,generated,square_counts,0,71,oauth_gpt_image_2,artist_free
