painter_id,domain,descriptor,maximum,median,minimum,n_available,quantile05,quantile95,route,condition
claude_monet,original,absolute_log_aspect_ratio,0.7036184804272407,0.2876859304913567,0.04473589384139152,38,0.11085647569613356,0.5497808184198743,,
claude_monet,original,aspect_ratio,2.0210526315789474,1.3108495542887821,0.6412825651302605,38,1.0862477109294744,1.732973944294699,,
claude_monet,original,border_flag,1.0,0.0,0.0,38,0.0,1.0,,
claude_monet,original,delivered_short_side,1673.0,764.0,597.0,38,603.85,1258.3999999999994,,
claude_monet,original,embedded_profile,1.0,0.0,0.0,38,0.0,1.0,,
claude_monet,original,log_delivered_pixel_count,14.982454166008651,13.515269746255935,13.258850397854484,38,13.270258932215553,14.692131499078055,,
claude_monet,original,parent_surrogate_short_side,2991.0,826.5,643.0,38,656.75,2478.7499999999995,,
claude_monet,original,square,0.0,0.0,0.0,38,0.0,0.0,,
claude_monet,generated,absolute_log_aspect_ratio,0.0,0.0,0.0,72,0.0,0.0,flux_2_max,artist_free
claude_monet,generated,aspect_ratio,1.0,1.0,1.0,72,1.0,1.0,flux_2_max,artist_free
claude_monet,generated,border_flag,,,,0,,,flux_2_max,artist_free
claude_monet,generated,delivered_short_side,1024.0,1024.0,1024.0,72,1024.0,1024.0,flux_2_max,artist_free
claude_monet,generated,embedded_profile,0.0,0.0,0.0,72,0.0,0.0,flux_2_max,artist_free
claude_monet,generated,log_delivered_pixel_count,13.862943611198906,13.862943611198906,13.862943611198906,72,13.862943611198906,13.862943611198906,flux_2_max,artist_free
claude_monet,generated,parent_surrogate_short_side,,,,0,,,flux_2_max,artist_free
claude_monet,generated,square,1.0,1.0,1.0,72,1.0,1.0,flux_2_max,artist_free
claude_monet,generated,absolute_log_aspect_ratio,0.0,0.0,0.0,72,0.0,0.0,flux_2_max,named
claude_monet,generated,aspect_ratio,1.0,1.0,1.0,72,1.0,1.0,flux_2_max,named
claude_monet,generated,border_flag,,,,0,,,flux_2_max,named
claude_monet,generated,delivered_short_side,1024.0,1024.0,1024.0,72,1024.0,1024.0,flux_2_max,named
claude_monet,generated,embedded_profile,0.0,0.0,0.0,72,0.0,0.0,flux_2_max,named
claude_monet,generated,log_delivered_pixel_count,13.862943611198906,13.862943611198906,13.862943611198906,72,13.862943611198906,13.862943611198906,flux_2_max,named
claude_monet,generated,parent_surrogate_short_side,,,,0,,,flux_2_max,named
claude_monet,generated,square,1.0,1.0,1.0,72,1.0,1.0,flux_2_max,named
claude_monet,generated,absolute_log_aspect_ratio,0.0,0.0,0.0,72,0.0,0.0,nano_banana_2,artist_free
claude_monet,generated,aspect_ratio,1.0,1.0,1.0,72,1.0,1.0,nano_banana_2,artist_free
claude_monet,generated,border_flag,,,,0,,,nano_banana_2,artist_free
claude_monet,generated,delivered_short_side,1024.0,1024.0,1024.0,72,1024.0,1024.0,nano_banana_2,artist_free
claude_monet,generated,embedded_profile,0.0,0.0,0.0,72,0.0,0.0,nano_banana_2,artist_free
claude_monet,generated,log_delivered_pixel_count,13.862943611198906,13.862943611198906,13.862943611198906,72,13.862943611198906,13.862943611198906,nano_banana_2,artist_free
claude_monet,generated,parent_surrogate_short_side,,,,0,,,nano_banana_2,artist_free
claude_monet,generated,square,1.0,1.0,1.0,72,1.0,1.0,nano_banana_2,artist_free
claude_monet,generated,absolute_log_aspect_ratio,0.0,0.0,0.0,72,0.0,0.0,nano_banana_2,named
claude_monet,generated,aspect_ratio,1.0,1.0,1.0,72,1.0,1.0,nano_banana_2,named
claude_monet,generated,border_flag,,,,0,,,nano_banana_2,named
claude_monet,generated,delivered_short_side,1024.0,1024.0,1024.0,72,1024.0,1024.0,nano_banana_2,named
claude_monet,generated,embedded_profile,0.0,0.0,0.0,72,0.0,0.0,nano_banana_2,named
