condition,excluded_pairs.n,interaction_definition,interaction_terms.cross_twice,interaction_terms.energy,interaction_terms.generated_within,interaction_terms.reference_within,metric_view,n_common_pairs,pipeline,route,status,target.built,target.land,target.water,interaction_change
artist_free,0,"E(A,A) + E(B,B) - E(A,B) - E(B,A); negative favors own",-0.062443245498837285,-0.06244324549883551,0.0,0.0,original31,72,jpeg90_512,flux_2_max,descriptive,0.3333333333333333,0.3333333333333333,0.3333333333333333,
named,0,"E(A,A) + E(B,B) - E(A,B) - E(B,A); negative favors own",-1.7663970296307738,-1.7663970296307738,0.0,0.0,original31,72,jpeg90_512,flux_2_max,descriptive,0.3333333333333333,0.3333333333333333,0.3333333333333333,
named_minus_artist_free_interaction,,,,,,,original31,,jpeg90_512,flux_2_max,descriptive,0.3333333333333333,0.3333333333333333,0.3333333333333333,-1.7039537841319383
artist_free,0,"E(A,A) + E(B,B) - E(A,B) - E(B,A); negative favors own",0.0997640974030709,0.0997640974030709,0.0,0.0,original31,72,jpeg90_512,nano_banana_2,descriptive,0.3333333333333333,0.3333333333333333,0.3333333333333333,
named,0,"E(A,A) + E(B,B) - E(A,B) - E(B,A); negative favors own",-0.834370396236821,-0.8343703962368183,0.0,0.0,original31,72,jpeg90_512,nano_banana_2,descriptive,0.3333333333333333,0.3333333333333333,0.3333333333333333,
named_minus_artist_free_interaction,,,,,,,original31,,jpeg90_512,nano_banana_2,descriptive,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.9341344936398892
artist_free,0,"E(A,A) + E(B,B) - E(A,B) - E(B,A); negative favors own",-0.043177566306786375,-0.043177566306785486,0.0,0.0,original31,72,jpeg90_512,oauth_gpt_image_2,descriptive,0.3333333333333333,0.3333333333333333,0.3333333333333333,
named,0,"E(A,A) + E(B,B) - E(A,B) - E(B,A); negative favors own",-1.7472647866197146,-1.7472647866197155,0.0,0.0,original31,72,jpeg90_512,oauth_gpt_image_2,descriptive,0.3333333333333333,0.3333333333333333,0.3333333333333333,
named_minus_artist_free_interaction,,,,,,,original31,,jpeg90_512,oauth_gpt_image_2,descriptive,0.3333333333333333,0.3333333333333333,0.3333333333333333,-1.70408722031293
artist_free,0,"E(A,A) + E(B,B) - E(A,B) - E(B,A); negative favors own",-0.04430327042540405,-0.04430327042540316,0.0,0.0,nonredundant28,72,jpeg90_512,flux_2_max,descriptive,0.3333333333333333,0.3333333333333333,0.3333333333333333,
named,0,"E(A,A) + E(B,B) - E(A,B) - E(B,A); negative favors own",-1.2506618873946689,-1.2506618873946689,0.0,0.0,nonredundant28,72,jpeg90_512,flux_2_max,descriptive,0.3333333333333333,0.3333333333333333,0.3333333333333333,
named_minus_artist_free_interaction,,,,,,,nonredundant28,,jpeg90_512,flux_2_max,descriptive,0.3333333333333333,0.3333333333333333,0.3333333333333333,-1.2063586169692657
artist_free,0,"E(A,A) + E(B,B) - E(A,B) - E(B,A); negative favors own",0.09590907437848095,0.09590907437848095,0.0,0.0,nonredundant28,72,jpeg90_512,nano_banana_2,descriptive,0.3333333333333333,0.3333333333333333,0.3333333333333333,
named,0,"E(A,A) + E(B,B) - E(A,B) - E(B,A); negative favors own",-0.6738217136600415,-0.6738217136600424,0.0,0.0,nonredundant28,72,jpeg90_512,nano_banana_2,descriptive,0.3333333333333333,0.3333333333333333,0.3333333333333333,
named_minus_artist_free_interaction,,,,,,,nonredundant28,,jpeg90_512,nano_banana_2,descriptive,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.7697307880385234
artist_free,0,"E(A,A) + E(B,B) - E(A,B) - E(B,A); negative favors own",-0.041950486296068235,-0.04195048629606912,0.0,0.0,nonredundant28,72,jpeg90_512,oauth_gpt_image_2,descriptive,0.3333333333333333,0.3333333333333333,0.3333333333333333,
named,0,"E(A,A) + E(B,B) - E(A,B) - E(B,A); negative favors own",-1.2893707826778904,-1.2893707826778904,0.0,0.0,nonredundant28,72,jpeg90_512,oauth_gpt_image_2,descriptive,0.3333333333333333,0.3333333333333333,0.3333333333333333,
named_minus_artist_free_interaction,,,,,,,nonredundant28,,jpeg90_512,oauth_gpt_image_2,descriptive,0.3333333333333333,0.3333333333333333,0.3333333333333333,-1.2474202963818213
artist_free,0,"E(A,A) + E(B,B) - E(A,B) - E(B,A); negative favors own",-0.021910403902364095,-0.021910403902364095,0.0,0.0,family_balanced31,72,jpeg90_512,flux_2_max,descriptive,0.3333333333333333,0.3333333333333333,0.3333333333333333,
named,0,"E(A,A) + E(B,B) - E(A,B) - E(B,A); negative favors own",-0.5330928588879087,-0.5330928588879087,0.0,0.0,family_balanced31,72,jpeg90_512,flux_2_max,descriptive,0.3333333333333333,0.3333333333333333,0.3333333333333333,
named_minus_artist_free_interaction,,,,,,,family_balanced31,,jpeg90_512,flux_2_max,descriptive,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.5111824549855446
artist_free,0,"E(A,A) + E(B,B) - E(A,B) - E(B,A); negative favors own",0.032196167508880436,0.032196167508880436,0.0,0.0,family_balanced31,72,jpeg90_512,nano_banana_2,descriptive,0.3333333333333333,0.3333333333333333,0.3333333333333333,
named,0,"E(A,A) + E(B,B) - E(A,B) - E(B,A); negative favors own",-0.2745671817793869,-0.2745671817793869,0.0,0.0,family_balanced31,72,jpeg90_512,nano_banana_2,descriptive,0.3333333333333333,0.3333333333333333,0.3333333333333333,
named_minus_artist_free_interaction,,,,,,,family_balanced31,,jpeg90_512,nano_banana_2,descriptive,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.3067633492882673
