after,before,distinct_briefs,endpoint_index,estimate,excluded_groups.n,matched_image_ids.n,painter_id,pairs,route,status,strategy
named,artist_free,24,0,-0.8462288639576294,0,72,claude_monet,72,nano_banana_2,descriptive,all_selected
named,artist_free,24,1,-1.8175772241443595,0,72,paul_cezanne,72,nano_banana_2,descriptive,all_selected
named,artist_free,24,2,-0.6246466296754083,0,72,claude_monet,72,flux_2_max,descriptive,all_selected
named,artist_free,24,3,-0.8955934771671753,0,72,paul_cezanne,72,flux_2_max,descriptive,all_selected
named,artist_free,24,4,-0.23388273913787114,0,72,claude_monet,72,oauth_gpt_image_2,descriptive,all_selected
named,artist_free,24,5,-0.05605472263494658,0,72,paul_cezanne,72,oauth_gpt_image_2,descriptive,all_selected
named,generic_named,24,6,-0.03747130264123524,0,72,claude_monet,72,oauth_gpt_image_2,descriptive,all_selected
named,generic_named,24,7,-0.2723421801183914,0,70,paul_cezanne,70,oauth_gpt_image_2,descriptive,all_selected
named,artist_free,24,0,-0.8462288639576294,1,72,claude_monet,72,nano_banana_2,descriptive,exclude_retry_groups
named,artist_free,24,1,-1.8175772241443595,1,72,paul_cezanne,72,nano_banana_2,descriptive,exclude_retry_groups
named,artist_free,24,2,-0.6246466296754083,1,72,claude_monet,72,flux_2_max,descriptive,exclude_retry_groups
named,artist_free,24,3,-0.893783529055934,1,71,paul_cezanne,71,flux_2_max,descriptive,exclude_retry_groups
named,artist_free,24,4,-0.23388273913787114,1,72,claude_monet,72,oauth_gpt_image_2,descriptive,exclude_retry_groups
named,artist_free,24,5,-0.05605472263494658,1,72,paul_cezanne,72,oauth_gpt_image_2,descriptive,exclude_retry_groups
named,generic_named,24,6,-0.03747130264123524,1,72,claude_monet,72,oauth_gpt_image_2,descriptive,exclude_retry_groups
named,generic_named,24,7,-0.2723421801183914,1,70,paul_cezanne,70,oauth_gpt_image_2,descriptive,exclude_retry_groups
named,artist_free,24,0,-0.852076770343511,2,71,claude_monet,71,nano_banana_2,descriptive,exclude_component_boundaries
named,artist_free,24,1,-1.8175772241443595,2,72,paul_cezanne,72,nano_banana_2,descriptive,exclude_component_boundaries
named,artist_free,24,2,-0.6246466296754083,2,72,claude_monet,72,flux_2_max,descriptive,exclude_component_boundaries
named,artist_free,24,3,-0.8955934771671753,2,72,paul_cezanne,72,flux_2_max,descriptive,exclude_component_boundaries
named,artist_free,24,4,-0.23388273913787114,2,72,claude_monet,72,oauth_gpt_image_2,descriptive,exclude_component_boundaries
named,artist_free,24,5,-0.06029215426336186,2,71,paul_cezanne,71,oauth_gpt_image_2,descriptive,exclude_component_boundaries
named,generic_named,24,6,-0.03747130264123524,2,72,claude_monet,72,oauth_gpt_image_2,descriptive,exclude_component_boundaries
named,generic_named,24,7,-0.2723421801183914,2,70,paul_cezanne,70,oauth_gpt_image_2,descriptive,exclude_component_boundaries
named,artist_free,24,0,-0.852076770343511,2,71,claude_monet,71,nano_banana_2,descriptive,exclude_gap_above_120_seconds
named,artist_free,24,1,-1.8175772241443595,2,72,paul_cezanne,72,nano_banana_2,descriptive,exclude_gap_above_120_seconds
named,artist_free,24,2,-0.6246466296754083,2,72,claude_monet,72,flux_2_max,descriptive,exclude_gap_above_120_seconds
named,artist_free,24,3,-0.8955934771671753,2,72,paul_cezanne,72,flux_2_max,descriptive,exclude_gap_above_120_seconds
named,artist_free,24,4,-0.23388273913787114,2,72,claude_monet,72,oauth_gpt_image_2,descriptive,exclude_gap_above_120_seconds
named,artist_free,24,5,-0.06029215426336186,2,71,paul_cezanne,71,oauth_gpt_image_2,descriptive,exclude_gap_above_120_seconds
named,generic_named,24,6,-0.03747130264123524,2,72,claude_monet,72,oauth_gpt_image_2,descriptive,exclude_gap_above_120_seconds
named,generic_named,24,7,-0.2723421801183914,2,70,paul_cezanne,70,oauth_gpt_image_2,descriptive,exclude_gap_above_120_seconds
named,artist_free,24,0,-0.852076770343511,3,71,claude_monet,71,nano_banana_2,descriptive,exclude_boundaries_and_retry_groups
named,artist_free,24,1,-1.8175772241443595,3,72,paul_cezanne,72,nano_banana_2,descriptive,exclude_boundaries_and_retry_groups
named,artist_free,24,2,-0.6246466296754083,3,72,claude_monet,72,flux_2_max,descriptive,exclude_boundaries_and_retry_groups
named,artist_free,24,3,-0.893783529055934,3,71,paul_cezanne,71,flux_2_max,descriptive,exclude_boundaries_and_retry_groups
named,artist_free,24,4,-0.23388273913787114,3,72,claude_monet,72,oauth_gpt_image_2,descriptive,exclude_boundaries_and_retry_groups
named,artist_free,24,5,-0.06029215426336186,3,71,paul_cezanne,71,oauth_gpt_image_2,descriptive,exclude_boundaries_and_retry_groups
named,generic_named,24,6,-0.03747130264123524,3,72,claude_monet,72,oauth_gpt_image_2,descriptive,exclude_boundaries_and_retry_groups
named,generic_named,24,7,-0.2723421801183914,3,70,paul_cezanne,70,oauth_gpt_image_2,descriptive,exclude_boundaries_and_retry_groups
