brief_id,components.n,condition_order.n,crosses_component,gap_above_120_seconds,painter_id,repetition,request_ids.n,route,start_gap_seconds
built01,1,2,False,False,claude_monet,0,2,flux_2_max,27.930394172668457
built01,1,2,False,False,claude_monet,1,2,flux_2_max,20.520227909088135
built01,1,2,False,False,claude_monet,2,2,flux_2_max,32.17371201515198
built02,1,2,False,False,claude_monet,0,2,flux_2_max,18.232169151306152
built02,1,2,False,False,claude_monet,1,2,flux_2_max,27.034552812576294
built02,1,2,False,False,claude_monet,2,2,flux_2_max,26.4614520072937
built03,1,2,False,False,claude_monet,0,2,flux_2_max,25.383402109146118
built03,1,2,False,False,claude_monet,1,2,flux_2_max,40.36541295051575
built03,1,2,False,False,claude_monet,2,2,flux_2_max,27.420958042144775
built04,1,2,False,False,claude_monet,0,2,flux_2_max,21.116557121276855
built04,1,2,False,False,claude_monet,1,2,flux_2_max,31.06414008140564
built04,1,2,False,False,claude_monet,2,2,flux_2_max,22.208672046661377
built05,1,2,False,False,claude_monet,0,2,flux_2_max,27.722491025924683
built05,1,2,False,False,claude_monet,1,2,flux_2_max,28.284218072891235
built05,1,2,False,False,claude_monet,2,2,flux_2_max,18.96441888809204
built06,1,2,False,False,claude_monet,0,2,flux_2_max,34.7367479801178
built06,1,2,False,False,claude_monet,1,2,flux_2_max,26.446992874145508
built06,1,2,False,False,claude_monet,2,2,flux_2_max,34.723899126052856
built07,1,2,False,False,claude_monet,0,2,flux_2_max,25.87188196182251
built07,1,2,False,False,claude_monet,1,2,flux_2_max,16.685969829559326
built07,1,2,False,False,claude_monet,2,2,flux_2_max,18.286201000213623
built08,1,2,False,False,claude_monet,0,2,flux_2_max,24.26331090927124
built08,1,2,False,False,claude_monet,1,2,flux_2_max,20.915179014205933
built08,1,2,False,False,claude_monet,2,2,flux_2_max,25.407492876052856
land01,1,2,False,False,claude_monet,0,2,flux_2_max,26.226611137390137
land01,1,2,False,False,claude_monet,1,2,flux_2_max,20.501168966293335
land01,1,2,False,False,claude_monet,2,2,flux_2_max,25.242720127105713
land02,1,2,False,False,claude_monet,0,2,flux_2_max,20.936858892440796
land02,1,2,False,False,claude_monet,1,2,flux_2_max,21.569634914398193
land02,1,2,False,False,claude_monet,2,2,flux_2_max,26.60194206237793
land03,1,2,False,False,claude_monet,0,2,flux_2_max,17.822700023651123
land03,1,2,False,False,claude_monet,1,2,flux_2_max,31.085413932800293
land03,1,2,False,False,claude_monet,2,2,flux_2_max,29.695085048675537
land04,1,2,False,False,claude_monet,0,2,flux_2_max,20.48058795928955
land04,1,2,False,False,claude_monet,1,2,flux_2_max,31.61709713935852
land04,1,2,False,False,claude_monet,2,2,flux_2_max,18.850672960281372
land05,1,2,False,False,claude_monet,0,2,flux_2_max,37.412704944610596
land05,1,2,False,False,claude_monet,1,2,flux_2_max,22.549163103103638
land05,1,2,False,False,claude_monet,2,2,flux_2_max,22.768556833267212
land06,1,2,False,False,claude_monet,0,2,flux_2_max,34.47868800163269
land06,1,2,False,False,claude_monet,1,2,flux_2_max,22.446327924728394
land06,1,2,False,False,claude_monet,2,2,flux_2_max,21.99300980567932
land07,1,2,False,False,claude_monet,0,2,flux_2_max,25.07085919380188
land07,1,2,False,False,claude_monet,1,2,flux_2_max,23.472652912139893
land07,1,2,False,False,claude_monet,2,2,flux_2_max,48.46915602684021
land08,1,2,False,False,claude_monet,0,2,flux_2_max,37.932132959365845
land08,1,2,False,False,claude_monet,1,2,flux_2_max,20.369319915771484
land08,1,2,False,False,claude_monet,2,2,flux_2_max,33.1029839515686
water01,1,2,False,False,claude_monet,0,2,flux_2_max,20.815289974212646
water01,1,2,False,False,claude_monet,1,2,flux_2_max,27.750592947006226
water01,1,2,False,False,claude_monet,2,2,flux_2_max,30.905402183532715
water02,1,2,False,False,claude_monet,0,2,flux_2_max,16.600493907928467
water02,1,2,False,False,claude_monet,1,2,flux_2_max,38.19631099700928
water02,1,2,False,False,claude_monet,2,2,flux_2_max,37.65001201629639
water03,1,2,False,False,claude_monet,0,2,flux_2_max,17.90537691116333
water03,1,2,False,False,claude_monet,1,2,flux_2_max,23.74207091331482
water03,1,2,False,False,claude_monet,2,2,flux_2_max,24.57298707962036
water04,1,2,False,False,claude_monet,0,2,flux_2_max,22.378331899642944
water04,1,2,False,False,claude_monet,1,2,flux_2_max,25.392484188079834
water04,1,2,False,False,claude_monet,2,2,flux_2_max,26.84436798095703
water05,1,2,False,False,claude_monet,0,2,flux_2_max,21.935964107513428
water05,1,2,False,False,claude_monet,1,2,flux_2_max,26.786868810653687
water05,1,2,False,False,claude_monet,2,2,flux_2_max,25.11215090751648
water06,1,2,False,False,claude_monet,0,2,flux_2_max,38.856486082077026
water06,1,2,False,False,claude_monet,1,2,flux_2_max,22.917752981185913
water06,1,2,False,False,claude_monet,2,2,flux_2_max,19.990622997283936
water07,1,2,False,False,claude_monet,0,2,flux_2_max,31.860619068145752
water07,1,2,False,False,claude_monet,1,2,flux_2_max,19.957459926605225
water07,1,2,False,False,claude_monet,2,2,flux_2_max,28.431911945343018
water08,1,2,False,False,claude_monet,0,2,flux_2_max,26.03910994529724
water08,1,2,False,False,claude_monet,1,2,flux_2_max,23.018375873565674
water08,1,2,False,False,claude_monet,2,2,flux_2_max,18.447152137756348
built01,1,2,False,False,paul_cezanne,0,2,flux_2_max,26.35187792778015
built01,1,2,False,False,paul_cezanne,1,2,flux_2_max,26.82412099838257
built01,1,2,False,False,paul_cezanne,2,2,flux_2_max,26.850747108459473
built02,1,2,False,False,paul_cezanne,0,2,flux_2_max,19.423320055007935
built02,1,2,False,False,paul_cezanne,1,2,flux_2_max,33.78228712081909
built02,1,2,False,False,paul_cezanne,2,2,flux_2_max,20.581598043441772
built03,1,2,False,False,paul_cezanne,0,2,flux_2_max,22.41762399673462
built03,1,2,False,False,paul_cezanne,1,2,flux_2_max,25.831284046173096
built03,1,2,False,False,paul_cezanne,2,2,flux_2_max,25.25886082649231
built04,1,2,False,False,paul_cezanne,0,2,flux_2_max,22.53090786933899
built04,1,2,False,False,paul_cezanne,1,2,flux_2_max,26.685211181640625
built04,1,2,False,False,paul_cezanne,2,2,flux_2_max,19.912984132766724
built05,1,2,False,False,paul_cezanne,0,2,flux_2_max,26.537637948989868
built05,1,2,False,False,paul_cezanne,1,2,flux_2_max,24.337289094924927
built05,1,2,False,False,paul_cezanne,2,2,flux_2_max,22.3334698677063
built06,1,2,False,False,paul_cezanne,0,2,flux_2_max,23.86074995994568
built06,1,2,False,False,paul_cezanne,1,2,flux_2_max,31.07023310661316
built06,1,2,False,False,paul_cezanne,2,2,flux_2_max,23.322953939437866
built07,1,2,False,False,paul_cezanne,0,2,flux_2_max,31.264348030090332
built07,1,2,False,False,paul_cezanne,1,2,flux_2_max,27.226867198944092
built07,1,2,False,False,paul_cezanne,2,2,flux_2_max,25.662384033203125
built08,1,2,False,False,paul_cezanne,0,2,flux_2_max,23.572535037994385
built08,1,2,False,False,paul_cezanne,1,2,flux_2_max,23.696564197540283
built08,1,2,False,False,paul_cezanne,2,2,flux_2_max,47.98246216773987
land01,1,2,False,False,paul_cezanne,0,2,flux_2_max,26.02996802330017
land01,1,2,False,False,paul_cezanne,1,2,flux_2_max,28.950762033462524
land01,1,2,False,False,paul_cezanne,2,2,flux_2_max,31.641396045684814
land02,1,2,False,False,paul_cezanne,0,2,flux_2_max,21.495639085769653
land02,1,2,False,False,paul_cezanne,1,2,flux_2_max,24.614526987075806
land02,1,2,False,False,paul_cezanne,2,2,flux_2_max,26.562582969665527
land03,1,2,False,False,paul_cezanne,0,2,flux_2_max,23.327975034713745
land03,1,2,False,False,paul_cezanne,1,2,flux_2_max,25.19298505783081
land03,1,2,False,False,paul_cezanne,2,2,flux_2_max,16.297723054885864
land04,1,2,False,False,paul_cezanne,0,2,flux_2_max,24.427137851715088
land04,1,2,False,False,paul_cezanne,1,2,flux_2_max,27.561896800994873
land04,1,2,False,False,paul_cezanne,2,2,flux_2_max,22.147265911102295
land05,1,2,False,False,paul_cezanne,0,2,flux_2_max,26.287030935287476
land05,1,2,False,False,paul_cezanne,1,2,flux_2_max,21.52682900428772
