condition,expected_slots,measured_generated,measured_originals,painter_id,pipeline,route
artist_free,72,72,38,claude_monet,primary512,nano_banana_2
named,72,72,38,claude_monet,primary512,nano_banana_2
artist_free,72,72,38,claude_monet,primary512,flux_2_max
named,72,72,38,claude_monet,primary512,flux_2_max
artist_free,72,72,38,claude_monet,primary512,oauth_gpt_image_2
named,72,72,38,claude_monet,primary512,oauth_gpt_image_2
generic_named,72,72,38,claude_monet,primary512,oauth_gpt_image_2
artist_free,72,72,32,paul_cezanne,primary512,nano_banana_2
named,72,72,32,paul_cezanne,primary512,nano_banana_2
artist_free,72,72,32,paul_cezanne,primary512,flux_2_max
named,72,72,32,paul_cezanne,primary512,flux_2_max
artist_free,72,72,32,paul_cezanne,primary512,oauth_gpt_image_2
named,72,72,32,paul_cezanne,primary512,oauth_gpt_image_2
generic_named,72,70,32,paul_cezanne,primary512,oauth_gpt_image_2
artist_free,72,72,38,claude_monet,resolution256,nano_banana_2
named,72,72,38,claude_monet,resolution256,nano_banana_2
artist_free,72,72,38,claude_monet,resolution256,flux_2_max
named,72,72,38,claude_monet,resolution256,flux_2_max
artist_free,72,72,38,claude_monet,resolution256,oauth_gpt_image_2
named,72,72,38,claude_monet,resolution256,oauth_gpt_image_2
generic_named,72,72,38,claude_monet,resolution256,oauth_gpt_image_2
artist_free,72,72,32,paul_cezanne,resolution256,nano_banana_2
named,72,72,32,paul_cezanne,resolution256,nano_banana_2
artist_free,72,72,32,paul_cezanne,resolution256,flux_2_max
named,72,72,32,paul_cezanne,resolution256,flux_2_max
artist_free,72,72,32,paul_cezanne,resolution256,oauth_gpt_image_2
named,72,72,32,paul_cezanne,resolution256,oauth_gpt_image_2
generic_named,72,70,32,paul_cezanne,resolution256,oauth_gpt_image_2
artist_free,72,72,38,claude_monet,jpeg90_512,nano_banana_2
named,72,72,38,claude_monet,jpeg90_512,nano_banana_2
artist_free,72,72,38,claude_monet,jpeg90_512,flux_2_max
named,72,72,38,claude_monet,jpeg90_512,flux_2_max
artist_free,72,72,38,claude_monet,jpeg90_512,oauth_gpt_image_2
named,72,72,38,claude_monet,jpeg90_512,oauth_gpt_image_2
generic_named,72,72,38,claude_monet,jpeg90_512,oauth_gpt_image_2
artist_free,72,72,32,paul_cezanne,jpeg90_512,nano_banana_2
named,72,72,32,paul_cezanne,jpeg90_512,nano_banana_2
artist_free,72,72,32,paul_cezanne,jpeg90_512,flux_2_max
named,72,72,32,paul_cezanne,jpeg90_512,flux_2_max
artist_free,72,72,32,paul_cezanne,jpeg90_512,oauth_gpt_image_2
named,72,72,32,paul_cezanne,jpeg90_512,oauth_gpt_image_2
generic_named,72,70,32,paul_cezanne,jpeg90_512,oauth_gpt_image_2
