condition,coordinate_iqr_ratios,energy_distance,feature_set,generated_weight_effective_size,n_generated,n_original,original_weight_effective_size,painter_id,pipeline,population_variance_ratio,route,sample_variance_ratio,squared_iqr_sum_ratio,status,weighting
artist_free,"[1.208187813994327, 0.8510732209333778, 0.8480899580907858, 0.5623162357216955, 0.9322132452085956, 0.340894754414091, 0.7160117447711526, 0.8906837445212119, 0.7936935305952173, 0.6637561490862076, 1.4049601954921724, 0.7757122426072323, 0.778684858584989, 0.9734497495690505, 3.876826211362795, 2.19703484677287, 0.5926671318431561, 0.544642210662163, 2.671850382783253, 0.3678658344083181, 0.32509444914498353, 0.3287820850205413, 0.5418945365819493, 0.5016949270736485, 0.7112541361613322, 0.4916831924010835, 0.49891911774069403, 0.6234958572872726, 1.9804261915002888, 2.2432210393715333, 1.7401608929585803]",4.188022894610846,all31,55.36102236421725,72,38,38.0,claude_monet,primary512,1.0855345521173452,nano_banana_2,,1.1308576294201482,available,reference_content
artist_free,"[1.208187813994327, 0.8510732209333778, 0.8480899580907858, 0.5623162357216955, 0.9322132452085956, 0.340894754414091, 0.7160117447711526, 0.8906837445212119, 0.7936935305952173, 0.6637561490862076, 1.4049601954921724]",1.5577301078488714,color,55.36102236421725,72,38,38.0,claude_monet,primary512,0.7541393207545014,nano_banana_2,,0.6725430596425901,available,reference_content
artist_free,"[0.7757122426072323, 0.778684858584989, 0.9734497495690505, 3.876826211362795, 2.19703484677287, 0.5926671318431561, 0.544642210662163, 2.671850382783253]",1.373006743033038,spatial,55.36102236421725,72,38,38.0,claude_monet,primary512,2.330983657131242,nano_banana_2,,1.808564918740282,available,reference_content
artist_free,"[0.3678658344083181, 0.32509444914498353, 0.3287820850205413, 0.5418945365819493, 0.5016949270736485, 0.7112541361613322, 0.4916831924010835, 0.49891911774069403, 0.6234958572872726, 1.9804261915002888, 2.2432210393715333, 1.7401608929585803]",3.8098900836912692,texture,55.36102236421725,72,38,38.0,claude_monet,primary512,0.6752707077863194,nano_banana_2,,0.9850769278967344,available,reference_content
artist_free,"[1.1576227614965127, 0.8018384083591025, 0.7315064897772487, 0.5153056197453372, 0.9251598247134264, 0.27607517095355105, 0.481625914315753, 0.9761229366946237, 0.7725073318173629, 0.6685971457945211, 1.2328304532760352, 0.7276441635270168, 0.8277513176712689, 0.9031961476415101, 2.9419011521738043, 2.0848905315533823, 0.5918607139152982, 0.5709248720023261, 1.6994633477345753, 0.3768376955108319, 0.3949122068456319, 0.3971792699104691, 0.41089995711000044, 0.4867046398269559, 0.7139386642883084, 0.5007340401126857, 0.5125588442602271, 0.7487575051038556, 1.9909456711063134, 2.178835682554408, 1.641748210647365]",4.300298025101867,all31,72.0,72,38,38.0,claude_monet,primary512,0.9241250957030382,nano_banana_2,,0.9029196199482404,available,collected
artist_free,"[1.1576227614965127, 0.8018384083591025, 0.7315064897772487, 0.5153056197453372, 0.9251598247134264, 0.27607517095355105, 0.481625914315753, 0.9761229366946237, 0.7725073318173629, 0.6685971457945211, 1.2328304532760352]",1.8219550868890089,color,72.0,72,38,38.0,claude_monet,primary512,0.6602964292863699,nano_banana_2,,0.600182383146457,available,collected
artist_free,"[0.7276441635270168, 0.8277513176712689, 0.9031961476415101, 2.9419011521738043, 2.0848905315533823, 0.5918607139152982, 0.5709248720023261, 1.6994633477345753]",1.082969056580148,spatial,72.0,72,38,38.0,claude_monet,primary512,1.9229947684941175,nano_banana_2,,1.1687291021170971,available,collected
artist_free,"[0.3768376955108319, 0.3949122068456319, 0.3971792699104691, 0.41089995711000044, 0.4867046398269559, 0.7139386642883084, 0.5007340401126857, 0.5125588442602271, 0.7487575051038556, 1.9909456711063134, 2.178835682554408, 1.641748210647365]",4.121391386413807,texture,72.0,72,38,38.0,claude_monet,primary512,0.5939890458532896,nano_banana_2,,0.9621070873848002,available,collected
artist_free,"[1.3556567448102388, 0.6249173305647325, 0.6041799546839532, 0.5064892173151311, 0.8846509103847349, 0.28074924437561904, 0.481625914315753, 0.9328878470639668, 0.7694550054182181, 0.6263713982427933, 1.239549308378206, 0.9085688382467433, 0.7556108012181213, 1.0261434124299147, 2.8533968790909263, 1.9746517290680534, 0.5833308786177608, 0.5538048636109228, 2.4716659300470845, 0.4741319399045108, 0.3988335390475534, 0.4237078766532808, 0.4504015380409058, 0.7381116081845526, 0.583138201871525, 0.5007340401126857, 0.6817678552507548, 0.7223483100083188, 1.693314300858008, 1.7219969127980943, 1.3975043462515315]",4.496537019989306,all31,72.0,72,38,24.029339853300737,claude_monet,primary512,0.8096914201455861,nano_banana_2,,0.897476970016644,available,equal_content
artist_free,"[1.3556567448102388, 0.6249173305647325, 0.6041799546839532, 0.5064892173151311, 0.8846509103847349, 0.28074924437561904, 0.481625914315753, 0.9328878470639668, 0.7694550054182181, 0.6263713982427933, 1.239549308378206]",1.9619944792756376,color,72.0,72,38,24.029339853300737,claude_monet,primary512,0.6591051483394741,nano_banana_2,,0.5573082856307976,available,equal_content
artist_free,"[0.9085688382467433, 0.7556108012181213, 1.0261434124299147, 2.8533968790909263, 1.9746517290680534, 0.5833308786177608, 0.5538048636109228, 2.4716659300470845]",1.2234164590062218,spatial,72.0,72,38,24.029339853300737,claude_monet,primary512,2.1263164139984445,nano_banana_2,,1.2200257810436796,available,equal_content
artist_free,"[0.4741319399045108, 0.3988335390475534, 0.4237078766532808, 0.4504015380409058, 0.7381116081845526, 0.583138201871525, 0.5007340401126857, 0.6817678552507548, 0.7223483100083188, 1.693314300858008, 1.7219969127980943, 1.3975043462515315]",4.189504400564973,texture,72.0,72,38,24.029339853300737,claude_monet,primary512,0.44555974627592565,nano_banana_2,,0.9815983008021361,available,equal_content
artist_free,"[1.7727725481104828, 0.8522182801339666, 1.1020244062180071, 0.5594264413108955, 0.859663489641951, 0.40930190167549424, 0.7753648998542961, 0.8669765641938083, 0.7780671679970598, 0.6553483070017043, 1.2719842744517798, 0.7757122426072323, 0.7363996581055935, 0.9734497495690505, 3.742523655685817, 2.2159036706041104, 0.5558786832522166, 0.6875804347542087, 2.8842700821788436, 0.36868189951619484, 0.3269232887237156, 0.409086715669887, 0.568227466489618, 0.6757302275414098, 0.8045975301499431, 0.42655018200091327, 0.5319025855800631, 0.6135227649820417, 2.1854765667209444, 2.1229667077973238, 2.0340589045929236]",4.670011979028089,all31,55.2986301369863,72,29,29.0,claude_monet,primary512,1.0295594780683222,nano_banana_2,,1.2397317898001594,available,unambiguous
artist_free,"[1.7727725481104828, 0.8522182801339666, 1.1020244062180071, 0.5594264413108955, 0.859663489641951, 0.40930190167549424, 0.7753648998542961, 0.8669765641938083, 0.7780671679970598, 0.6553483070017043, 1.2719842744517798]",1.8690395704644236,color,55.2986301369863,72,29,29.0,claude_monet,primary512,0.7382519280724074,nano_banana_2,,0.7399757942926029,available,unambiguous
artist_free,"[0.7757122426072323, 0.7363996581055935, 0.9734497495690505, 3.742523655685817, 2.2159036706041104, 0.5558786832522166, 0.6875804347542087, 2.8842700821788436]",1.386501062688236,spatial,55.2986301369863,72,29,29.0,claude_monet,primary512,2.2072424711859937,nano_banana_2,,1.962741667107142,available,unambiguous
artist_free,"[0.36868189951619484, 0.3269232887237156, 0.409086715669887, 0.568227466489618, 0.6757302275414098, 0.8045975301499431, 0.42655018200091327, 0.5319025855800631, 0.6135227649820417, 2.1854765667209444, 2.1229667077973238, 2.0340589045929236]",4.310159776585075,texture,55.2986301369863,72,29,29.0,claude_monet,primary512,0.6302621244879885,nano_banana_2,,1.0888095357797176,available,unambiguous
artist_free,"[1.92546774469724, 1.648266904832112, 1.2798887941313706, 1.5557119641376926, 0.37774291897480844, 1.0819907580384962, 0.7905193634206197, 0.8512329847046837, 0.6409292598577745, 0.6133334580338866, 1.14085472093395, 1.5733351259870734, 1.2264311244356827, 0.9096787849526696, 0.8207535317931965, 0.751398134709711, 0.781440818065983, 1.4652669129286768, 2.2673046373813848, 0.732275016838353, 0.7374001949646639, 0.4711098630769496, 0.4399473201256936, 1.7057230892173099, 0.7724565817842443, 0.35253314810606423, 0.47271267972326564, 0.6644933131736787, 2.5054297801849676, 5.2625880962469544, 17.554065524615886]",5.241854520151603,all31,48.000000000000014,48,4,4.0,claude_monet,primary512,1.62260861174049,nano_banana_2,,1.1109326822698862,available,native1024
artist_free,"[1.92546774469724, 1.648266904832112, 1.2798887941313706, 1.5557119641376926, 0.37774291897480844, 1.0819907580384962, 0.7905193634206197, 0.8512329847046837, 0.6409292598577745, 0.6133334580338866, 1.14085472093395]",3.0116312647908163,color,48.000000000000014,48,4,4.0,claude_monet,primary512,0.95769947366754,nano_banana_2,,0.8108775692297134,available,native1024
artist_free,"[1.5733351259870734, 1.2264311244356827, 0.9096787849526696, 0.8207535317931965, 0.751398134709711, 0.781440818065983, 1.4652669129286768, 2.2673046373813848]",1.1981288119990756,spatial,48.000000000000014,48,4,4.0,claude_monet,primary512,1.5544531744415357,nano_banana_2,,1.0799458614814939,available,native1024
artist_free,"[0.732275016838353, 0.7374001949646639, 0.4711098630769496, 0.4399473201256936, 1.7057230892173099, 0.7724565817842443, 0.35253314810606423, 0.47271267972326564, 0.6644933131736787, 2.5054297801849676, 5.2625880962469544, 17.554065524615886]",4.797518218971229,texture,48.000000000000014,48,4,4.0,claude_monet,primary512,3.141667666964699,nano_banana_2,,1.5443787743924715,available,native1024
artist_free,"[1.208187813994327, 0.8510732209333778, 0.8480899580907858, 0.5623162357216955, 0.9322132452085956, 0.340894754414091, 0.7160117447711526, 0.8906837445212119, 0.7936935305952173, 0.6637561490862076, 1.4049601954921724, 0.7757122426072323, 0.778684858584989, 0.9734497495690505, 3.876826211362795, 2.19703484677287, 0.5926671318431561, 0.544642210662163, 2.671850382783253, 0.3678658344083181, 0.32509444914498353, 0.3287820850205413, 0.5418945365819493, 0.5016949270736485, 0.7112541361613322, 0.4916831924010835, 0.49891911774069403, 0.6234958572872726, 1.9804261915002888, 2.2432210393715333, 1.7401608929585803]",4.188022894610846,all31,55.36102236421725,72,38,38.0,claude_monet,primary512,1.0855345521173452,nano_banana_2,,1.1308576294201482,available,initial_only
artist_free,"[1.208187813994327, 0.8510732209333778, 0.8480899580907858, 0.5623162357216955, 0.9322132452085956, 0.340894754414091, 0.7160117447711526, 0.8906837445212119, 0.7936935305952173, 0.6637561490862076, 1.4049601954921724]",1.5577301078488714,color,55.36102236421725,72,38,38.0,claude_monet,primary512,0.7541393207545014,nano_banana_2,,0.6725430596425901,available,initial_only
artist_free,"[0.7757122426072323, 0.778684858584989, 0.9734497495690505, 3.876826211362795, 2.19703484677287, 0.5926671318431561, 0.544642210662163, 2.671850382783253]",1.373006743033038,spatial,55.36102236421725,72,38,38.0,claude_monet,primary512,2.330983657131242,nano_banana_2,,1.808564918740282,available,initial_only
artist_free,"[0.3678658344083181, 0.32509444914498353, 0.3287820850205413, 0.5418945365819493, 0.5016949270736485, 0.7112541361613322, 0.4916831924010835, 0.49891911774069403, 0.6234958572872726, 1.9804261915002888, 2.2432210393715333, 1.7401608929585803]",3.8098900836912692,texture,55.36102236421725,72,38,38.0,claude_monet,primary512,0.6752707077863194,nano_banana_2,,0.9850769278967344,available,initial_only
named,"[1.3450953118078124, 0.8313497256133904, 0.7273854133580285, 0.6200954889181673, 0.995223801632107, 0.46225936488147673, 0.5245458896816595, 1.2812488510593694, 1.2440301515594197, 1.091549917262209, 0.6933944631265704, 0.5142781552724367, 0.49875438318153237, 0.7421857460540097, 2.2696745255049406, 1.7322489136301447, 0.502204021929672, 0.6174603514679725, 2.775375813360009, 0.30289547782047965, 0.29650002557848026, 0.35641317648450793, 0.5105638690465547, 0.3839586702701222, 0.4460581143521868, 0.4213904497918904, 0.25172126451450844, 0.4724926311947876, 1.8042322472881331, 2.043777079734346, 1.5173745890782013]",3.341794030653217,all31,55.36102236421725,72,38,38.0,claude_monet,primary512,0.7562861555126685,nano_banana_2,,0.9660649121688102,available,reference_content
named,"[1.3450953118078124, 0.8313497256133904, 0.7273854133580285, 0.6200954889181673, 0.995223801632107, 0.46225936488147673, 0.5245458896816595, 1.2812488510593694, 1.2440301515594197, 1.091549917262209, 0.6933944631265704]",1.5218297523567403,color,55.36102236421725,72,38,38.0,claude_monet,primary512,0.7446865916049094,nano_banana_2,,0.8661583380653407,available,reference_content
named,"[0.5142781552724367, 0.49875438318153237, 0.7421857460540097, 2.2696745255049406, 1.7322489136301447, 0.502204021929672, 0.6174603514679725, 2.775375813360009]",1.352472757079242,spatial,55.36102236421725,72,38,38.0,claude_monet,primary512,1.519686613946215,nano_banana_2,,1.3212006156053706,available,reference_content
named,"[0.30289547782047965, 0.29650002557848026, 0.35641317648450793, 0.5105638690465547, 0.3839586702701222, 0.4460581143521868, 0.4213904497918904, 0.25172126451450844, 0.4724926311947876, 1.8042322472881331, 2.043777079734346, 1.5173745890782013]",2.782364454906102,texture,55.36102236421725,72,38,38.0,claude_monet,primary512,0.3972686173244291,nano_banana_2,,0.7569519720475699,available,reference_content
named,"[1.2271186335343953, 0.7789548104415692, 0.6630300651090857, 0.5686099294534838, 0.9597907363210805, 0.36767354062281754, 0.5153772235044969, 1.245019559208865, 1.2222810659512735, 1.0752692233643508, 0.6868073674667088, 0.5142781552724367, 0.49875438318153237, 0.7091589620314114, 1.592814851420201, 1.4703601232626093, 0.6412290884255156, 0.5555894273955415, 2.0763704070298257, 0.3701742376596008, 0.34791924050309553, 0.3899503532159724, 0.5408494088420656, 0.39156369074877867, 0.6101685745270568, 0.4214818779140154, 0.28613438863554014, 0.47080441805861767, 1.9083522080128348, 1.9360498618883655, 1.3443603635954766]",3.444284380312446,all31,72.0,72,38,38.0,claude_monet,primary512,0.6908330105159871,nano_banana_2,,0.8037582151696866,available,collected
named,"[1.2271186335343953, 0.7789548104415692, 0.6630300651090857, 0.5686099294534838, 0.9597907363210805, 0.36767354062281754, 0.5153772235044969, 1.245019559208865, 1.2222810659512735, 1.0752692233643508, 0.6868073674667088]",1.7446240615129036,color,72.0,72,38,38.0,claude_monet,primary512,0.6919637367103509,nano_banana_2,,0.7823339037230703,available,collected
