endpoint_index,estimate,excluded_kind,excluded_value,pairs,status
0,-0.7982648158917263,window,0,63,descriptive
0,-0.7697837681917735,window,1,63,descriptive
0,-0.9910988496243637,window,2,63,descriptive
0,-0.9712715342301784,window,3,63,descriptive
0,-0.8704003189289548,window,4,63,descriptive
0,-0.7417183840590785,window,5,63,descriptive
0,-0.8232925205105546,window,6,63,descriptive
0,-0.8137425606606511,window,7,63,descriptive
0,-0.8353371680155864,brief_id,water01,69,descriptive
0,-0.8421829163231912,brief_id,water02,69,descriptive
0,-0.8553188459985379,brief_id,water03,69,descriptive
0,-0.93928210385634,brief_id,water04,69,descriptive
0,-0.8819667902248897,brief_id,water05,69,descriptive
0,-0.7401322105094045,brief_id,water06,69,descriptive
0,-0.7579023651643444,brief_id,water07,69,descriptive
0,-0.9784454240793834,brief_id,water08,69,descriptive
0,-0.8367439612129163,brief_id,built01,69,descriptive
0,-0.8328256392316931,brief_id,built02,69,descriptive
0,-0.8340183970064822,brief_id,built03,69,descriptive
0,-0.8643811806146572,brief_id,built04,69,descriptive
0,-0.8458067142121174,brief_id,built05,69,descriptive
0,-0.8558268481282753,brief_id,built06,69,descriptive
0,-0.8532602599395251,brief_id,built07,69,descriptive
0,-0.847223087144952,brief_id,built08,69,descriptive
0,-0.8667016114708068,brief_id,land01,69,descriptive
0,-0.8658238072551879,brief_id,land02,69,descriptive
0,-0.7807251450024715,brief_id,land03,69,descriptive
0,-0.9180639274367951,brief_id,land04,69,descriptive
0,-0.9102322469654245,brief_id,land05,69,descriptive
0,-0.7830419419539976,brief_id,land06,69,descriptive
0,-0.836787663363328,brief_id,land07,69,descriptive
0,-0.8181325089448455,brief_id,land08,69,descriptive
1,-1.6334320813093823,window,0,63,descriptive
1,-1.6577213860054418,window,1,63,descriptive
1,-2.0312857214531648,window,2,63,descriptive
1,-1.8976400061434784,window,3,63,descriptive
1,-1.856360478769932,window,4,63,descriptive
1,-1.8318503338656993,window,5,63,descriptive
1,-1.7119694090963717,window,6,63,descriptive
1,-1.9571438341394907,window,7,63,descriptive
1,-1.8135090978726824,brief_id,water01,69,descriptive
1,-1.8063274989671876,brief_id,water02,69,descriptive
1,-1.817650159484148,brief_id,water03,69,descriptive
1,-1.77639607489385,brief_id,water04,69,descriptive
1,-1.8584945128552692,brief_id,water05,69,descriptive
1,-1.8182622484791338,brief_id,water06,69,descriptive
