service,painter_id,family,blocks,images_per_condition,minimum,median,maximum,pooled_distance
gpt-image-1,claude_monet,color,1,16,0.6827168361990072,0.6827168361990072,0.6827168361990072,0.6827168361990072
gpt-image-1,alfred_sisley,color,1,16,0.7926946491293314,0.7926946491293314,0.7926946491293314,0.7926946491293314
gpt-image-1,camille_pissarro,color,1,16,1.1260827743153343,1.1260827743153343,1.1260827743153343,1.1260827743153343
gpt-image-1,paul_cezanne,color,1,16,0.6905282978213563,0.6905282978213563,0.6905282978213563,0.6905282978213563
gpt-image-1,claude_monet,spatial,1,16,0.8434410943788508,0.8434410943788508,0.8434410943788508,0.8434410943788508
gpt-image-1,alfred_sisley,spatial,1,16,0.8203636219188306,0.8203636219188306,0.8203636219188306,0.8203636219188306
gpt-image-1,camille_pissarro,spatial,1,16,0.8720977457890964,0.8720977457890964,0.8720977457890964,0.8720977457890964
gpt-image-1,paul_cezanne,spatial,1,16,0.7154909491756665,0.7154909491756665,0.7154909491756665,0.7154909491756665
gpt-image-1,claude_monet,texture,1,16,1.5799868752654487,1.5799868752654487,1.5799868752654487,1.5799868752654487
gpt-image-1,alfred_sisley,texture,1,16,1.1942413669821774,1.1942413669821774,1.1942413669821774,1.1942413669821774
gpt-image-1,camille_pissarro,texture,1,16,1.27075918919008,1.27075918919008,1.27075918919008,1.27075918919008
gpt-image-1,paul_cezanne,texture,1,16,2.2038506153940087,2.2038506153940087,2.2038506153940087,2.2038506153940087
gpt-image-2,claude_monet,color,1,16,0.5467621235811126,0.5467621235811126,0.5467621235811126,0.5467621235811126
gpt-image-2,alfred_sisley,color,1,16,0.7812259023285333,0.7812259023285333,0.7812259023285333,0.7812259023285333
gpt-image-2,camille_pissarro,color,1,16,1.0747853521746351,1.0747853521746351,1.0747853521746351,1.0747853521746351
gpt-image-2,paul_cezanne,color,1,16,0.7285321189395972,0.7285321189395972,0.7285321189395972,0.7285321189395972
gpt-image-2,claude_monet,spatial,1,16,0.7871868661854391,0.7871868661854391,0.7871868661854391,0.7871868661854391
gpt-image-2,alfred_sisley,spatial,1,16,0.5759998675381701,0.5759998675381701,0.5759998675381701,0.5759998675381701
gpt-image-2,camille_pissarro,spatial,1,16,0.6399674074274149,0.6399674074274149,0.6399674074274149,0.6399674074274149
gpt-image-2,paul_cezanne,spatial,1,16,0.7128906832875541,0.7128906832875541,0.7128906832875541,0.7128906832875541
gpt-image-2,claude_monet,texture,1,16,1.7032978247505335,1.7032978247505335,1.7032978247505335,1.7032978247505335
gpt-image-2,alfred_sisley,texture,1,16,1.2012970227817632,1.2012970227817632,1.2012970227817632,1.2012970227817632
gpt-image-2,camille_pissarro,texture,1,16,1.431903152853945,1.431903152853945,1.431903152853945,1.431903152853945
gpt-image-2,paul_cezanne,texture,1,16,2.2831169792410626,2.2831169792410626,2.2831169792410626,2.2831169792410626
sd-turbo,claude_monet,color,25,16,0.7950319640331718,0.9905980200299123,1.1356019046817167,0.9016382959580513
sd-turbo,alfred_sisley,color,25,16,0.7353295350764859,0.8871264914058987,1.125358416219016,0.8325439915465525
sd-turbo,camille_pissarro,color,25,16,0.9721237945540022,1.2108391567199481,1.3842044027867164,1.1474801355422044
sd-turbo,paul_cezanne,color,25,16,0.5266558314442857,0.6425792380859081,0.7856005926624545,0.581271809216817
sd-turbo,claude_monet,spatial,25,16,0.8509522956974713,1.1114772907616937,1.3406086420410848,0.9749251969408363
sd-turbo,alfred_sisley,spatial,25,16,1.1959069518360446,1.5465474366421104,1.8864333883386744,1.45601520342181
sd-turbo,camille_pissarro,spatial,25,16,1.275639546592645,1.5440209298956664,1.981278301820843,1.4439901554469525
sd-turbo,paul_cezanne,spatial,25,16,0.8253814558284107,1.2970291539292726,1.7696887530234733,1.1427699698658196
sd-turbo,claude_monet,texture,25,16,1.1860334579505287,1.6012955330689351,2.007695384651398,1.4963947961953927
sd-turbo,alfred_sisley,texture,25,16,1.3455902360008136,1.7164141330101481,2.0470834304884025,1.6071330469572864
sd-turbo,camille_pissarro,texture,25,16,1.32950730589786,1.7684413260444782,2.1558166843806386,1.694499648972518
sd-turbo,paul_cezanne,texture,25,16,0.5910711412382257,0.7818491994607721,1.0594510116866969,0.7053003760433703
