service,painter_id,family,coordinate,median_difference,iqr_ratio
gpt-image-1,claude_monet,color,lightness_median,-0.011942546419723046,0.7702545494700671
gpt-image-1,claude_monet,color,lightness_iqr,0.038324298381741895,0.42866323601808287
gpt-image-1,claude_monet,color,chroma_median,-0.11665092188820955,0.4677445051850305
gpt-image-1,claude_monet,color,chroma_iqr,0.19751335887449975,0.5976440826687586
gpt-image-1,claude_monet,color,chromatic_fraction,-0.36439000167994506,0.46411737776837525
gpt-image-1,claude_monet,color,hue_concentration,-0.2708802677475214,0.6656036062111022
gpt-image-1,claude_monet,color,hue_entropy,-0.6110695002678679,0.45352583561447757
gpt-image-1,claude_monet,color,deltae_01,0.4702277655713369,0.2926011934599047
gpt-image-1,claude_monet,color,deltae_04,0.17297934877956664,0.28251498036219586
gpt-image-1,claude_monet,color,deltae_16,0.15755646569590748,0.263147825697181
gpt-image-1,claude_monet,color,deltae_slope,-0.4967447198500535,0.4290926705775773
gpt-image-1,alfred_sisley,color,lightness_median,-0.0064090044375493815,0.6173682954959494
gpt-image-1,alfred_sisley,color,lightness_iqr,-0.4709883406986488,0.6852292804844273
gpt-image-1,alfred_sisley,color,chroma_median,-0.47240961345099464,0.5569436212628587
gpt-image-1,alfred_sisley,color,chroma_iqr,-0.10913019492170521,0.4688888978038171
gpt-image-1,alfred_sisley,color,chromatic_fraction,-0.8502012062385786,0.7989557764724082
gpt-image-1,alfred_sisley,color,hue_concentration,-0.7464997357371395,0.9733488118874725
gpt-image-1,alfred_sisley,color,hue_entropy,-0.8135073789552878,0.44221481744085356
gpt-image-1,alfred_sisley,color,deltae_01,-0.17235398027363605,0.4774616387386947
gpt-image-1,alfred_sisley,color,deltae_04,-0.1569125255706137,0.3632717056798257
gpt-image-1,alfred_sisley,color,deltae_16,-0.21684198263312765,0.38681073577003094
gpt-image-1,alfred_sisley,color,deltae_slope,-0.31364538858003954,0.5925786219063698
gpt-image-1,camille_pissarro,color,lightness_median,-0.37876107028085404,0.5587217601809037
gpt-image-1,camille_pissarro,color,lightness_iqr,0.0861192847661303,0.34662982827862765
gpt-image-1,camille_pissarro,color,chroma_median,0.25729393662233224,0.2928472496359117
gpt-image-1,camille_pissarro,color,chroma_iqr,0.18245623549594603,0.22325340550331746
gpt-image-1,camille_pissarro,color,chromatic_fraction,0.16564077855583254,0.3248574785321212
gpt-image-1,camille_pissarro,color,hue_concentration,0.3286176406062131,0.17624945220986327
