first_painter,second_painter,family,distance
claude_monet,claude_monet,color,0.0
claude_monet,alfred_sisley,color,0.12999002714103325
claude_monet,camille_pissarro,color,0.2159595908500247
claude_monet,paul_cezanne,color,0.745059374061877
alfred_sisley,claude_monet,color,0.12999002714103325
alfred_sisley,alfred_sisley,color,0.0
alfred_sisley,camille_pissarro,color,0.1248393830717931
alfred_sisley,paul_cezanne,color,0.7324949154569471
camille_pissarro,claude_monet,color,0.2159595908500247
camille_pissarro,alfred_sisley,color,0.12483938307179221
camille_pissarro,camille_pissarro,color,0.0
camille_pissarro,paul_cezanne,color,0.783915305440809
paul_cezanne,claude_monet,color,0.7450593740618761
paul_cezanne,alfred_sisley,color,0.7324949154569471
paul_cezanne,camille_pissarro,color,0.7839153054408081
paul_cezanne,paul_cezanne,color,0.0
claude_monet,claude_monet,spatial,0.0
claude_monet,alfred_sisley,spatial,0.08445382945766511
claude_monet,camille_pissarro,spatial,0.3244439489580251
claude_monet,paul_cezanne,spatial,0.4399892677839863
alfred_sisley,claude_monet,spatial,0.08445382945766422
alfred_sisley,alfred_sisley,spatial,0.0
alfred_sisley,camille_pissarro,spatial,0.18349331996795515
alfred_sisley,paul_cezanne,spatial,0.4866834799325086
camille_pissarro,claude_monet,spatial,0.324443948958026
camille_pissarro,alfred_sisley,spatial,0.18349331996795426
camille_pissarro,camille_pissarro,spatial,0.0
camille_pissarro,paul_cezanne,spatial,0.45209730968079676
paul_cezanne,claude_monet,spatial,0.4399892677839863
paul_cezanne,alfred_sisley,spatial,0.4866834799325086
paul_cezanne,camille_pissarro,spatial,0.45209730968079587
paul_cezanne,paul_cezanne,spatial,0.0
claude_monet,claude_monet,texture,0.0
claude_monet,alfred_sisley,texture,0.2899075985902706
claude_monet,camille_pissarro,texture,0.1669069396419176
claude_monet,paul_cezanne,texture,0.6525587791890599
alfred_sisley,claude_monet,texture,0.28990759859027104
alfred_sisley,alfred_sisley,texture,0.0
alfred_sisley,camille_pissarro,texture,0.23057040810171348
alfred_sisley,paul_cezanne,texture,0.4884979040692028
camille_pissarro,claude_monet,texture,0.16690693964191805
camille_pissarro,alfred_sisley,texture,0.23057040810171348
camille_pissarro,camille_pissarro,texture,0.0
camille_pissarro,paul_cezanne,texture,0.6936645345984362
paul_cezanne,claude_monet,texture,0.6525587791890599
paul_cezanne,alfred_sisley,texture,0.4884979040692028
paul_cezanne,camille_pissarro,texture,0.6936645345984345
paul_cezanne,paul_cezanne,texture,0.0
