alias,condition,measured,method_id,planned
gpt-image-1,claude_monet,64,by_name,64
gpt-image-1,alfred_sisley,64,by_name,64
gpt-image-1,camille_pissarro,64,by_name,64
gpt-image-1,paul_cezanne,64,by_name,64
gpt-image-1,artist_free,64,by_name,64
gpt-image-1,claude_monet,64,style_instruction,64
gpt-image-1,alfred_sisley,64,style_instruction,64
gpt-image-1,camille_pissarro,64,style_instruction,64
gpt-image-1,paul_cezanne,64,style_instruction,64
gpt-image-1,artist_free,64,style_instruction,64
gpt-image-1,claude_monet,64,style_aspects,64
gpt-image-1,alfred_sisley,64,style_aspects,64
gpt-image-1,camille_pissarro,64,style_aspects,64
gpt-image-1,paul_cezanne,64,style_aspects,64
gpt-image-1,artist_free,64,style_aspects,64
gpt-image-2,claude_monet,64,by_name,64
gpt-image-2,alfred_sisley,64,by_name,64
gpt-image-2,camille_pissarro,64,by_name,64
gpt-image-2,paul_cezanne,64,by_name,64
gpt-image-2,artist_free,64,by_name,64
gpt-image-2,claude_monet,64,style_instruction,64
gpt-image-2,alfred_sisley,64,style_instruction,64
gpt-image-2,camille_pissarro,64,style_instruction,64
gpt-image-2,paul_cezanne,64,style_instruction,64
gpt-image-2,artist_free,64,style_instruction,64
gpt-image-2,claude_monet,64,style_aspects,64
gpt-image-2,alfred_sisley,64,style_aspects,64
gpt-image-2,camille_pissarro,64,style_aspects,64
gpt-image-2,paul_cezanne,64,style_aspects,64
gpt-image-2,artist_free,64,style_aspects,64
