alias,family,method_id,painter_id,target_minus_artist_free
gpt-image-1,color,by_name,claude_monet,-0.7399290187454373
gpt-image-1,color,style_instruction,claude_monet,-0.500202029584321
gpt-image-1,color,style_aspects,claude_monet,-0.4415355024221743
gpt-image-1,spatial,by_name,claude_monet,0.5836204815708492
gpt-image-1,spatial,style_instruction,claude_monet,0.7286287332690979
gpt-image-1,spatial,style_aspects,claude_monet,0.7864470237130501
gpt-image-1,texture,by_name,claude_monet,0.2673595858445288
gpt-image-1,texture,style_instruction,claude_monet,0.46323390734795633
gpt-image-1,texture,style_aspects,claude_monet,0.5216333571880727
gpt-image-1,color,by_name,alfred_sisley,-0.47083286399444235
gpt-image-1,color,style_instruction,alfred_sisley,-0.3101230541258322
gpt-image-1,color,style_aspects,alfred_sisley,-0.43835262428469624
gpt-image-1,spatial,by_name,alfred_sisley,0.14796699278390735
gpt-image-1,spatial,style_instruction,alfred_sisley,0.22755435511455957
gpt-image-1,spatial,style_aspects,alfred_sisley,0.2540578709674295
gpt-image-1,texture,by_name,alfred_sisley,-0.46965068568234614
gpt-image-1,texture,style_instruction,alfred_sisley,-0.06455067174713602
gpt-image-1,texture,style_aspects,alfred_sisley,0.06699662037858833
gpt-image-1,color,by_name,camille_pissarro,-0.22792143676686782
gpt-image-1,color,style_instruction,camille_pissarro,-0.0638992447168123
gpt-image-1,color,style_aspects,camille_pissarro,-0.34168758340153715
gpt-image-1,spatial,by_name,camille_pissarro,0.018110969363502427
gpt-image-1,spatial,style_instruction,camille_pissarro,0.2615024897868101
gpt-image-1,spatial,style_aspects,camille_pissarro,0.2770506811871396
gpt-image-1,texture,by_name,camille_pissarro,-0.051514942155907795
gpt-image-1,texture,style_instruction,camille_pissarro,0.4111573834108939
gpt-image-1,texture,style_aspects,camille_pissarro,0.45518757520121933
gpt-image-1,color,by_name,paul_cezanne,0.07140307425458103
gpt-image-1,color,style_instruction,paul_cezanne,0.280068513356454
gpt-image-1,color,style_aspects,paul_cezanne,0.17235846825574463
gpt-image-1,spatial,by_name,paul_cezanne,-0.1584381238870618
gpt-image-1,spatial,style_instruction,paul_cezanne,-0.01482784232230161
gpt-image-1,spatial,style_aspects,paul_cezanne,-0.02636012793053677
gpt-image-1,texture,by_name,paul_cezanne,0.5022599925623186
gpt-image-1,texture,style_instruction,paul_cezanne,0.7716954087171819
gpt-image-1,texture,style_aspects,paul_cezanne,0.684301767672157
gpt-image-2,color,by_name,claude_monet,-0.862472173815972
gpt-image-2,color,style_instruction,claude_monet,-0.4771195112931048
gpt-image-2,color,style_aspects,claude_monet,-0.511724848560442
gpt-image-2,spatial,by_name,claude_monet,0.588806016134662
gpt-image-2,spatial,style_instruction,claude_monet,0.7905498642186273
gpt-image-2,spatial,style_aspects,claude_monet,0.7313165710133891
gpt-image-2,texture,by_name,claude_monet,0.24600403161888962
gpt-image-2,texture,style_instruction,claude_monet,0.6941687326126138
gpt-image-2,texture,style_aspects,claude_monet,0.5675886182913872
gpt-image-2,color,by_name,alfred_sisley,-0.48688056566364657
gpt-image-2,color,style_instruction,alfred_sisley,-0.3611072572595062
gpt-image-2,color,style_aspects,alfred_sisley,-0.4690939776577441
gpt-image-2,spatial,by_name,alfred_sisley,0.17268086370081637
gpt-image-2,spatial,style_instruction,alfred_sisley,0.2882613008079704
gpt-image-2,spatial,style_aspects,alfred_sisley,0.3081814534411622
gpt-image-2,texture,by_name,alfred_sisley,-0.41883645503286804
gpt-image-2,texture,style_instruction,alfred_sisley,0.04620907546920572
gpt-image-2,texture,style_aspects,alfred_sisley,0.02182301412587906
gpt-image-2,color,by_name,camille_pissarro,-0.15671973976287434
gpt-image-2,color,style_instruction,camille_pissarro,-0.08770275308244901
gpt-image-2,color,style_aspects,camille_pissarro,-0.3101533493295139
gpt-image-2,spatial,by_name,camille_pissarro,0.05184502465607821
gpt-image-2,spatial,style_instruction,camille_pissarro,0.22194470269652267
gpt-image-2,spatial,style_aspects,camille_pissarro,0.2840571980396003
gpt-image-2,texture,by_name,camille_pissarro,-0.06653569046824348
gpt-image-2,texture,style_instruction,camille_pissarro,0.5229658650489883
gpt-image-2,texture,style_aspects,camille_pissarro,0.47566316972611133
gpt-image-2,color,by_name,paul_cezanne,0.17098659890277657
gpt-image-2,color,style_instruction,paul_cezanne,0.22311059482886408
gpt-image-2,color,style_aspects,paul_cezanne,0.1633921287178839
gpt-image-2,spatial,by_name,paul_cezanne,-0.19574077587273164
gpt-image-2,spatial,style_instruction,paul_cezanne,-0.049569554802513904
gpt-image-2,spatial,style_aspects,paul_cezanne,0.030059239575044527
gpt-image-2,texture,by_name,paul_cezanne,0.43839780900644687
gpt-image-2,texture,style_instruction,paul_cezanne,0.767960937244375
gpt-image-2,texture,style_aspects,paul_cezanne,0.5127584638886098
