alias,condition,expected,method_id,statuses
gpt-image-1,claude_monet,64,by_name,"{""measured"":64}"
gpt-image-1,alfred_sisley,64,by_name,"{""measured"":64}"
gpt-image-1,camille_pissarro,64,by_name,"{""measured"":63,""not_generated"":1}"
gpt-image-1,paul_cezanne,64,by_name,"{""measured"":63,""not_generated"":1}"
gpt-image-1,artist_free,64,by_name,"{""measured"":64}"
gpt-image-1,claude_monet,64,style_instruction,"{""measured"":64}"
gpt-image-1,alfred_sisley,64,style_instruction,"{""measured"":64}"
gpt-image-1,camille_pissarro,64,style_instruction,"{""measured"":64}"
gpt-image-1,paul_cezanne,64,style_instruction,"{""measured"":64}"
gpt-image-1,artist_free,64,style_instruction,"{""measured"":64}"
gpt-image-1,claude_monet,64,style_aspects,"{""measured"":64}"
gpt-image-1,alfred_sisley,64,style_aspects,"{""measured"":64}"
gpt-image-1,camille_pissarro,64,style_aspects,"{""measured"":64}"
gpt-image-1,paul_cezanne,64,style_aspects,"{""measured"":64}"
gpt-image-1,artist_free,64,style_aspects,"{""measured"":64}"
gpt-image-2,claude_monet,64,by_name,"{""measured"":64}"
gpt-image-2,alfred_sisley,64,by_name,"{""measured"":64}"
gpt-image-2,camille_pissarro,64,by_name,"{""measured"":64}"
gpt-image-2,paul_cezanne,64,by_name,"{""measured"":64}"
gpt-image-2,artist_free,64,by_name,"{""measured"":64}"
gpt-image-2,claude_monet,64,style_instruction,"{""measured"":64}"
gpt-image-2,alfred_sisley,64,style_instruction,"{""measured"":64}"
gpt-image-2,camille_pissarro,64,style_instruction,"{""measured"":64}"
gpt-image-2,paul_cezanne,64,style_instruction,"{""measured"":64}"
gpt-image-2,artist_free,64,style_instruction,"{""measured"":64}"
gpt-image-2,claude_monet,64,style_aspects,"{""measured"":64}"
gpt-image-2,alfred_sisley,64,style_aspects,"{""measured"":64}"
gpt-image-2,camille_pissarro,64,style_aspects,"{""measured"":64}"
gpt-image-2,paul_cezanne,64,style_aspects,"{""measured"":64}"
gpt-image-2,artist_free,64,style_aspects,"{""measured"":64}"
