alias,condition,distance,family,generated_count,method_id,missing_templates,painter_id,reference_count,status
gpt-image-1,claude_monet,0.5948073821162723,color,64,by_name,[],claude_monet,297,descriptive_all_available
gpt-image-1,claude_monet,0.7366629214008058,color,64,by_name,[],alfred_sisley,106,descriptive_all_available
gpt-image-1,claude_monet,0.7994679718394702,color,64,by_name,[],camille_pissarro,141,descriptive_all_available
gpt-image-1,claude_monet,1.761722353781579,color,64,by_name,[],paul_cezanne,105,descriptive_all_available
gpt-image-1,claude_monet,0.7943690355082103,spatial,64,by_name,[],claude_monet,297,descriptive_all_available
gpt-image-1,claude_monet,0.7384883945802487,spatial,64,by_name,[],alfred_sisley,106,descriptive_all_available
gpt-image-1,claude_monet,0.7264448763406564,spatial,64,by_name,[],camille_pissarro,141,descriptive_all_available
gpt-image-1,claude_monet,1.593580315009334,spatial,64,by_name,[],paul_cezanne,105,descriptive_all_available
gpt-image-1,claude_monet,1.6772200344842,texture,64,by_name,[],claude_monet,297,descriptive_all_available
gpt-image-1,claude_monet,1.4982185265384755,texture,64,by_name,[],alfred_sisley,106,descriptive_all_available
gpt-image-1,claude_monet,1.6313924114617775,texture,64,by_name,[],camille_pissarro,141,descriptive_all_available
gpt-image-1,claude_monet,2.7154209555264415,texture,64,by_name,[],paul_cezanne,105,descriptive_all_available
gpt-image-1,alfred_sisley,0.8955300804389927,color,64,by_name,[],claude_monet,297,descriptive_all_available
gpt-image-1,alfred_sisley,0.752500521923622,color,64,by_name,[],alfred_sisley,106,descriptive_all_available
gpt-image-1,alfred_sisley,0.6666260499540688,color,64,by_name,[],camille_pissarro,141,descriptive_all_available
gpt-image-1,alfred_sisley,2.1256729889172443,color,64,by_name,[],paul_cezanne,105,descriptive_all_available
gpt-image-1,alfred_sisley,0.5478997052973886,spatial,64,by_name,[],claude_monet,297,descriptive_all_available
gpt-image-1,alfred_sisley,0.5167665539215607,spatial,64,by_name,[],alfred_sisley,106,descriptive_all_available
gpt-image-1,alfred_sisley,0.663156435393883,spatial,64,by_name,[],camille_pissarro,141,descriptive_all_available
gpt-image-1,alfred_sisley,1.3276699431051369,spatial,64,by_name,[],paul_cezanne,105,descriptive_all_available
gpt-image-1,alfred_sisley,1.4606371600254269,texture,64,by_name,[],claude_monet,297,descriptive_all_available
gpt-image-1,alfred_sisley,1.1850752223069283,texture,64,by_name,[],alfred_sisley,106,descriptive_all_available
gpt-image-1,alfred_sisley,1.3979557016907846,texture,64,by_name,[],camille_pissarro,141,descriptive_all_available
gpt-image-1,alfred_sisley,2.50587949307772,texture,64,by_name,[],paul_cezanne,105,descriptive_all_available
gpt-image-1,camille_pissarro,1.435632500863857,color,63,by_name,[],claude_monet,297,descriptive_all_available
gpt-image-1,camille_pissarro,1.3564224267550293,color,63,by_name,[],alfred_sisley,106,descriptive_all_available
gpt-image-1,camille_pissarro,0.9068119045390386,color,63,by_name,[],camille_pissarro,141,descriptive_all_available
gpt-image-1,camille_pissarro,2.284021566499966,color,63,by_name,[],paul_cezanne,105,descriptive_all_available
gpt-image-1,camille_pissarro,0.9095024519514019,spatial,63,by_name,[],claude_monet,297,descriptive_all_available
gpt-image-1,camille_pissarro,0.8372701181158475,spatial,63,by_name,[],alfred_sisley,106,descriptive_all_available
gpt-image-1,camille_pissarro,0.7097651713320818,spatial,63,by_name,[],camille_pissarro,141,descriptive_all_available
gpt-image-1,camille_pissarro,1.5600310570781684,spatial,63,by_name,[],paul_cezanne,105,descriptive_all_available
gpt-image-1,camille_pissarro,1.5414541579844832,texture,63,by_name,[],claude_monet,297,descriptive_all_available
gpt-image-1,camille_pissarro,1.3975195465402614,texture,63,by_name,[],alfred_sisley,106,descriptive_all_available
gpt-image-1,camille_pissarro,1.3650226182578415,texture,63,by_name,[],camille_pissarro,141,descriptive_all_available
gpt-image-1,camille_pissarro,2.559757507374248,texture,63,by_name,[],paul_cezanne,105,descriptive_all_available
gpt-image-1,paul_cezanne,0.791429871263962,color,63,by_name,[],claude_monet,297,descriptive_all_available
gpt-image-1,paul_cezanne,0.9240437194082987,color,63,by_name,[],alfred_sisley,106,descriptive_all_available
gpt-image-1,paul_cezanne,1.0076160388967235,color,63,by_name,[],camille_pissarro,141,descriptive_all_available
gpt-image-1,paul_cezanne,0.7117387172504157,color,63,by_name,[],paul_cezanne,105,descriptive_all_available
gpt-image-1,paul_cezanne,0.9740217224321603,spatial,63,by_name,[],claude_monet,297,descriptive_all_available
gpt-image-1,paul_cezanne,1.2053380542471408,spatial,63,by_name,[],alfred_sisley,106,descriptive_all_available
gpt-image-1,paul_cezanne,1.2037329072755467,spatial,63,by_name,[],camille_pissarro,141,descriptive_all_available
gpt-image-1,paul_cezanne,0.6247394744671944,spatial,63,by_name,[],paul_cezanne,105,descriptive_all_available
gpt-image-1,paul_cezanne,1.6968737500914477,texture,63,by_name,[],claude_monet,297,descriptive_all_available
gpt-image-1,paul_cezanne,1.9965940456092492,texture,63,by_name,[],alfred_sisley,106,descriptive_all_available
