after,after_distance,alias,before,before_distance,both_measured_pairs,estimate,exceedances,family,holm_input,holm_p,method,missing_templates,null,painter_id,pairs,permutations,raw_p,reject_holm,seed,status,tie_tolerance,zero_contributions
style_instruction,0.8194595346421361,gpt-image-1,by_name,0.5948073821162723,64,0.2246521525258634,51,color,0.00052,0.024439999999999996,monte_carlo_paired_randomization,[],"joint sharp no-method-effect on availability AND measured features, with no interference across requests, conditional on third-method slots; not equal distances or feature-only null",claude_monet,64,99999,0.00052,True,8526061567828780593,conditional_joint_randomization,2.940564383880111e-15,False
style_aspects,0.9698600827230401,gpt-image-1,style_instruction,0.8194595346421361,64,0.15040054808090553,6176,color,0.06177,1.0,monte_carlo_paired_randomization,[],"joint sharp no-method-effect on availability AND measured features, with no interference across requests, conditional on third-method slots; not equal distances or feature-only null",claude_monet,64,99999,0.06177,False,2549219457227373242,conditional_joint_randomization,3.47254661174966e-15,False
style_instruction,0.941634045360308,gpt-image-1,by_name,0.7943690355082103,64,0.1472650098520979,7677,spatial,0.07678,1.0,monte_carlo_paired_randomization,[],"joint sharp no-method-effect on availability AND measured features, with no interference across requests, conditional on third-method slots; not equal distances or feature-only null",claude_monet,64,99999,0.07678,False,4239378522246056177,conditional_joint_randomization,3.618637642199001e-15,False
style_aspects,0.9925509786851023,gpt-image-1,style_instruction,0.941634045360308,64,0.05091693332479343,48130,spatial,0.48131,1.0,monte_carlo_paired_randomization,[],"joint sharp no-method-effect on availability AND measured features, with no interference across requests, conditional on third-method slots; not equal distances or feature-only null",claude_monet,64,99999,0.48131,False,7600965194645768423,conditional_joint_randomization,3.0435494331090338e-15,False
style_instruction,1.7233321921887483,gpt-image-1,by_name,1.6772200344842,64,0.046112157704546936,63633,texture,0.63634,1.0,monte_carlo_paired_randomization,[],"joint sharp no-method-effect on availability AND measured features, with no interference across requests, conditional on third-method slots; not equal distances or feature-only null",claude_monet,64,99999,0.63634,False,17776740525309306012,conditional_joint_randomization,3.981349958338728e-15,False
style_aspects,1.8277656487820566,gpt-image-1,style_instruction,1.7233321921887483,64,0.10443345659331019,26153,texture,0.26154,1.0,monte_carlo_paired_randomization,[],"joint sharp no-method-effect on availability AND measured features, with no interference across requests, conditional on third-method slots; not equal distances or feature-only null",claude_monet,64,99999,0.26154,False,7211021512779042324,conditional_joint_randomization,4.210431930820981e-15,False
style_instruction,0.8762278618095296,gpt-image-1,by_name,0.752500521923622,64,0.12372733988590724,2157,color,0.02158,0.7768799999999999,monte_carlo_paired_randomization,[],"joint sharp no-method-effect on availability AND measured features, with no interference across requests, conditional on third-method slots; not equal distances or feature-only null",alfred_sisley,64,99999,0.02158,False,6949674591777627134,conditional_joint_randomization,2.4109823346574872e-15,False
style_aspects,0.8349343985421545,gpt-image-1,style_instruction,0.8762278618095296,64,-0.041293463267374486,49262,color,0.49263,1.0,monte_carlo_paired_randomization,[],"joint sharp no-method-effect on availability AND measured features, with no interference across requests, conditional on third-method slots; not equal distances or feature-only null",alfred_sisley,64,99999,0.49263,False,14078487264274472590,conditional_joint_randomization,2.8029358155718844e-15,False
style_instruction,0.5817114141535393,gpt-image-1,by_name,0.5167665539215607,64,0.06494486023197804,21850,spatial,0.21851,1.0,monte_carlo_paired_randomization,[],"joint sharp no-method-effect on availability AND measured features, with no interference across requests, conditional on third-method slots; not equal distances or feature-only null",alfred_sisley,64,99999,0.21851,False,10039720896719556740,conditional_joint_randomization,2.3766388854642345e-15,False
style_aspects,0.6024433534123992,gpt-image-1,style_instruction,0.5817114141535393,64,0.02073193925885966,71123,spatial,0.71124,1.0,monte_carlo_paired_randomization,[],"joint sharp no-method-effect on availability AND measured features, with no interference across requests, conditional on third-method slots; not equal distances or feature-only null",alfred_sisley,64,99999,0.71124,False,15511380033989912698,conditional_joint_randomization,2.5111392131112845e-15,False
style_instruction,1.408914688670019,gpt-image-1,by_name,1.1850752223069283,64,0.2238394663630905,230,texture,0.00231,0.10395,monte_carlo_paired_randomization,[],"joint sharp no-method-effect on availability AND measured features, with no interference across requests, conditional on third-method slots; not equal distances or feature-only null",alfred_sisley,64,99999,0.00231,False,3038850813651415347,conditional_joint_randomization,3.365870935415285e-15,False
style_aspects,1.4641348320749528,gpt-image-1,style_instruction,1.408914688670019,64,0.05522014340493364,45080,texture,0.45081,1.0,monte_carlo_paired_randomization,[],"joint sharp no-method-effect on availability AND measured features, with no interference across requests, conditional on third-method slots; not equal distances or feature-only null",alfred_sisley,64,99999,0.45081,False,6266020465833496118,conditional_joint_randomization,3.098781699208349e-15,False
style_instruction,1.0680616975454318,gpt-image-1,by_name,0.9068119045390386,63,0.16124979300639453,3281,color,0.03282,1.0,monte_carlo_paired_randomization,[],"joint sharp no-method-effect on availability AND measured features, with no interference across requests, conditional on third-method slots; not equal distances or feature-only null",camille_pissarro,63,99999,0.03282,False,12622167473383666135,conditional_joint_randomization,3.406088253454114e-15,False
style_aspects,0.8715874293538928,gpt-image-1,style_instruction,1.0744942826693404,64,-0.2029068533154474,319,color,0.0032,0.1408,monte_carlo_paired_randomization,[],"joint sharp no-method-effect on availability AND measured features, with no interference across requests, conditional on third-method slots; not equal distances or feature-only null",camille_pissarro,64,99999,0.0032,False,13965521763301733771,conditional_joint_randomization,2.959709268767649e-15,False
style_instruction,0.8920074647720162,gpt-image-1,by_name,0.7097651713320818,63,0.18224229343993448,639,spatial,0.0064,0.2624,monte_carlo_paired_randomization,[],"joint sharp no-method-effect on availability AND measured features, with no interference across requests, conditional on third-method slots; not equal distances or feature-only null",camille_pissarro,63,99999,0.0064,False,12215273926601293731,conditional_joint_randomization,2.9802895041334965e-15,False
style_aspects,0.8794619831193049,gpt-image-1,style_instruction,0.9018986435482246,64,-0.02243666042891903,72477,spatial,0.72478,1.0,monte_carlo_paired_randomization,[],"joint sharp no-method-effect on availability AND measured features, with no interference across requests, conditional on third-method slots; not equal distances or feature-only null",camille_pissarro,64,99999,0.72478,False,12332960663104041825,conditional_joint_randomization,2.8513192475694818e-15,False
style_instruction,1.6279650553860936,gpt-image-1,by_name,1.3650226182578415,63,0.26294243712825033,330,texture,0.00331,0.14233,monte_carlo_paired_randomization,[],"joint sharp no-method-effect on availability AND measured features, with no interference across requests, conditional on third-method slots; not equal distances or feature-only null",camille_pissarro,63,99999,0.00331,False,13919242732091421547,conditional_joint_randomization,3.748293471394204e-15,False
style_aspects,1.7123014751885266,gpt-image-1,style_instruction,1.6359106797035634,64,0.07639079548496396,33597,texture,0.33598,1.0,monte_carlo_paired_randomization,[],"joint sharp no-method-effect on availability AND measured features, with no interference across requests, conditional on third-method slots; not equal distances or feature-only null",camille_pissarro,64,99999,0.33598,False,7981753758381342569,conditional_joint_randomization,3.2116319899149424e-15,False
style_instruction,0.8757962164797974,gpt-image-1,by_name,0.7117387172504157,63,0.16405749922938123,2021,color,0.02022,0.7481399999999999,monte_carlo_paired_randomization,[],"joint sharp no-method-effect on availability AND measured features, with no interference across requests, conditional on third-method slots; not equal distances or feature-only null",paul_cezanne,63,99999,0.02022,False,295594620794085959,conditional_joint_randomization,3.3173897725272134e-15,False
style_aspects,0.7591406956931179,gpt-image-1,style_instruction,0.87752373157825,64,-0.11838303588513091,8287,color,0.08288,1.0,monte_carlo_paired_randomization,[],"joint sharp no-method-effect on availability AND measured features, with no interference across requests, conditional on third-method slots; not equal distances or feature-only null",paul_cezanne,64,99999,0.08288,False,1744516079627867606,conditional_joint_randomization,2.9381288786534433e-15,False
style_instruction,0.736004257250761,gpt-image-1,by_name,0.6247394744671944,63,0.1112647827835658,7026,spatial,0.07027,1.0,monte_carlo_paired_randomization,[],"joint sharp no-method-effect on availability AND measured features, with no interference across requests, conditional on third-method slots; not equal distances or feature-only null",paul_cezanne,63,99999,0.07027,False,7989710571871954162,conditional_joint_randomization,2.5324969834298226e-15,False
style_aspects,0.6450429992718774,gpt-image-1,style_instruction,0.7353433759263746,64,-0.09030037665449786,10280,spatial,0.10281,1.0,monte_carlo_paired_randomization,[],"joint sharp no-method-effect on availability AND measured features, with no interference across requests, conditional on third-method slots; not equal distances or feature-only null",paul_cezanne,64,99999,0.10281,False,3465400752598631184,conditional_joint_randomization,2.5419001611635285e-15,False
style_instruction,2.2346773746096615,gpt-image-1,by_name,2.0668419711598487,63,0.16783540344981224,27082,texture,0.27083,1.0,monte_carlo_paired_randomization,[],"joint sharp no-method-effect on availability AND measured features, with no interference across requests, conditional on third-method slots; not equal distances or feature-only null",paul_cezanne,63,99999,0.27083,False,17905179189839287556,conditional_joint_randomization,6.406921659572796e-15,False
style_aspects,2.0313548773085555,gpt-image-1,style_instruction,2.2360777656585147,64,-0.2047228883499587,12442,texture,0.12443,1.0,monte_carlo_paired_randomization,[],"joint sharp no-method-effect on availability AND measured features, with no interference across requests, conditional on third-method slots; not equal distances or feature-only null",paul_cezanne,64,99999,0.12443,False,10104170479986987600,conditional_joint_randomization,6.0211441390114325e-15,False
style_instruction,0.8584413967134195,gpt-image-2,by_name,0.5003885222942783,64,0.35805287441914124,0,color,1e-05,0.00048000000000000007,monte_carlo_paired_randomization,[],"joint sharp no-method-effect on availability AND measured features, with no interference across requests, conditional on third-method slots; not equal distances or feature-only null",claude_monet,64,99999,1e-05,True,7988771552422306345,conditional_joint_randomization,2.9370744095555536e-15,False
style_aspects,0.8952636009061472,gpt-image-2,style_instruction,0.8584413967134195,64,0.03682220419272784,59137,color,0.59138,1.0,monte_carlo_paired_randomization,[],"joint sharp no-method-effect on availability AND measured features, with no interference across requests, conditional on third-method slots; not equal distances or feature-only null",claude_monet,64,99999,0.59138,False,17196051194417406970,conditional_joint_randomization,2.9477093749217786e-15,False
