after,after_request_id,after_request_sequence,after_status,alias,before,before_request_id,before_request_sequence,before_status,block,both_measured,contribution,family,included,order_sequence,painter_id,status,template_id,weight
style_instruction,b0000-W2-claude_monet-style_instruction-gpt-image-1,12,measured,gpt-image-1,by_name,b0000-W2-claude_monet-by_name-gpt-image-1,13,measured,0,True,8.647341751444326e-05,color,True,12,claude_monet,conditional_joint_randomization,W2,0.015625
style_instruction,b0000-L4-claude_monet-style_instruction-gpt-image-1,27,measured,gpt-image-1,by_name,b0000-L4-claude_monet-by_name-gpt-image-1,29,measured,0,True,-0.0025986153124666345,color,True,27,claude_monet,conditional_joint_randomization,L4,0.015625
style_instruction,b0000-R4-claude_monet-style_instruction-gpt-image-1,33,measured,gpt-image-1,by_name,b0000-R4-claude_monet-by_name-gpt-image-1,35,measured,0,True,-6.403578813266031e-05,color,True,33,claude_monet,conditional_joint_randomization,R4,0.015625
style_instruction,b0000-L3-claude_monet-style_instruction-gpt-image-1,36,measured,gpt-image-1,by_name,b0000-L3-claude_monet-by_name-gpt-image-1,38,measured,0,True,0.01161596169289339,color,True,36,claude_monet,conditional_joint_randomization,L3,0.015625
style_instruction,b0000-R3-claude_monet-style_instruction-gpt-image-1,64,measured,gpt-image-1,by_name,b0000-R3-claude_monet-by_name-gpt-image-1,65,measured,0,True,0.002237173260873637,color,True,64,claude_monet,conditional_joint_randomization,R3,0.015625
style_instruction,b0000-W4-claude_monet-style_instruction-gpt-image-1,114,measured,gpt-image-1,by_name,b0000-W4-claude_monet-by_name-gpt-image-1,116,measured,0,True,-0.000338174653823492,color,True,114,claude_monet,conditional_joint_randomization,W4,0.015625
style_instruction,b0000-B2-claude_monet-style_instruction-gpt-image-1,143,measured,gpt-image-1,by_name,b0000-B2-claude_monet-by_name-gpt-image-1,141,measured,0,True,-0.0007174191133539204,color,True,141,claude_monet,conditional_joint_randomization,B2,0.015625
style_instruction,b0000-B1-claude_monet-style_instruction-gpt-image-1,155,measured,gpt-image-1,by_name,b0000-B1-claude_monet-by_name-gpt-image-1,153,measured,0,True,0.016607266817774177,color,True,153,claude_monet,conditional_joint_randomization,B1,0.015625
style_instruction,b0000-R1-claude_monet-style_instruction-gpt-image-1,191,measured,gpt-image-1,by_name,b0000-R1-claude_monet-by_name-gpt-image-1,190,measured,0,True,0.002928237102636226,color,True,190,claude_monet,conditional_joint_randomization,R1,0.015625
style_instruction,b0000-L1-claude_monet-style_instruction-gpt-image-1,295,measured,gpt-image-1,by_name,b0000-L1-claude_monet-by_name-gpt-image-1,294,measured,0,True,-0.006106527654818117,color,True,294,claude_monet,conditional_joint_randomization,L1,0.015625
style_instruction,b0000-W3-claude_monet-style_instruction-gpt-image-1,308,measured,gpt-image-1,by_name,b0000-W3-claude_monet-by_name-gpt-image-1,307,measured,0,True,0.006967985103158651,color,True,307,claude_monet,conditional_joint_randomization,W3,0.015625
style_instruction,b0000-L2-claude_monet-style_instruction-gpt-image-1,376,measured,gpt-image-1,by_name,b0000-L2-claude_monet-by_name-gpt-image-1,377,measured,0,True,0.002021534918824147,color,True,376,claude_monet,conditional_joint_randomization,L2,0.015625
style_instruction,b0000-B4-claude_monet-style_instruction-gpt-image-1,391,measured,gpt-image-1,by_name,b0000-B4-claude_monet-by_name-gpt-image-1,392,measured,0,True,0.01828034296453409,color,True,391,claude_monet,conditional_joint_randomization,B4,0.015625
style_instruction,b0000-B3-claude_monet-style_instruction-gpt-image-1,396,measured,gpt-image-1,by_name,b0000-B3-claude_monet-by_name-gpt-image-1,397,measured,0,True,0.0055281623398215005,color,True,396,claude_monet,conditional_joint_randomization,B3,0.015625
style_instruction,b0000-W1-claude_monet-style_instruction-gpt-image-1,421,measured,gpt-image-1,by_name,b0000-W1-claude_monet-by_name-gpt-image-1,420,measured,0,True,-0.002777904309296912,color,True,420,claude_monet,conditional_joint_randomization,W1,0.015625
style_instruction,b0000-R2-claude_monet-style_instruction-gpt-image-1,456,measured,gpt-image-1,by_name,b0000-R2-claude_monet-by_name-gpt-image-1,457,measured,0,True,0.004212058051594886,color,True,456,claude_monet,conditional_joint_randomization,R2,0.015625
style_instruction,b0001-B2-claude_monet-style_instruction-gpt-image-1,513,measured,gpt-image-1,by_name,b0001-B2-claude_monet-by_name-gpt-image-1,514,measured,1,True,0.011111384493191559,color,True,513,claude_monet,conditional_joint_randomization,B2,0.015625
