after,alias,before,endpoint,estimate,family,painter_id,status,support
style_instruction,gpt-image-1,by_name,control_adjusted_transition,0.23972698916111623,color,claude_monet,descriptive_all_available,all_available_equal_template
style_aspects,gpt-image-1,style_instruction,control_adjusted_transition,0.05866652716214604,color,claude_monet,descriptive_all_available,all_available_equal_template
style_aspects,gpt-image-1,by_name,overall_transition,0.3750527006067679,color,claude_monet,descriptive_all_available,all_available_equal_template
style_instruction,gpt-image-1,by_name,control_adjusted_transition,0.14500825169824827,spatial,claude_monet,descriptive_all_available,all_available_equal_template
style_aspects,gpt-image-1,style_instruction,control_adjusted_transition,0.05781829044395348,spatial,claude_monet,descriptive_all_available,all_available_equal_template
style_aspects,gpt-image-1,by_name,overall_transition,0.19818194317689208,spatial,claude_monet,descriptive_all_available,all_available_equal_template
style_instruction,gpt-image-1,by_name,control_adjusted_transition,0.19587432150342887,texture,claude_monet,descriptive_all_available,all_available_equal_template
style_aspects,gpt-image-1,style_instruction,control_adjusted_transition,0.058399449840115025,texture,claude_monet,descriptive_all_available,all_available_equal_template
style_aspects,gpt-image-1,by_name,overall_transition,0.1505456142978565,texture,claude_monet,descriptive_all_available,all_available_equal_template
style_instruction,gpt-image-1,by_name,control_adjusted_transition,0.16070980986860972,color,alfred_sisley,descriptive_all_available,all_available_equal_template
style_aspects,gpt-image-1,style_instruction,control_adjusted_transition,-0.1282295701588625,color,alfred_sisley,descriptive_all_available,all_available_equal_template
style_aspects,gpt-image-1,by_name,overall_transition,0.08243387661853241,color,alfred_sisley,descriptive_all_available,all_available_equal_template
style_instruction,gpt-image-1,by_name,control_adjusted_transition,0.07958736233065311,spatial,alfred_sisley,descriptive_all_available,all_available_equal_template
style_aspects,gpt-image-1,style_instruction,control_adjusted_transition,0.026503515852870807,spatial,alfred_sisley,descriptive_all_available,all_available_equal_template
style_aspects,gpt-image-1,by_name,overall_transition,0.0856767994908385,spatial,alfred_sisley,descriptive_all_available,all_available_equal_template
style_instruction,gpt-image-1,by_name,control_adjusted_transition,0.40510001393521033,texture,alfred_sisley,descriptive_all_available,all_available_equal_template
style_aspects,gpt-image-1,style_instruction,control_adjusted_transition,0.13154729212572414,texture,alfred_sisley,descriptive_all_available,all_available_equal_template
style_aspects,gpt-image-1,by_name,overall_transition,0.27905960976802446,texture,alfred_sisley,descriptive_all_available,all_available_equal_template
style_instruction,gpt-image-1,by_name,control_adjusted_transition,0.16459521403347388,color,camille_pissarro,descriptive_all_available,all_available_equal_template
style_aspects,gpt-image-1,style_instruction,control_adjusted_transition,-0.2777883386847244,color,camille_pissarro,descriptive_all_available,all_available_equal_template
style_aspects,gpt-image-1,by_name,overall_transition,-0.03522447518514582,color,camille_pissarro,descriptive_all_available,all_available_equal_template
style_instruction,gpt-image-1,by_name,control_adjusted_transition,0.24891924053543102,spatial,camille_pissarro,descriptive_all_available,all_available_equal_template
