arm,before,changed_probabilities,corrected,kind,members,painter_id,pipeline,polarity,reference_weighting,weighting
,"[-0.5238665485852992, 0.060827080907058864, 1.590527614257876]","[""1/2""]","[-0.5238665485852992, -0.04069474162626436, 1.590527614257876]",reference_envelope,"[{""identity"": ""wikidata:Q105099583"", ""weight"": ""1/38""}, {""identity"": ""wikidata:Q105099601"", ""weight"": ""1/38""}, {""identity"": ""wikidata:Q105099613"", ""weight"": ""1/38""}, {""identity"": ""wikidata:Q105099626"", ""weight"": ""1/38""}, {""identity"": ""wikidata:Q106879983"", ""weight"": ""1/38""}, {""identity"": ""wikidata:Q106925109"", ""weight"": ""1/38""}, {""identity"": ""wikidata:Q113520917"", ""weight"": ""1/38""}, {""identity"": ""wikidata:Q116143411"", ""weight"": ""1/38""}, {""identity"": ""wikidata:Q117435199"", ""weight"": ""1/38""}, {""identity"": ""wikidata:Q117435200"", ""weight"": ""1/38""}, {""identity"": ""wikidata:Q17492292"", ""weight"": ""1/38""}, {""identity"": ""wikidata:Q17493461"", ""weight"": ""1/38""}, {""identity"": ""wikidata:Q17493907"", ""weight"": ""1/38""}, {""identity"": ""wikidata:Q19967292"", ""weight"": ""1/38""}, {""identity"": ""wikidata:Q20538824"", ""weight"": ""1/38""}, {""identity"": ""wikidata:Q20538849"", ""weight"": ""1/38""}, {""identity"": ""wikidata:Q20809479"", ""weight"": ""1/38""}, {""identity"": ""wikidata:Q2450237"", ""weight"": ""1/38""}, {""identity"": ""wikidata:Q24953805"", ""weight"": ""1/38""}, {""identity"": ""wikidata:Q30093031"", ""weight"": ""1/38""}, {""identity"": ""wikidata:Q3794124"", ""weight"": ""1/38""}, {""identity"": ""wikidata:Q47615867"", ""weight"": ""1/38""}, {""identity"": ""wikidata:Q50415977"", ""weight"": ""1/38""}, {""identity"": ""wikidata:Q50700359"", ""weight"": ""1/38""}, {""identity"": ""wikidata:Q59530379"", ""weight"": ""1/38""}, {""identity"": ""wikidata:Q63952037"", ""weight"": ""1/38""}, {""identity"": ""wikidata:Q66126523"", ""weight"": ""1/38""}, {""identity"": ""wikidata:Q67158045"", ""weight"": ""1/38""}, {""identity"": ""wikidata:Q67220780"", ""weight"": ""1/38""}, {""identity"": ""wikidata:Q67609602"", ""weight"": ""1/38""}, {""identity"": ""wikidata:Q68372814"", ""weight"": ""1/38""}, {""identity"": ""wikidata:Q79790733"", ""weight"": ""1/38""}, {""identity"": ""wikidata:Q79790741"", ""weight"": ""1/38""}, {""identity"": ""wikidata:Q79868506"", ""weight"": ""1/38""}, {""identity"": ""wikidata:Q85224931"", ""weight"": ""1/38""}, {""identity"": ""wikidata:Q87367853"", ""weight"": ""1/38""}, {""identity"": ""wikidata:Q92787519"", ""weight"": ""1/38""}, {""identity"": ""wikidata:Q92831691"", ""weight"": ""1/38""}]",claude_monet,primary512,,,empirical_reference_mixture
,"[-0.5261401839931757, 0.04890936402290826, 1.5941143586377902]","[""1/2""]","[-0.5261401839931757, -0.04015213561051604, 1.5941143586377902]",reference_envelope,"[{""identity"": ""wikidata:Q105099583"", ""weight"": ""1/38""}, {""identity"": ""wikidata:Q105099601"", ""weight"": ""1/38""}, {""identity"": ""wikidata:Q105099613"", ""weight"": ""1/38""}, {""identity"": ""wikidata:Q105099626"", ""weight"": ""1/38""}, {""identity"": ""wikidata:Q106879983"", ""weight"": ""1/38""}, {""identity"": ""wikidata:Q106925109"", ""weight"": ""1/38""}, {""identity"": ""wikidata:Q113520917"", ""weight"": ""1/38""}, {""identity"": ""wikidata:Q116143411"", ""weight"": ""1/38""}, {""identity"": ""wikidata:Q117435199"", ""weight"": ""1/38""}, {""identity"": ""wikidata:Q117435200"", ""weight"": ""1/38""}, {""identity"": ""wikidata:Q17492292"", ""weight"": ""1/38""}, {""identity"": ""wikidata:Q17493461"", ""weight"": ""1/38""}, {""identity"": ""wikidata:Q17493907"", ""weight"": ""1/38""}, {""identity"": ""wikidata:Q19967292"", ""weight"": ""1/38""}, {""identity"": ""wikidata:Q20538824"", ""weight"": ""1/38""}, {""identity"": ""wikidata:Q20538849"", ""weight"": ""1/38""}, {""identity"": ""wikidata:Q20809479"", ""weight"": ""1/38""}, {""identity"": ""wikidata:Q2450237"", ""weight"": ""1/38""}, {""identity"": ""wikidata:Q24953805"", ""weight"": ""1/38""}, {""identity"": ""wikidata:Q30093031"", ""weight"": ""1/38""}, {""identity"": ""wikidata:Q3794124"", ""weight"": ""1/38""}, {""identity"": ""wikidata:Q47615867"", ""weight"": ""1/38""}, {""identity"": ""wikidata:Q50415977"", ""weight"": ""1/38""}, {""identity"": ""wikidata:Q50700359"", ""weight"": ""1/38""}, {""identity"": ""wikidata:Q59530379"", ""weight"": ""1/38""}, {""identity"": ""wikidata:Q63952037"", ""weight"": ""1/38""}, {""identity"": ""wikidata:Q66126523"", ""weight"": ""1/38""}, {""identity"": ""wikidata:Q67158045"", ""weight"": ""1/38""}, {""identity"": ""wikidata:Q67220780"", ""weight"": ""1/38""}, {""identity"": ""wikidata:Q67609602"", ""weight"": ""1/38""}, {""identity"": ""wikidata:Q68372814"", ""weight"": ""1/38""}, {""identity"": ""wikidata:Q79790733"", ""weight"": ""1/38""}, {""identity"": ""wikidata:Q79790741"", ""weight"": ""1/38""}, {""identity"": ""wikidata:Q79868506"", ""weight"": ""1/38""}, {""identity"": ""wikidata:Q85224931"", ""weight"": ""1/38""}, {""identity"": ""wikidata:Q87367853"", ""weight"": ""1/38""}, {""identity"": ""wikidata:Q92787519"", ""weight"": ""1/38""}, {""identity"": ""wikidata:Q92831691"", ""weight"": ""1/38""}]",claude_monet,resolution256,,,empirical_reference_mixture
,"[-0.5310182559820995, 0.04088131097079019, 1.587816578263035]","[""1/2""]","[-0.5310182559820995, -0.08939180354727674, 1.587816578263035]",reference_envelope,"[{""identity"": ""wikidata:Q105099583"", ""weight"": ""1/38""}, {""identity"": ""wikidata:Q105099601"", ""weight"": ""1/38""}, {""identity"": ""wikidata:Q105099613"", ""weight"": ""1/38""}, {""identity"": ""wikidata:Q105099626"", ""weight"": ""1/38""}, {""identity"": ""wikidata:Q106879983"", ""weight"": ""1/38""}, {""identity"": ""wikidata:Q106925109"", ""weight"": ""1/38""}, {""identity"": ""wikidata:Q113520917"", ""weight"": ""1/38""}, {""identity"": ""wikidata:Q116143411"", ""weight"": ""1/38""}, {""identity"": ""wikidata:Q117435199"", ""weight"": ""1/38""}, {""identity"": ""wikidata:Q117435200"", ""weight"": ""1/38""}, {""identity"": ""wikidata:Q17492292"", ""weight"": ""1/38""}, {""identity"": ""wikidata:Q17493461"", ""weight"": ""1/38""}, {""identity"": ""wikidata:Q17493907"", ""weight"": ""1/38""}, {""identity"": ""wikidata:Q19967292"", ""weight"": ""1/38""}, {""identity"": ""wikidata:Q20538824"", ""weight"": ""1/38""}, {""identity"": ""wikidata:Q20538849"", ""weight"": ""1/38""}, {""identity"": ""wikidata:Q20809479"", ""weight"": ""1/38""}, {""identity"": ""wikidata:Q2450237"", ""weight"": ""1/38""}, {""identity"": ""wikidata:Q24953805"", ""weight"": ""1/38""}, {""identity"": ""wikidata:Q30093031"", ""weight"": ""1/38""}, {""identity"": ""wikidata:Q3794124"", ""weight"": ""1/38""}, {""identity"": ""wikidata:Q47615867"", ""weight"": ""1/38""}, {""identity"": ""wikidata:Q50415977"", ""weight"": ""1/38""}, {""identity"": ""wikidata:Q50700359"", ""weight"": ""1/38""}, {""identity"": ""wikidata:Q59530379"", ""weight"": ""1/38""}, {""identity"": ""wikidata:Q63952037"", ""weight"": ""1/38""}, {""identity"": ""wikidata:Q66126523"", ""weight"": ""1/38""}, {""identity"": ""wikidata:Q67158045"", ""weight"": ""1/38""}, {""identity"": ""wikidata:Q67220780"", ""weight"": ""1/38""}, {""identity"": ""wikidata:Q67609602"", ""weight"": ""1/38""}, {""identity"": ""wikidata:Q68372814"", ""weight"": ""1/38""}, {""identity"": ""wikidata:Q79790733"", ""weight"": ""1/38""}, {""identity"": ""wikidata:Q79790741"", ""weight"": ""1/38""}, {""identity"": ""wikidata:Q79868506"", ""weight"": ""1/38""}, {""identity"": ""wikidata:Q85224931"", ""weight"": ""1/38""}, {""identity"": ""wikidata:Q87367853"", ""weight"": ""1/38""}, {""identity"": ""wikidata:Q92787519"", ""weight"": ""1/38""}, {""identity"": ""wikidata:Q92831691"", ""weight"": ""1/38""}]",claude_monet,jpeg90_512,,,empirical_reference_mixture
free,"[-0.9120475207271771, 2.8953936122665613, 4.390940025694465]","[""1/2""]","[-0.9120475207271771, 0.45639215711024644, 4.390940025694465]",generated_summary,"[{""identity"": ""prv2:built_houses:r01:free:vivid"", ""weight"": ""1/18""}, {""identity"": ""prv2:built_houses:r01:free:muted"", ""weight"": ""1/12""}, {""identity"": ""prv2:land_fields:r02:free:muted"", ""weight"": ""1/12""}, {""identity"": ""prv2:land_fields:r02:free:vivid"", ""weight"": ""1/12""}, {""identity"": ""prv2:water_bend:r01:free:vivid"", ""weight"": ""1/6""}, {""identity"": ""prv2:water_bend:r01:free:muted"", ""weight"": ""1/6""}, {""identity"": ""prv2:built_village:r02:free:vivid"", ""weight"": ""1/18""}, {""identity"": ""prv2:built_village:r02:free:muted"", ""weight"": ""1/12""}, {""identity"": ""prv2:built_houses:r02:free:vivid"", ""weight"": ""1/18""}, {""identity"": ""prv2:land_fields:r00:free:vivid"", ""weight"": ""1/12""}, {""identity"": ""prv2:land_fields:r00:free:muted"", ""weight"": ""1/12""}]",claude_monet,primary512,equal_polarity_mixture,empirical_reference_mixture,
free,"[-0.9120475207271771, 2.8953936122665613, 4.390940025694465]","[""1/2""]","[-0.9120475207271771, 0.45639215711024644, 4.390940025694465]",generated_summary,"[{""identity"": ""prv2:built_houses:r01:free:vivid"", ""weight"": ""1/18""}, {""identity"": ""prv2:built_houses:r01:free:muted"", ""weight"": ""1/12""}, {""identity"": ""prv2:land_fields:r02:free:muted"", ""weight"": ""1/12""}, {""identity"": ""prv2:land_fields:r02:free:vivid"", ""weight"": ""1/12""}, {""identity"": ""prv2:water_bend:r01:free:vivid"", ""weight"": ""1/6""}, {""identity"": ""prv2:water_bend:r01:free:muted"", ""weight"": ""1/6""}, {""identity"": ""prv2:built_village:r02:free:vivid"", ""weight"": ""1/18""}, {""identity"": ""prv2:built_village:r02:free:muted"", ""weight"": ""1/12""}, {""identity"": ""prv2:built_houses:r02:free:vivid"", ""weight"": ""1/18""}, {""identity"": ""prv2:land_fields:r00:free:vivid"", ""weight"": ""1/12""}, {""identity"": ""prv2:land_fields:r00:free:muted"", ""weight"": ""1/12""}]",claude_monet,primary512,equal_polarity_mixture,equal_broad_class,
free,"[-0.9120475207271771, 2.8953936122665613, 4.390940025694465]","[""1/2""]","[-0.9120475207271771, 0.45639215711024644, 4.390940025694465]",generated_summary,"[{""identity"": ""prv2:built_houses:r01:free:vivid"", ""weight"": ""1/18""}, {""identity"": ""prv2:built_houses:r01:free:muted"", ""weight"": ""1/12""}, {""identity"": ""prv2:land_fields:r02:free:muted"", ""weight"": ""1/12""}, {""identity"": ""prv2:land_fields:r02:free:vivid"", ""weight"": ""1/12""}, {""identity"": ""prv2:water_bend:r01:free:vivid"", ""weight"": ""1/6""}, {""identity"": ""prv2:water_bend:r01:free:muted"", ""weight"": ""1/6""}, {""identity"": ""prv2:built_village:r02:free:vivid"", ""weight"": ""1/18""}, {""identity"": ""prv2:built_village:r02:free:muted"", ""weight"": ""1/12""}, {""identity"": ""prv2:built_houses:r02:free:vivid"", ""weight"": ""1/18""}, {""identity"": ""prv2:land_fields:r00:free:vivid"", ""weight"": ""1/12""}, {""identity"": ""prv2:land_fields:r00:free:muted"", ""weight"": ""1/12""}]",paul_cezanne,primary512,equal_polarity_mixture,empirical_reference_mixture,
free,"[-0.9120475207271771, 2.8953936122665613, 4.390940025694465]","[""1/2""]","[-0.9120475207271771, 0.45639215711024644, 4.390940025694465]",generated_summary,"[{""identity"": ""prv2:built_houses:r01:free:vivid"", ""weight"": ""1/18""}, {""identity"": ""prv2:built_houses:r01:free:muted"", ""weight"": ""1/12""}, {""identity"": ""prv2:land_fields:r02:free:muted"", ""weight"": ""1/12""}, {""identity"": ""prv2:land_fields:r02:free:vivid"", ""weight"": ""1/12""}, {""identity"": ""prv2:water_bend:r01:free:vivid"", ""weight"": ""1/6""}, {""identity"": ""prv2:water_bend:r01:free:muted"", ""weight"": ""1/6""}, {""identity"": ""prv2:built_village:r02:free:vivid"", ""weight"": ""1/18""}, {""identity"": ""prv2:built_village:r02:free:muted"", ""weight"": ""1/12""}, {""identity"": ""prv2:built_houses:r02:free:vivid"", ""weight"": ""1/18""}, {""identity"": ""prv2:land_fields:r00:free:vivid"", ""weight"": ""1/12""}, {""identity"": ""prv2:land_fields:r00:free:muted"", ""weight"": ""1/12""}]",paul_cezanne,primary512,equal_polarity_mixture,equal_broad_class,
free,"[-0.9184053942331087, 2.8854179888530873, 4.383162541858263]","[""1/2""]","[-0.9184053942331087, 0.45775260134204454, 4.383162541858263]",generated_summary,"[{""identity"": ""prv2:built_houses:r01:free:vivid"", ""weight"": ""1/18""}, {""identity"": ""prv2:built_houses:r01:free:muted"", ""weight"": ""1/12""}, {""identity"": ""prv2:land_fields:r02:free:muted"", ""weight"": ""1/12""}, {""identity"": ""prv2:land_fields:r02:free:vivid"", ""weight"": ""1/12""}, {""identity"": ""prv2:water_bend:r01:free:vivid"", ""weight"": ""1/6""}, {""identity"": ""prv2:water_bend:r01:free:muted"", ""weight"": ""1/6""}, {""identity"": ""prv2:built_village:r02:free:vivid"", ""weight"": ""1/18""}, {""identity"": ""prv2:built_village:r02:free:muted"", ""weight"": ""1/12""}, {""identity"": ""prv2:built_houses:r02:free:vivid"", ""weight"": ""1/18""}, {""identity"": ""prv2:land_fields:r00:free:vivid"", ""weight"": ""1/12""}, {""identity"": ""prv2:land_fields:r00:free:muted"", ""weight"": ""1/12""}]",claude_monet,resolution256,equal_polarity_mixture,empirical_reference_mixture,
free,"[-0.9184053942331087, 2.8854179888530873, 4.383162541858263]","[""1/2""]","[-0.9184053942331087, 0.45775260134204454, 4.383162541858263]",generated_summary,"[{""identity"": ""prv2:built_houses:r01:free:vivid"", ""weight"": ""1/18""}, {""identity"": ""prv2:built_houses:r01:free:muted"", ""weight"": ""1/12""}, {""identity"": ""prv2:land_fields:r02:free:muted"", ""weight"": ""1/12""}, {""identity"": ""prv2:land_fields:r02:free:vivid"", ""weight"": ""1/12""}, {""identity"": ""prv2:water_bend:r01:free:vivid"", ""weight"": ""1/6""}, {""identity"": ""prv2:water_bend:r01:free:muted"", ""weight"": ""1/6""}, {""identity"": ""prv2:built_village:r02:free:vivid"", ""weight"": ""1/18""}, {""identity"": ""prv2:built_village:r02:free:muted"", ""weight"": ""1/12""}, {""identity"": ""prv2:built_houses:r02:free:vivid"", ""weight"": ""1/18""}, {""identity"": ""prv2:land_fields:r00:free:vivid"", ""weight"": ""1/12""}, {""identity"": ""prv2:land_fields:r00:free:muted"", ""weight"": ""1/12""}]",claude_monet,resolution256,equal_polarity_mixture,equal_broad_class,
free,"[-0.9184053942331087, 2.8854179888530873, 4.383162541858263]","[""1/2""]","[-0.9184053942331087, 0.45775260134204454, 4.383162541858263]",generated_summary,"[{""identity"": ""prv2:built_houses:r01:free:vivid"", ""weight"": ""1/18""}, {""identity"": ""prv2:built_houses:r01:free:muted"", ""weight"": ""1/12""}, {""identity"": ""prv2:land_fields:r02:free:muted"", ""weight"": ""1/12""}, {""identity"": ""prv2:land_fields:r02:free:vivid"", ""weight"": ""1/12""}, {""identity"": ""prv2:water_bend:r01:free:vivid"", ""weight"": ""1/6""}, {""identity"": ""prv2:water_bend:r01:free:muted"", ""weight"": ""1/6""}, {""identity"": ""prv2:built_village:r02:free:vivid"", ""weight"": ""1/18""}, {""identity"": ""prv2:built_village:r02:free:muted"", ""weight"": ""1/12""}, {""identity"": ""prv2:built_houses:r02:free:vivid"", ""weight"": ""1/18""}, {""identity"": ""prv2:land_fields:r00:free:vivid"", ""weight"": ""1/12""}, {""identity"": ""prv2:land_fields:r00:free:muted"", ""weight"": ""1/12""}]",paul_cezanne,resolution256,equal_polarity_mixture,empirical_reference_mixture,
