brief_id,cell_id,condition,content_class,image_id,painter_id,repetition,route
built01,primary512:nano_banana_2:claude_monet:named_minus_artist_free,artist_free,built,generated:slot0012,claude_monet,0,nano_banana_2
built01,primary512:nano_banana_2:claude_monet:named_minus_artist_free,artist_free,built,generated:slot0473,claude_monet,1,nano_banana_2
built01,primary512:nano_banana_2:claude_monet:named_minus_artist_free,artist_free,built,generated:slot0796,claude_monet,2,nano_banana_2
built01,primary512:nano_banana_2:claude_monet:named_minus_artist_free,named,built,generated:slot0013,claude_monet,0,nano_banana_2
built01,primary512:nano_banana_2:claude_monet:named_minus_artist_free,named,built,generated:slot0474,claude_monet,1,nano_banana_2
built01,primary512:nano_banana_2:claude_monet:named_minus_artist_free,named,built,generated:slot0797,claude_monet,2,nano_banana_2
built02,primary512:nano_banana_2:claude_monet:named_minus_artist_free,artist_free,built,generated:slot0208,claude_monet,0,nano_banana_2
built02,primary512:nano_banana_2:claude_monet:named_minus_artist_free,artist_free,built,generated:slot0597,claude_monet,1,nano_banana_2
built02,primary512:nano_banana_2:claude_monet:named_minus_artist_free,artist_free,built,generated:slot0991,claude_monet,2,nano_banana_2
built02,primary512:nano_banana_2:claude_monet:named_minus_artist_free,named,built,generated:slot0209,claude_monet,0,nano_banana_2
built02,primary512:nano_banana_2:claude_monet:named_minus_artist_free,named,built,generated:slot0598,claude_monet,1,nano_banana_2
built02,primary512:nano_banana_2:claude_monet:named_minus_artist_free,named,built,generated:slot0992,claude_monet,2,nano_banana_2
built03,primary512:nano_banana_2:claude_monet:named_minus_artist_free,artist_free,built,generated:slot0313,claude_monet,0,nano_banana_2
built03,primary512:nano_banana_2:claude_monet:named_minus_artist_free,artist_free,built,generated:slot0723,claude_monet,1,nano_banana_2
built03,primary512:nano_banana_2:claude_monet:named_minus_artist_free,artist_free,built,generated:slot0122,claude_monet,2,nano_banana_2
built03,primary512:nano_banana_2:claude_monet:named_minus_artist_free,named,built,generated:slot0314,claude_monet,0,nano_banana_2
built03,primary512:nano_banana_2:claude_monet:named_minus_artist_free,named,built,generated:slot0722,claude_monet,1,nano_banana_2
built03,primary512:nano_banana_2:claude_monet:named_minus_artist_free,named,built,generated:slot0123,claude_monet,2,nano_banana_2
built04,primary512:nano_banana_2:claude_monet:named_minus_artist_free,artist_free,built,generated:slot0493,claude_monet,0,nano_banana_2
built04,primary512:nano_banana_2:claude_monet:named_minus_artist_free,artist_free,built,generated:slot0849,claude_monet,1,nano_banana_2
built04,primary512:nano_banana_2:claude_monet:named_minus_artist_free,artist_free,built,generated:slot0167,claude_monet,2,nano_banana_2
built04,primary512:nano_banana_2:claude_monet:named_minus_artist_free,named,built,generated:slot0494,claude_monet,0,nano_banana_2
built04,primary512:nano_banana_2:claude_monet:named_minus_artist_free,named,built,generated:slot0850,claude_monet,1,nano_banana_2
built04,primary512:nano_banana_2:claude_monet:named_minus_artist_free,named,built,generated:slot0166,claude_monet,2,nano_banana_2
built05,primary512:nano_banana_2:claude_monet:named_minus_artist_free,artist_free,built,generated:slot0592,claude_monet,0,nano_banana_2
built05,primary512:nano_banana_2:claude_monet:named_minus_artist_free,artist_free,built,generated:slot0932,claude_monet,1,nano_banana_2
built05,primary512:nano_banana_2:claude_monet:named_minus_artist_free,artist_free,built,generated:slot0265,claude_monet,2,nano_banana_2
built05,primary512:nano_banana_2:claude_monet:named_minus_artist_free,named,built,generated:slot0593,claude_monet,0,nano_banana_2
built05,primary512:nano_banana_2:claude_monet:named_minus_artist_free,named,built,generated:slot0931,claude_monet,1,nano_banana_2
built05,primary512:nano_banana_2:claude_monet:named_minus_artist_free,named,built,generated:slot0264,claude_monet,2,nano_banana_2
built06,primary512:nano_banana_2:claude_monet:named_minus_artist_free,artist_free,built,generated:slot0662,claude_monet,0,nano_banana_2
built06,primary512:nano_banana_2:claude_monet:named_minus_artist_free,artist_free,built,generated:slot0110,claude_monet,1,nano_banana_2
built06,primary512:nano_banana_2:claude_monet:named_minus_artist_free,artist_free,built,generated:slot0378,claude_monet,2,nano_banana_2
built06,primary512:nano_banana_2:claude_monet:named_minus_artist_free,named,built,generated:slot0663,claude_monet,0,nano_banana_2
built06,primary512:nano_banana_2:claude_monet:named_minus_artist_free,named,built,generated:slot0109,claude_monet,1,nano_banana_2
built06,primary512:nano_banana_2:claude_monet:named_minus_artist_free,named,built,generated:slot0379,claude_monet,2,nano_banana_2
built07,primary512:nano_banana_2:claude_monet:named_minus_artist_free,artist_free,built,generated:slot0842,claude_monet,0,nano_banana_2
built07,primary512:nano_banana_2:claude_monet:named_minus_artist_free,artist_free,built,generated:slot0238,claude_monet,1,nano_banana_2
built07,primary512:nano_banana_2:claude_monet:named_minus_artist_free,artist_free,built,generated:slot0589,claude_monet,2,nano_banana_2
built07,primary512:nano_banana_2:claude_monet:named_minus_artist_free,named,built,generated:slot0841,claude_monet,0,nano_banana_2
built07,primary512:nano_banana_2:claude_monet:named_minus_artist_free,named,built,generated:slot0239,claude_monet,1,nano_banana_2
built07,primary512:nano_banana_2:claude_monet:named_minus_artist_free,named,built,generated:slot0588,claude_monet,2,nano_banana_2
built08,primary512:nano_banana_2:claude_monet:named_minus_artist_free,artist_free,built,generated:slot0956,claude_monet,0,nano_banana_2
built08,primary512:nano_banana_2:claude_monet:named_minus_artist_free,artist_free,built,generated:slot0368,claude_monet,1,nano_banana_2
built08,primary512:nano_banana_2:claude_monet:named_minus_artist_free,artist_free,built,generated:slot0695,claude_monet,2,nano_banana_2
built08,primary512:nano_banana_2:claude_monet:named_minus_artist_free,named,built,generated:slot0955,claude_monet,0,nano_banana_2
built08,primary512:nano_banana_2:claude_monet:named_minus_artist_free,named,built,generated:slot0367,claude_monet,1,nano_banana_2
