after_image_ids,before_image_ids,brief_id,cell_id,content_class,cross_repeat_displacement_products,detailed_prompt_scene,painter_id,repetitions,route,squared_mean_displacement
"[""generated:slot0013"",""generated:slot0474"",""generated:slot0797""]","[""generated:slot0012"",""generated:slot0473"",""generated:slot0796""]",built01,primary512:nano_banana_2:claude_monet:named_minus_artist_free,built,"[{""repetitions"":[0,1],""product"":5.7371326979797415},{""repetitions"":[0,2],""product"":-3.6225257971414195},{""repetitions"":[1,2],""product"":1.5766684861662301}]","Several cottages beside a rough country road on a low hillside. The road curves from the near foreground between the houses toward the middle distance, with scattered trees and open ground around the buildings.",claude_monet,"[0,1,2]",nano_banana_2,11.716761994101944
"[""generated:slot0209"",""generated:slot0598"",""generated:slot0992""]","[""generated:slot0208"",""generated:slot0597"",""generated:slot0991""]",built02,primary512:nano_banana_2:claude_monet:named_minus_artist_free,built,"[{""repetitions"":[0,1],""product"":9.513767000117312},{""repetitions"":[0,2],""product"":5.661351082340272},{""repetitions"":[1,2],""product"":9.248740758251184}]","A small house viewed through several garden trees. The house is the central subject in the middle distance, with trunks partly crossing its facade and a short stretch of open ground in front.",claude_monet,"[0,1,2]",nano_banana_2,9.893386137947754
"[""generated:slot0314"",""generated:slot0722"",""generated:slot0123""]","[""generated:slot0313"",""generated:slot0723"",""generated:slot0122""]",built03,primary512:nano_banana_2:claude_monet:named_minus_artist_free,built,"[{""repetitions"":[0,1],""product"":-4.006980184613215},{""repetitions"":[0,2],""product"":5.9716017341844525},{""repetitions"":[1,2],""product"":14.260836221090667}]","An isolated farmhouse with attached low buildings stands beyond a broad open foreground. A few trees border the building group, and gently cultivated hills rise behind it under an open sky.",claude_monet,"[0,1,2]",nano_banana_2,10.841861642013441
"[""generated:slot0494"",""generated:slot0850"",""generated:slot0166""]","[""generated:slot0493"",""generated:slot0849"",""generated:slot0167""]",built04,primary512:nano_banana_2:claude_monet:named_minus_artist_free,built,"[{""repetitions"":[0,1],""product"":6.078981900256674},{""repetitions"":[0,2],""product"":10.735567341639431},{""repetitions"":[1,2],""product"":-2.8295763527715145}]","Closely spaced houses occupy a steep village slope. A narrow path passes between walls and roofs from the foreground toward an elevated opening, with sparse trees and glimpses of the surrounding countryside.",claude_monet,"[0,1,2]",nano_banana_2,8.673854423819044
"[""generated:slot0593"",""generated:slot0931"",""generated:slot0264""]","[""generated:slot0592"",""generated:slot0932"",""generated:slot0265""]",built05,primary512:nano_banana_2:claude_monet:named_minus_artist_free,built,"[{""repetitions"":[0,1],""product"":3.2671701725891698},{""repetitions"":[0,2],""product"":2.629565620142867},{""repetitions"":[1,2],""product"":4.059535047402794}]","A straight avenue recedes between two rows of tall trees toward a small house in the distance. Tree trunks frame the route on both sides, while the ground and gaps between the trees establish the perspective.",claude_monet,"[0,1,2]",nano_banana_2,4.582624721051925
"[""generated:slot0663"",""generated:slot0109"",""generated:slot0379""]","[""generated:slot0662"",""generated:slot0110"",""generated:slot0378""]",built06,primary512:nano_banana_2:claude_monet:named_minus_artist_free,built,"[{""repetitions"":[0,1],""product"":11.619842062989768},{""repetitions"":[0,2],""product"":1.9760030435750464},{""repetitions"":[1,2],""product"":0.7113221310552305}]","The near wall and roof of a house occupy one side of a garden view. A narrow route follows the wall past shrubs and a tree toward a small opening, with the building remaining the principal subject.",claude_monet,"[0,1,2]",nano_banana_2,8.414857619012938
"[""generated:slot0841"",""generated:slot0239"",""generated:slot0588""]","[""generated:slot0842"",""generated:slot0238"",""generated:slot0589""]",built07,primary512:nano_banana_2:claude_monet:named_minus_artist_free,built,"[{""repetitions"":[0,1],""product"":3.0237259996573074},{""repetitions"":[0,2],""product"":13.55998494702559},{""repetitions"":[1,2],""product"":6.170636745543737}]","A village viewed from an elevated position, with overlapping roofs and house walls filling the near and middle distance. A bare tree interrupts part of the view, and low hills remain visible beyond the buildings.",claude_monet,"[0,1,2]",nano_banana_2,10.819020501620296
"[""generated:slot0955"",""generated:slot0367"",""generated:slot0696""]","[""generated:slot0956"",""generated:slot0368"",""generated:slot0695""]",built08,primary512:nano_banana_2:claude_monet:named_minus_artist_free,built,"[{""repetitions"":[0,1],""product"":0.9206564204625645},{""repetitions"":[0,2],""product"":3.8536083478336014},{""repetitions"":[1,2],""product"":6.344627291847351}]","Two small detached houses stand in a broad open field. Their walls and pitched roofs organize the middle of the scene, with a rough foreground route, a few trees at the edges and low hills on the horizon.",claude_monet,"[0,1,2]",nano_banana_2,8.52373579074737
"[""generated:slot0114"",""generated:slot0398"",""generated:slot0773""]","[""generated:slot0113"",""generated:slot0399"",""generated:slot0772""]",land01,primary512:nano_banana_2:claude_monet:named_minus_artist_free,land,"[{""repetitions"":[0,1],""product"":9.75889022064749},{""repetitions"":[0,2],""product"":10.034470215486996},{""repetitions"":[1,2],""product"":13.041666711614909}]","A large branching tree trunk is seen at close range in a garden. Hanging leaves and smaller branches enclose the scene, while low plants and uneven ground surround the base of the trunk.",claude_monet,"[0,1,2]",nano_banana_2,13.711408950251402
"[""generated:slot0235"",""generated:slot0515"",""generated:slot0922""]","[""generated:slot0234"",""generated:slot0514"",""generated:slot0923""]",land02,primary512:nano_banana_2:claude_monet:named_minus_artist_free,land,"[{""repetitions"":[0,1],""product"":9.070525666504032},{""repetitions"":[0,2],""product"":14.426770877190627},{""repetitions"":[1,2],""product"":9.993439120340884}]","Many slender tree trunks rise through a dense woodland interior on gently sloping ground. Undergrowth fills the foreground, with a narrow opening between the trunks and little unobstructed sky.",claude_monet,"[0,1,2]",nano_banana_2,14.262026079580906
"[""generated:slot0260"",""generated:slot0702"",""generated:slot0098""]","[""generated:slot0259"",""generated:slot0703"",""generated:slot0099""]",land03,primary512:nano_banana_2:claude_monet:named_minus_artist_free,land,"[{""repetitions"":[0,1],""product"":14.531423727983046},{""repetitions"":[0,2],""product"":12.632591166499836},{""repetitions"":[1,2],""product"":30.549512408040698}]","Several pine trees grow among exposed rocks on uneven woodland ground. Trunks cross the near view, pale rock faces appear between them and dense branches partly enclose the middle distance.",claude_monet,"[0,1,2]",nano_banana_2,23.498727129884085
"[""generated:slot0482"",""generated:slot0805"",""generated:slot0154""]","[""generated:slot0481"",""generated:slot0804"",""generated:slot0155""]",land04,primary512:nano_banana_2:claude_monet:named_minus_artist_free,land,"[{""repetitions"":[0,1],""product"":5.2921101767806995},{""repetitions"":[0,2],""product"":-9.053511426803402},{""repetitions"":[1,2],""product"":3.2685754017361712}]","An orchard with leaning trunks surrounds a grassy clearing. Branches overlap above the near ground, while an opening between the trees leads toward the middle distance without a dominant building or person.",claude_monet,"[0,1,2]",nano_banana_2,4.947257004732472
"[""generated:slot0563"",""generated:slot0903"",""generated:slot0293""]","[""generated:slot0562"",""generated:slot0904"",""generated:slot0292""]",land05,primary512:nano_banana_2:claude_monet:named_minus_artist_free,land,"[{""repetitions"":[0,1],""product"":2.2031849785835016},{""repetitions"":[0,2],""product"":10.61485803772779},{""repetitions"":[1,2],""product"":6.222357261008962}]","A broad meadow occupies the foreground before an irregular line of tall trees. A few low plants break up the near ground, and gaps between the trees reveal distant hills beneath an open sky.",claude_monet,"[0,1,2]",nano_banana_2,13.543694395874802
"[""generated:slot0749"",""generated:slot0031"",""generated:slot0389""]","[""generated:slot0750"",""generated:slot0030"",""generated:slot0390""]",land06,primary512:nano_banana_2:claude_monet:named_minus_artist_free,land,"[{""repetitions"":[0,1],""product"":2.325366822381882},{""repetitions"":[0,2],""product"":8.729260899362156},{""repetitions"":[1,2],""product"":3.4232145668381526}]","Cultivated fields spread across a valley toward distant hills. A few small houses and scattered trees sit in the middle distance, remaining secondary to the open ground and the broad shape of the landscape.",claude_monet,"[0,1,2]",nano_banana_2,14.096998725938525
"[""generated:slot0859"",""generated:slot0179"",""generated:slot0542""]","[""generated:slot0858"",""generated:slot0178"",""generated:slot0543""]",land07,primary512:nano_banana_2:claude_monet:named_minus_artist_free,land,"[{""repetitions"":[0,1],""product"":8.570919484340251},{""repetitions"":[0,2],""product"":7.988109467111389},{""repetitions"":[1,2],""product"":10.712401382613368}]","A prominent mountain rises beyond a foreground clearing and several tall trees. The trees partly frame the distant peak, with lower wooded slopes connecting the near ground to the mountain under an open sky.",claude_monet,"[0,1,2]",nano_banana_2,11.476136504447567
