brief_counts.built01,brief_counts.built02,brief_counts.built03,brief_counts.built04,brief_counts.built05,brief_counts.built06,brief_counts.built07,brief_counts.built08,brief_counts.land01,brief_counts.land02,brief_counts.land03,brief_counts.land04,brief_counts.land05,brief_counts.land06,brief_counts.land07,brief_counts.land08,brief_counts.water01,brief_counts.water02,brief_counts.water03,brief_counts.water04,brief_counts.water05,brief_counts.water06,brief_counts.water07,brief_counts.water08,condition,n,painter_id,reported_quality,request_ids,requested_quality,route
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,artist_free,72,claude_monet,,"[""slot0009"",""slot0020"",""slot0023"",""slot0028"",""slot0085"",""slot0087"",""slot0093"",""slot0101"",""slot0116"",""slot0127"",""slot0128"",""slot0174"",""slot0188"",""slot0194"",""slot0197"",""slot0218"",""slot0246"",""slot0248"",""slot0268"",""slot0272"",""slot0282"",""slot0289"",""slot0307"",""slot0311"",""slot0327"",""slot0346"",""slot0349"",""slot0397"",""slot0408"",""slot0411"",""slot0419"",""slot0420"",""slot0425"",""slot0426"",""slot0443"",""slot0502"",""slot0516"",""slot0524"",""slot0545"",""slot0550"",""slot0585"",""slot0603"",""slot0606"",""slot0611"",""slot0617"",""slot0639"",""slot0645"",""slot0647"",""slot0691"",""slot0705"",""slot0711"",""slot0718"",""slot0734"",""slot0735"",""slot0761"",""slot0794"",""slot0800"",""slot0803"",""slot0810"",""slot0812"",""slot0831"",""slot0835"",""slot0857"",""slot0882"",""slot0897"",""slot0899"",""slot0916"",""slot0937"",""slot0967"",""slot0981"",""slot0987"",""slot0999""]",,flux_2_max
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,named,72,claude_monet,,"[""slot0008"",""slot0019"",""slot0024"",""slot0029"",""slot0084"",""slot0086"",""slot0094"",""slot0100"",""slot0115"",""slot0126"",""slot0129"",""slot0175"",""slot0189"",""slot0195"",""slot0196"",""slot0217"",""slot0245"",""slot0247"",""slot0269"",""slot0273"",""slot0283"",""slot0288"",""slot0306"",""slot0312"",""slot0326"",""slot0345"",""slot0350"",""slot0396"",""slot0407"",""slot0412"",""slot0418"",""slot0421"",""slot0424"",""slot0427"",""slot0444"",""slot0503"",""slot0517"",""slot0523"",""slot0544"",""slot0549"",""slot0584"",""slot0602"",""slot0607"",""slot0610"",""slot0618"",""slot0640"",""slot0646"",""slot0648"",""slot0692"",""slot0704"",""slot0712"",""slot0719"",""slot0733"",""slot0736"",""slot0760"",""slot0795"",""slot0801"",""slot0802"",""slot0811"",""slot0813"",""slot0830"",""slot0834"",""slot0856"",""slot0883"",""slot0898"",""slot0900"",""slot0915"",""slot0938"",""slot0968"",""slot0980"",""slot0988"",""slot0998""]",,flux_2_max
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,artist_free,72,paul_cezanne,,"[""slot0004"",""slot0022"",""slot0039"",""slot0043"",""slot0045"",""slot0069"",""slot0080"",""slot0103"",""slot0108"",""slot0134"",""slot0159"",""slot0190"",""slot0193"",""slot0198"",""slot0216"",""slot0221"",""slot0228"",""slot0233"",""slot0271"",""slot0281"",""slot0302"",""slot0305"",""slot0319"",""slot0324"",""slot0347"",""slot0357"",""slot0377"",""slot0386"",""slot0406"",""slot0417"",""slot0429"",""slot0449"",""slot0470"",""slot0486"",""slot0489"",""slot0500"",""slot0506"",""slot0522"",""slot0528"",""slot0533"",""slot0553"",""slot0560"",""slot0573"",""slot0608"",""slot0613"",""slot0644"",""slot0656"",""slot0694"",""slot0698"",""slot0709"",""slot0725"",""slot0729"",""slot0746"",""slot0751"",""slot0757"",""slot0766"",""slot0768"",""slot0784"",""slot0837"",""slot0864"",""slot0866"",""slot0871"",""slot0877"",""slot0886"",""slot0901"",""slot0908"",""slot0921"",""slot0929"",""slot0936"",""slot0941"",""slot0966"",""slot0990""]",,flux_2_max
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,named,72,paul_cezanne,,"[""slot0005"",""slot0021"",""slot0038"",""slot0042"",""slot0044"",""slot0070"",""slot0079"",""slot0102"",""slot0107"",""slot0133"",""slot0160"",""slot0191"",""slot0192"",""slot0199"",""slot0215"",""slot0222"",""slot0227"",""slot0232"",""slot0270"",""slot0280"",""slot0303"",""slot0304"",""slot0318"",""slot0325"",""slot0348"",""slot0358"",""slot0376"",""slot0385"",""slot0405"",""slot0416"",""slot0428"",""slot0448"",""slot0469"",""slot0487"",""slot0488"",""slot0501"",""slot0507"",""slot0521"",""slot0529"",""slot0532"",""slot0554"",""slot0561"",""slot0572"",""slot0609"",""slot0612"",""slot0643"",""slot0655"",""slot0693"",""slot0697"",""slot0710"",""slot0724"",""slot0728"",""slot0745"",""slot0752"",""slot0756"",""slot0765"",""slot0767"",""slot0785"",""slot0836"",""slot0863"",""slot0865"",""slot0870"",""slot0878"",""slot0887"",""slot0902"",""slot0909"",""slot0920"",""slot0930"",""slot0935"",""slot0942"",""slot0965"",""slot0989""]",,flux_2_max
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,artist_free,72,claude_monet,,"[""slot0001"",""slot0010"",""slot0012"",""slot0030"",""slot0088"",""slot0099"",""slot0110"",""slot0113"",""slot0122"",""slot0147"",""slot0155"",""slot0164"",""slot0167"",""slot0178"",""slot0186"",""slot0208"",""slot0234"",""slot0238"",""slot0259"",""slot0265"",""slot0291"",""slot0292"",""slot0313"",""slot0321"",""slot0322"",""slot0368"",""slot0374"",""slot0378"",""slot0390"",""slot0399"",""slot0409"",""slot0462"",""slot0471"",""slot0473"",""slot0481"",""slot0493"",""slot0514"",""slot0543"",""slot0556"",""slot0562"",""slot0578"",""slot0589"",""slot0592"",""slot0597"",""slot0604"",""slot0661"",""slot0662"",""slot0672"",""slot0695"",""slot0703"",""slot0717"",""slot0723"",""slot0748"",""slot0750"",""slot0772"",""slot0796"",""slot0804"",""slot0807"",""slot0829"",""slot0842"",""slot0849"",""slot0858"",""slot0875"",""slot0904"",""slot0911"",""slot0923"",""slot0932"",""slot0934"",""slot0939"",""slot0956"",""slot0986"",""slot0991""]",,nano_banana_2
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,named,72,claude_monet,,"[""slot0000"",""slot0011"",""slot0013"",""slot0031"",""slot0089"",""slot0098"",""slot0109"",""slot0114"",""slot0123"",""slot0146"",""slot0154"",""slot0165"",""slot0166"",""slot0179"",""slot0187"",""slot0209"",""slot0235"",""slot0239"",""slot0260"",""slot0264"",""slot0290"",""slot0293"",""slot0314"",""slot0320"",""slot0323"",""slot0367"",""slot0375"",""slot0379"",""slot0389"",""slot0398"",""slot0410"",""slot0461"",""slot0472"",""slot0474"",""slot0482"",""slot0494"",""slot0515"",""slot0542"",""slot0555"",""slot0563"",""slot0577"",""slot0588"",""slot0593"",""slot0598"",""slot0605"",""slot0660"",""slot0663"",""slot0673"",""slot0696"",""slot0702"",""slot0716"",""slot0722"",""slot0747"",""slot0749"",""slot0773"",""slot0797"",""slot0805"",""slot0806"",""slot0828"",""slot0841"",""slot0850"",""slot0859"",""slot0876"",""slot0903"",""slot0910"",""slot0922"",""slot0931"",""slot0933"",""slot0940"",""slot0955"",""slot0985"",""slot0992""]",,nano_banana_2
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,artist_free,72,paul_cezanne,,"[""slot0003"",""slot0007"",""slot0017"",""slot0041"",""slot0053"",""slot0071"",""slot0112"",""slot0117"",""slot0124"",""slot0142"",""slot0176"",""slot0206"",""slot0211"",""slot0219"",""slot0224"",""slot0226"",""slot0237"",""slot0241"",""slot0252"",""slot0255"",""slot0266"",""slot0285"",""slot0287"",""slot0297"",""slot0331"",""slot0365"",""slot0370"",""slot0384"",""slot0388"",""slot0395"",""slot0401"",""slot0423"",""slot0433"",""slot0436"",""slot0450"",""slot0499"",""slot0505"",""slot0530"",""slot0538"",""slot0551"",""slot0565"",""slot0583"",""slot0587"",""slot0591"",""slot0626"",""slot0642"",""slot0650"",""slot0652"",""slot0653"",""slot0668"",""slot0677"",""slot0720"",""slot0727"",""slot0741"",""slot0758"",""slot0775"",""slot0783"",""slot0787"",""slot0799"",""slot0809"",""slot0817"",""slot0832"",""slot0855"",""slot0884"",""slot0927"",""slot0958"",""slot0970"",""slot0972"",""slot0974"",""slot0978"",""slot0994"",""slot1007""]",,nano_banana_2
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,named,72,paul_cezanne,,"[""slot0002"",""slot0006"",""slot0018"",""slot0040"",""slot0052"",""slot0072"",""slot0111"",""slot0118"",""slot0125"",""slot0141"",""slot0177"",""slot0207"",""slot0210"",""slot0220"",""slot0223"",""slot0225"",""slot0236"",""slot0240"",""slot0253"",""slot0254"",""slot0267"",""slot0284"",""slot0286"",""slot0298"",""slot0332"",""slot0366"",""slot0369"",""slot0383"",""slot0387"",""slot0394"",""slot0400"",""slot0422"",""slot0434"",""slot0435"",""slot0451"",""slot0498"",""slot0504"",""slot0531"",""slot0537"",""slot0552"",""slot0564"",""slot0582"",""slot0586"",""slot0590"",""slot0625"",""slot0641"",""slot0649"",""slot0651"",""slot0654"",""slot0667"",""slot0678"",""slot0721"",""slot0726"",""slot0740"",""slot0759"",""slot0774"",""slot0782"",""slot0786"",""slot0798"",""slot0808"",""slot0818"",""slot0833"",""slot0854"",""slot0885"",""slot0928"",""slot0957"",""slot0969"",""slot0971"",""slot0973"",""slot0979"",""slot0993"",""slot1006""]",,nano_banana_2
3,3,3,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,artist_free,69,claude_monet,low,"[""slot0014"",""slot0032"",""slot0046"",""slot0059"",""slot0062"",""slot0076"",""slot0092"",""slot0095"",""slot0104"",""slot0135"",""slot0151"",""slot0161"",""slot0168"",""slot0181"",""slot0202"",""slot0205"",""slot0229"",""slot0274"",""slot0294"",""slot0299"",""slot0308"",""slot0335"",""slot0341"",""slot0352"",""slot0355"",""slot0373"",""slot0413"",""slot0437"",""slot0440"",""slot0455"",""slot0463"",""slot0467"",""slot0475"",""slot0484"",""slot0527"",""slot0536"",""slot0559"",""slot0566"",""slot0576"",""slot0580"",""slot0601"",""slot0621"",""slot0627"",""slot0659"",""slot0671"",""slot0675"",""slot0684"",""slot0687"",""slot0688"",""slot0699"",""slot0707"",""slot0730"",""slot0762"",""slot0815"",""slot0824"",""slot0843"",""slot0852"",""slot0860"",""slot0867"",""slot0880"",""slot0889"",""slot0893"",""slot0894"",""slot0907"",""slot0914"",""slot0960"",""slot0995"",""slot1001"",""slot1005""]",medium,oauth_gpt_image_2
,,,3,,,,,,,,,,,,,,,,,,,,,artist_free,3,claude_monet,medium,"[""slot0150"",""slot0478"",""slot0848""]",medium,oauth_gpt_image_2
