invalid_variance_trials,mean_bias,median_family_interval_halfwidth,null_endpoint_family_error,null_endpoint_family_error_mc95,p90_family_interval_halfwidth,rejection_probability,rejection_probability_mc95,scenario,simultaneous_interval_coverage,simultaneous_interval_coverage_mc95,true_interactions
0,"[0.0012792055336915643,0.0041429429429376274]","[0.42099523164181185,0.38140528366011883]",0.0395,"[0.03180890787160705,0.0489566926744269]","[0.5168752361924643,0.4672948548166118]","[0.026,0.0225]","[[0.019882087677964753,0.033935273144663027],[0.01685787548400037,0.02997290466959618]]",empirical_proxy,0.9605,"[0.9510433073255731,0.9681910921283929]","[0.0,0.0]"
0,"[0.0012792055336913744,0.004142942942937905]","[0.42099523164181185,0.38140528366011883]",,,"[0.5168752361924643,0.4672948548166118]","[0.202,0.23]","[[0.18498302507432463,0.22015953510530212],[0.21208456215584898,0.24895064337602757]]",empirical_proxy,0.9605,"[0.9510433073255731,0.9681910921283929]","[-0.25,-0.25]"
0,"[0.001279205533691985,0.004142942942937322]","[0.42099523164181185,0.38140528366011883]",,,"[0.5168752361924643,0.4672948548166118]","[0.7535,0.804]","[[0.7341380062386129,0.7718900507897917],[0.7860265415595997,0.8208078936933985]]",empirical_proxy,0.9605,"[0.9510433073255731,0.9681910921283929]","[-0.5,-0.5]"
0,"[0.001279205533691985,0.0041429429429367115]","[0.42099523164181185,0.3814052836601187]",,,"[0.5168752361924643,0.4672948548166118]","[0.9995,1.0]","[[0.9971731374967338,0.9999117322692944],[0.9980829527187469,0.9999999999999998]]",empirical_proxy,0.9605,"[0.9510433073255731,0.9681910921283929]","[-1.0,-1.0]"
0,"[0.001279205533691985,0.0041429429429376274]","[0.42099523164181185,0.38140528366011883]",0.034,"[0.026908260159560583,0.042878427906567144]","[0.5168752361924643,0.4672948548166118]","[0.671,0.034]","[[0.6500976155757402,0.6912467542540713],[0.026908260159560583,0.042878427906567144]]",empirical_proxy,0.9605,"[0.9510433073255731,0.9681910921283929]","[-0.5,0.0]"
0,"[0.0012792055336915643,0.004142942942937322]","[0.42099523164181185,0.38140528366011883]",0.036,"[0.02868460672278366,0.04509441315421905]","[0.5168752361924643,0.4672948548166118]","[0.036,0.7555]","[[0.02868460672278366,0.04509441315421905],[0.7361858377496823,0.7738345510895973]]",empirical_proxy,0.9605,"[0.9510433073255731,0.9681910921283929]","[0.0,-0.5]"
0,"[0.005153481855977371,0.0006139412454114402]","[0.5361879886891043,0.5084325468824699]",0.0345,"[0.027351694147721588,0.04343307687112489]","[0.6586003474047541,0.6230078156166942]","[0.023,0.0235]","[[0.017287655978080053,0.030541207128235243],[0.017718224361690932,0.031108721697343113]]",generic_noise_x1_5,0.9655,"[0.9565669231288751,0.9726483058522783]","[0.0,0.0]"
0,"[0.005153481855976999,0.0006139412454114479]","[0.5361879886891043,0.5084325468824699]",,,"[0.6586003474047541,0.6230078156166942]","[0.1345,0.138]","[[0.12024561647832303,0.15015574508427282],[0.12357689890263988,0.15381104332898723]]",generic_noise_x1_5,0.9655,"[0.9565669231288751,0.9726483058522783]","[-0.25,-0.25]"
0,"[0.005153481855977249,0.0006139412454113646]","[0.5361879886891043,0.5084325468824699]",,,"[0.6586003474047541,0.6230078156166942]","[0.4865,0.5255]","[[0.4646417966932955,0.5084099635832983],[0.5035875005421181,0.5473147300465379]]",generic_noise_x1_5,0.9655,"[0.9565669231288751,0.9726483058522783]","[-0.5,-0.5]"
0,"[0.0051534818559778595,0.0006139412454111426]","[0.5361879886891043,0.5084325468824699]",,,"[0.6586003474047541,0.6230078156166942]","[0.987,0.9945]","[[0.9810196914827969,0.9911131044652626],[0.9901779372483848,0.9969261029904561]]",generic_noise_x1_5,0.9655,"[0.9565669231288751,0.9726483058522783]","[-1.0,-1.0]"
