brief_id,condition,painter_id,repetitions,sample_variance
built01,artist_free,claude_monet,3,0.013191378643974697
built02,artist_free,claude_monet,3,0.36681207246630276
built03,artist_free,claude_monet,3,0.001859120326822126
built04,artist_free,claude_monet,3,0.15063067427921337
built05,artist_free,claude_monet,3,0.19810746949589375
built06,artist_free,claude_monet,3,0.01567328568890663
built07,artist_free,claude_monet,3,0.020240536807339164
built08,artist_free,claude_monet,3,0.14133975583059216
land01,artist_free,claude_monet,3,0.1004573393843457
land02,artist_free,claude_monet,3,0.06453744317048024
land03,artist_free,claude_monet,3,0.03349654228347222
land04,artist_free,claude_monet,3,0.2479919212183642
land05,artist_free,claude_monet,3,0.05106242652046617
land06,artist_free,claude_monet,3,0.08608650406830831
land07,artist_free,claude_monet,3,0.013387173925561489
land08,artist_free,claude_monet,3,0.1525660613558148
water01,artist_free,claude_monet,3,0.04128860657508086
water02,artist_free,claude_monet,3,0.052414204534024685
water03,artist_free,claude_monet,3,0.01456653666796833
water04,artist_free,claude_monet,3,0.003675354875474058
water05,artist_free,claude_monet,3,0.10075877241633865
water06,artist_free,claude_monet,3,0.009077789997602108
water07,artist_free,claude_monet,3,0.10528666372151707
water08,artist_free,claude_monet,3,0.27351590621633615
built01,named,claude_monet,3,0.026493957926278566
built02,named,claude_monet,3,0.0012681788040262132
built03,named,claude_monet,3,0.026974488177298937
built04,named,claude_monet,3,0.00908809957689461
built05,named,claude_monet,3,0.0832750274643198
built06,named,claude_monet,3,0.04051927315675717
built07,named,claude_monet,3,0.0035133768396415697
built08,named,claude_monet,3,0.1134157674103376
land01,named,claude_monet,3,0.09198149778620823
land02,named,claude_monet,3,0.055806564798508124
land03,named,claude_monet,3,0.008325291050781067
land04,named,claude_monet,3,0.078269383259085
land05,named,claude_monet,3,0.009486888728714452
land06,named,claude_monet,3,0.05015044961702148
land07,named,claude_monet,3,0.03479986147957824
land08,named,claude_monet,3,0.03239181657755004
water01,named,claude_monet,3,0.06748268476749175
water02,named,claude_monet,3,0.09346713074095499
water03,named,claude_monet,3,0.02084177177214087
water04,named,claude_monet,3,0.004480423285576333
water05,named,claude_monet,3,0.02495299135411745
water06,named,claude_monet,3,0.007590080054685289
water07,named,claude_monet,3,0.03870070364269444
water08,named,claude_monet,3,0.005832159755880731
built01,artist_free,paul_cezanne,3,0.04533113427104961
built02,artist_free,paul_cezanne,3,0.036694424682345246
built03,artist_free,paul_cezanne,3,0.3601969797526744
built04,artist_free,paul_cezanne,3,0.10963206176175222
built05,artist_free,paul_cezanne,3,0.3358723467735081
built06,artist_free,paul_cezanne,3,0.07040807791173442
built07,artist_free,paul_cezanne,3,0.08946721944882546
built08,artist_free,paul_cezanne,3,0.06931330424064328
land01,artist_free,paul_cezanne,3,0.3860305522486463
land02,artist_free,paul_cezanne,3,0.09713449265041965
land03,artist_free,paul_cezanne,3,0.201634709136365
land04,artist_free,paul_cezanne,3,0.11552440210977191
land05,artist_free,paul_cezanne,3,0.04800256481092841
land06,artist_free,paul_cezanne,3,0.5729033477557359
land07,artist_free,paul_cezanne,3,0.01743976315502256
land08,artist_free,paul_cezanne,3,0.10576941146360062
water01,artist_free,paul_cezanne,3,0.06640005629048305
water02,artist_free,paul_cezanne,3,0.03620253496133015
water03,artist_free,paul_cezanne,3,0.03113076615308326
water04,artist_free,paul_cezanne,3,0.023425286493733537
water05,artist_free,paul_cezanne,3,0.040609238421819877
water06,artist_free,paul_cezanne,3,0.016090085240134885
water07,artist_free,paul_cezanne,3,0.010762789727546608
water08,artist_free,paul_cezanne,3,0.22930055116691303
built01,named,paul_cezanne,3,0.10925820273487842
built02,named,paul_cezanne,3,0.004983274763810324
built03,named,paul_cezanne,3,0.31627156266923995
built04,named,paul_cezanne,3,0.040394022561434595
built05,named,paul_cezanne,3,0.1349418902301251
built06,named,paul_cezanne,3,0.19678177510824058
built07,named,paul_cezanne,3,0.1807843620166294
built08,named,paul_cezanne,3,0.061369457488727415
land01,named,paul_cezanne,3,0.011202819454923232
land02,named,paul_cezanne,3,0.0077516497012101865
land03,named,paul_cezanne,3,0.015779371100257504
land04,named,paul_cezanne,3,0.16477559734782862
land05,named,paul_cezanne,3,0.042418044679847014
land06,named,paul_cezanne,3,0.15073452652924052
land07,named,paul_cezanne,3,0.04597965060652923
land08,named,paul_cezanne,3,0.03978299048964099
water01,named,paul_cezanne,3,0.10806383433940998
water02,named,paul_cezanne,3,0.16925685296185958
water03,named,paul_cezanne,3,0.0032916731357001128
water04,named,paul_cezanne,3,0.08220603584354813
water05,named,paul_cezanne,3,0.03211952831829003
water06,named,paul_cezanne,3,0.06629277121431104
water07,named,paul_cezanne,3,0.02422149241624126
water08,named,paul_cezanne,3,0.07207595755388234
