invalid_variance_trials,mean_bias,median_family_interval_halfwidth,null_endpoint_family_error,null_endpoint_family_error_mc95,p90_family_interval_halfwidth,rejection_probability,rejection_probability_mc95,scenario,simultaneous_interval_coverage,simultaneous_interval_coverage_mc95,true_interactions
0,"[-0.0006377940979762532, -0.0007245827731491632]","[0.2817860392500764, 0.3229811709906091]",0.0382,"[0.033231777279803, 0.04387727223665177]","[0.34959098688962464, 0.39634290733914285]","[0.024, 0.0232]","[[0.020109114739861697, 0.02862173751183269], [0.019378981328847723, 0.02775309924595875]]",empirical_proxy,0.9618,"[0.9561227277633483, 0.9667682227201971]","[0.0, 0.0]"
0,"[-0.0006377940979755969, -0.0007245827731486298]","[0.2817860392500764, 0.3229811709906091]",,,"[0.34959098688962476, 0.39634290733914285]","[0.4304, 0.3572]","[[0.4167344863890846, 0.4441723777216674], [0.34403248020372534, 0.3705867754717831]]",empirical_proxy,0.9618,"[0.9561227277633483, 0.9667682227201971]","[-0.25, -0.25]"
0,"[-0.00063779409797593, -0.0007245827731473531]","[0.2817860392500764, 0.3229811709906091]",,,"[0.34959098688962476, 0.396342907339143]","[0.974, 0.9434]","[[0.9692118917750088, 0.978060326781077], [0.9366480159464105, 0.9494711859687129]]",empirical_proxy,0.9618,"[0.9561227277633483, 0.9667682227201971]","[-0.5, -0.5]"
0,"[-0.0006377940979762631, -0.000724582773146798]","[0.2817860392500764, 0.3229811709906091]",,,"[0.34959098688962464, 0.39634290733914285]","[1.0, 1.0]","[[0.9992322980549431, 1.0], [0.9992322980549431, 1.0]]",empirical_proxy,0.9618,"[0.9561227277633483, 0.9667682227201971]","[-1.0, -1.0]"
0,"[-0.00063779409797593, -0.0007245827731491632]","[0.2817860392500764, 0.3229811709906091]",0.0428,"[0.03753187129513541, 0.048770115363424835]","[0.34959098688962476, 0.39634290733914285]","[0.9626, 0.0428]","[[0.9569756727532717, 0.9675140494071617], [0.03753187129513541, 0.048770115363424835]]",empirical_proxy,0.9618,"[0.9561227277633483, 0.9667682227201971]","[-0.5, 0.0]"
0,"[-0.0006377940979762532, -0.0007245827731473531]","[0.2817860392500764, 0.3229811709906091]",0.0388,"[0.033791558410704255, 0.04451656986341645]","[0.34959098688962464, 0.396342907339143]","[0.0388, 0.8872]","[[0.033791558410704255, 0.04451656986341645], [0.8781325107620659, 0.8956729808516819]]",empirical_proxy,0.9618,"[0.9561227277633483, 0.9667682227201971]","[0.0, -0.5]"
0,"[-0.0050685646477273945, -0.005920596437446406]","[0.39092377912669074, 0.4222779476437746]",0.033,"[0.028395990126238967, 0.0383210434904444]","[0.4864448897405156, 0.5215103563960808]","[0.0246, 0.0238]","[[0.02065752018768066, 0.02927241082167966], [0.01992646446433773, 0.028404694868134687]]",generic_noise_x1_5,0.967,"[0.9616789565095556, 0.971604009873761]","[0.0, 0.0]"
0,"[-0.00506856464772909, -0.005920596437446524]","[0.39092377912669074, 0.42227794764377463]",,,"[0.4864448897405156, 0.5215103563960808]","[0.2344, 0.207]","[[0.22286461769512134, 0.24634318557809304], [0.19599686299324026, 0.21845301034656323]]",generic_noise_x1_5,0.967,"[0.9616789565095556, 0.971604009873761]","[-0.25, -0.25]"
0,"[-0.005068564647727314, -0.005920596437445802]","[0.39092377912669063, 0.42227794764377463]",,,"[0.4864448897405156, 0.5215103563960808]","[0.7788, 0.7478]","[[0.7670838668412964, 0.7900880625541399], [0.7355756012062308, 0.759643925709799]]",generic_noise_x1_5,0.967,"[0.9616789565095556, 0.971604009873761]","[-0.5, -0.5]"
0,"[-0.0050685646477257595, -0.005920596437447356]","[0.39092377912669063, 0.4222779476437746]",,,"[0.4864448897405156, 0.5215103563960808]","[0.9998, 1.0]","[[0.9988679109191605, 0.9999646942165608], [0.9992322980549431, 1.0]]",generic_noise_x1_5,0.967,"[0.9616789565095556, 0.971604009873761]","[-1.0, -1.0]"
