attempt_count,attempts,known_cost_usd,observed,observed.format,observed.height,observed.image_bytes,observed.image_sha256,observed.minimum_512,observed.mode,observed.reported.background,observed.reported.model,observed.reported.output_format,observed.reported.quality,observed.reported.size,observed.square_1024,observed.width,pending_attempts,request_id,response_path,response_sha256,selected_attempt,selected_terminal_event_sha256,sequence,status,stored_response_sha256,unknown_cost
1,"[{""attempt"": 1, ""cost_usd"": 0.0, ""event_sha256"": ""9be659598d13cc8f1d125602b069144f1bccae0b1acd9217247fe3bf2011d978"", ""status"": ""image_returned""}]",0.0,,PNG,1142,3238026,5e417150e69c95ca8616d462b26a52c270f24db01578df829471984d34118f30,True,RGB,opaque,,png,low,1377x1142,False,1377,[],prv2:built_houses:r01:free:vivid,research_workspace/painter_responsiveness_v2/prv2-oauth-20260908/responses/0000-a1.json.gz,b0ca56d319b65f099be1ba4d0bdd7ecf90dcfa7e7e6f149520454562f8ac63a0,1,9be659598d13cc8f1d125602b069144f1bccae0b1acd9217247fe3bf2011d978,0,image_returned,0bdea53fc324230fa8e74cf488da95e89a2ab3133e30834fa37930c844ba5fd4,False
1,"[{""attempt"": 1, ""cost_usd"": 0.0, ""event_sha256"": ""addbf8aa28097d6b4b6ea2306bd84c0140256aa7196f96247aae737a8389cb5c"", ""status"": ""image_returned""}]",0.0,,PNG,1162,3172893,9ca330c102421078c49efbb8282218ea7812d88a3ec01bb9d40389a8e585a5fb,True,RGB,opaque,,png,low,1353x1162,False,1353,[],prv2:built_houses:r01:generic:vivid,research_workspace/painter_responsiveness_v2/prv2-oauth-20260908/responses/0001-a1.json.gz,73ca70a2036eaf0cf8b18f17ffe51d1d0e074b9b1341438c66e83c35b658e553,1,addbf8aa28097d6b4b6ea2306bd84c0140256aa7196f96247aae737a8389cb5c,1,image_returned,97ed977f3f1cc94a39ea17824386687133f915a3d47d55ebbf7beed42c05023b,False
1,"[{""attempt"": 1, ""cost_usd"": 0.0, ""event_sha256"": ""2d5315590f4162924b3e5134c4217a62db09f5105a51ee297efa5a6745c3b9b2"", ""status"": ""image_returned""}]",0.0,,PNG,1142,3271692,a26dc699a82b96dcf8ebe1fd579adaa4e03cff0691bfe098c2ce20812ca6615c,True,RGB,opaque,,png,low,1377x1142,False,1377,[],prv2:built_houses:r01:monet:vivid,research_workspace/painter_responsiveness_v2/prv2-oauth-20260908/responses/0002-a1.json.gz,0101e994e8d5dd4c7cc6214f28196c9aa2eac2f4810137e3fb2ec913117c19aa,1,2d5315590f4162924b3e5134c4217a62db09f5105a51ee297efa5a6745c3b9b2,2,image_returned,557a2ef006f966972b5c03d9f3960df541a4d2a9533839effbfe0330e5ac6275,False
1,"[{""attempt"": 1, ""cost_usd"": 0.0, ""event_sha256"": ""01eae84ce5377e981319739cfd5c66bafb1d0d2d7e8bd155fb05e7e71d69048b"", ""status"": ""image_returned""}]",0.0,,PNG,1160,3053272,297570bc0ee810d07de8e39807acb1badc08e647e9386b88094c9e9f976e780f,True,RGB,opaque,,png,low,1356x1160,False,1356,[],prv2:built_houses:r01:free:muted,research_workspace/painter_responsiveness_v2/prv2-oauth-20260908/responses/0003-a1.json.gz,d959b9ae4dd47cf39d00a6bcbf0f2208dfe8d1336d23851ffba5e2e0cc9df762,1,01eae84ce5377e981319739cfd5c66bafb1d0d2d7e8bd155fb05e7e71d69048b,3,image_returned,a330902ab8f4f6f9556418d13a0b8fe1f4fc9b4969ffa9bf089a11249e2f6b90,False
1,"[{""attempt"": 1, ""cost_usd"": 0.0, ""event_sha256"": ""47399e1c10f76ec271aebfac8a0215b89ab2c63e62098efc31a45751b941aa19"", ""status"": ""image_returned""}]",0.0,,PNG,1122,2917056,1b8ac5dab66a42a1c76d21fadac60b8ebec35e29e2ae28d269766d2c19457ee3,True,RGB,opaque,,png,low,1402x1122,False,1402,[],prv2:built_houses:r01:cezanne:vivid,research_workspace/painter_responsiveness_v2/prv2-oauth-20260908/responses/0004-a1.json.gz,5e9bdaebfe9c89986434b576b5a52a0ed78545b07ddf20124a2373fa652b4c10,1,47399e1c10f76ec271aebfac8a0215b89ab2c63e62098efc31a45751b941aa19,4,image_returned,0f4af99e2d17017d751eab1e2a144df4995a91f26309ea1ddfac9e5d465b4ebd,False
1,"[{""attempt"": 1, ""cost_usd"": 0.0, ""event_sha256"": ""38201caa06322f7e47c84038366e6dabf95d2114cbf1febee8a8fc6d830da0bd"", ""status"": ""image_returned""}]",0.0,,PNG,1122,2470250,0618cbf6c716a41934aa52092f373b365367d283a02669d38c315b34eb36a026,True,RGB,opaque,,png,low,1402x1122,False,1402,[],prv2:built_houses:r01:cezanne:muted,research_workspace/painter_responsiveness_v2/prv2-oauth-20260908/responses/0005-a1.json.gz,04f4f7ad91b147cb1718e49cb11597a4943df229fb3e017154ae6ebf30d52240,1,38201caa06322f7e47c84038366e6dabf95d2114cbf1febee8a8fc6d830da0bd,5,image_returned,61e407985d408a42d993d4229f22998d8aa216d81c3a6ef135cc0b3a422be470,False
1,"[{""attempt"": 1, ""cost_usd"": 0.0, ""event_sha256"": ""646df70e3ea9d75b4213e4bf65dd1ed975d00f823c77a14baa93e4aa43761a41"", ""status"": ""image_returned""}]",0.0,,PNG,1122,2581687,f4e070f64a2f70cfadda207ca3f9b9674a0f06a73ffd8a7e5d1bb7c507503600,True,RGB,opaque,,png,low,1402x1122,False,1402,[],prv2:built_houses:r01:generic:muted,research_workspace/painter_responsiveness_v2/prv2-oauth-20260908/responses/0006-a1.json.gz,b9cf283ba6b0ebd240d1a8884854e73fa77b0118472ce1fc970a1feeffacb27d,1,646df70e3ea9d75b4213e4bf65dd1ed975d00f823c77a14baa93e4aa43761a41,6,image_returned,970ee8097bbd6af2b8b44bd0765aec9dbb4ff4d66455df838d9b8fe146927fb7,False
1,"[{""attempt"": 1, ""cost_usd"": 0.0, ""event_sha256"": ""f118a38f882004cbb35bbd4cd1acfb666ae60fabd31ebc24f12efd37b9a992e0"", ""status"": ""image_returned""}]",0.0,,PNG,1121,2809310,ce2c9c9450f4c4ae3521294804f1b384d5cbbac368bcfa6f9cd724ca7c916a92,True,RGB,opaque,,png,low,1403x1121,False,1403,[],prv2:built_houses:r01:monet:muted,research_workspace/painter_responsiveness_v2/prv2-oauth-20260908/responses/0007-a1.json.gz,9a8ca09c3545596a50fc971d8401ec9370e29a36a847b31eb4b84da75336da9b,1,f118a38f882004cbb35bbd4cd1acfb666ae60fabd31ebc24f12efd37b9a992e0,7,image_returned,3cb117b2dad406d1041fa55e2915871142e32a4699ffd66ce1528240fdde29f7,False
1,"[{""attempt"": 1, ""cost_usd"": 0.0, ""event_sha256"": ""56ad82032c9b7d79339c8b2f90009fc7a95666dcfad6d976e77c9979db74dff4"", ""status"": ""image_returned""}]",0.0,,PNG,1120,2501606,46970e1fa4dea066f3c52ea78129e0f2b09561f8fcc79cd0e959943cd015417a,True,RGB,opaque,,png,low,1404x1120,False,1404,[],prv2:land_fields:r02:generic:muted,research_workspace/painter_responsiveness_v2/prv2-oauth-20260908/responses/0008-a1.json.gz,a2c34704ffd53074311bb96a1d651e40c1ef30cd4fc5c92f92cbdd52f4abdea5,1,56ad82032c9b7d79339c8b2f90009fc7a95666dcfad6d976e77c9979db74dff4,8,image_returned,5e29440d1a2dd80ca62345ad90683d559ab0637591d279712e24009c3838284d,False
1,"[{""attempt"": 1, ""cost_usd"": 0.0, ""event_sha256"": ""0a7be6c280250732b8a56c006c0422ce79f74ffd2e7647c3aebb15b35fb05787"", ""status"": ""image_returned""}]",0.0,,PNG,1124,2300204,75d897f5fb7b5b07871c73ce4730c104cc6b3170c437b304ec99c6f4534b65af,True,RGB,opaque,,png,low,1399x1124,False,1399,[],prv2:land_fields:r02:cezanne:muted,research_workspace/painter_responsiveness_v2/prv2-oauth-20260908/responses/0009-a1.json.gz,736b4c874c69a0868a84f1c0f0d8effb6bdbe67a17d2917a6dbc8110e74e975d,1,0a7be6c280250732b8a56c006c0422ce79f74ffd2e7647c3aebb15b35fb05787,9,image_returned,300682cd8224bc8613dd90700a007349c08f1235de87c2765c5fcbb0f8279c01,False
1,"[{""attempt"": 1, ""cost_usd"": 0.0, ""event_sha256"": ""ff11d479b3a2f1261d975ebee5de19ce4e7d27c7a0d056235637b607dc82dab8"", ""status"": ""image_returned""}]",0.0,,PNG,1120,2863582,86391cb3aaef0d5c500c8a0054c3ef6d95b002f232d85ba4a61fca08e9ff3826,True,RGB,opaque,,png,low,1405x1120,False,1405,[],prv2:land_fields:r02:cezanne:vivid,research_workspace/painter_responsiveness_v2/prv2-oauth-20260908/responses/0010-a1.json.gz,04a6f43d6da4811be8aab08166d5779e974dd560db5ef11edc6f4532165305f3,1,ff11d479b3a2f1261d975ebee5de19ce4e7d27c7a0d056235637b607dc82dab8,10,image_returned,beee29978ff8119aeac84643e4f401a6eb2ce20c80fba35e7a36d7a2fb8b18a8,False
1,"[{""attempt"": 1, ""cost_usd"": 0.0, ""event_sha256"": ""28808625017ab4f1bec39e3fe64f162f8d5a2e1721e7d324f43a835d609271d2"", ""status"": ""image_returned""}]",0.0,,PNG,1120,3339078,d128d7f961e2e54b183421dafd30dae650a01ac55e75fcfe7321cdc4df4cceab,True,RGB,opaque,,png,low,1404x1120,False,1404,[],prv2:land_fields:r02:monet:vivid,research_workspace/painter_responsiveness_v2/prv2-oauth-20260908/responses/0011-a1.json.gz,458476e5599ca029f35abe561ef1b3aee7d07819baf85ccaa71a0fc364eda378,1,28808625017ab4f1bec39e3fe64f162f8d5a2e1721e7d324f43a835d609271d2,11,image_returned,a74b17258e88ce5eca34b4d5cc2365a9fa2abfa2dfa04fc95a8984f26037c338,False
1,"[{""attempt"": 1, ""cost_usd"": 0.0, ""event_sha256"": ""5f47e7f04e518066d59f814bbf9a2508168126cc9b8519fea7eafae0c249b5f9"", ""status"": ""image_returned""}]",0.0,,PNG,1131,3000121,e9f07f93ccd913fee146332534a1cff7fd652903d0303524294b94d6118d4dab,True,RGB,opaque,,png,low,1391x1131,False,1391,[],prv2:land_fields:r02:generic:vivid,research_workspace/painter_responsiveness_v2/prv2-oauth-20260908/responses/0012-a1.json.gz,8cf10cdf71823c1b3715827ed9e15098b447afefcb4821b030030179f438b782,1,5f47e7f04e518066d59f814bbf9a2508168126cc9b8519fea7eafae0c249b5f9,12,image_returned,17b61104329b420e49e8283aba9932a443ef90b89594222678739973c2ad07cb,False
1,"[{""attempt"": 1, ""cost_usd"": 0.0, ""event_sha256"": ""b9288ac6275123fc137f66ecbc9bb10984e85af01bd0775599d7591377abe89f"", ""status"": ""image_returned""}]",0.0,,PNG,1118,2773626,99ccf1cc8c0e594679805d52291425d827c9fdec48f4af28732b565a66652ed2,True,RGB,opaque,,png,low,1407x1118,False,1407,[],prv2:land_fields:r02:free:muted,research_workspace/painter_responsiveness_v2/prv2-oauth-20260908/responses/0013-a1.json.gz,a172bec0850e0545f0b58ee0526525fe656339a3f077033be3036bea0f4b2673,1,b9288ac6275123fc137f66ecbc9bb10984e85af01bd0775599d7591377abe89f,13,image_returned,f6d3ba322372eaaebd95ace77d4998c7b21ee79a065d83c94ec6ab7464bd8eeb,False
1,"[{""attempt"": 1, ""cost_usd"": 0.0, ""event_sha256"": ""20f2c2230dd6b4b7118770a02446d57876327094c6f13c0d37813be8feeec8df"", ""status"": ""image_returned""}]",0.0,,PNG,1118,2591256,93e43215f402a2e79f90649fca1133590a73c79e7d56d4e42d196d573605f9d4,True,RGB,opaque,,png,low,1407x1118,False,1407,[],prv2:land_fields:r02:monet:muted,research_workspace/painter_responsiveness_v2/prv2-oauth-20260908/responses/0014-a1.json.gz,f7dc308fad6d29ec210936130ce8d9b2529dd1237130de5322d2ea1f45f5c415,1,20f2c2230dd6b4b7118770a02446d57876327094c6f13c0d37813be8feeec8df,14,image_returned,593e0f1ecaff2def3b4c212dc5f3ffe15f439554a5b02ab77cc6103d647466a7,False
1,"[{""attempt"": 1, ""cost_usd"": 0.0, ""event_sha256"": ""c1b253f4d141953eda5816b56752e73bf5d1335be6a9b7785e3724d5462bf582"", ""status"": ""image_returned""}]",0.0,,PNG,1122,3084993,6cb8c023ca9ec6ff038eb5de4258860a802101723bb819e5822ac21a4983a2e9,True,RGB,opaque,,png,low,1402x1122,False,1402,[],prv2:land_fields:r02:free:vivid,research_workspace/painter_responsiveness_v2/prv2-oauth-20260908/responses/0015-a1.json.gz,a2c3987b6b2074675c0d3a493a8291de5a68ea82e54cff106dea38d6f6dba9a6,1,c1b253f4d141953eda5816b56752e73bf5d1335be6a9b7785e3724d5462bf582,15,image_returned,2b0af1d0da0116d62ffaca327fedc92b7e91d00df6bbe99a62d2a39cc92bcc56,False
1,"[{""attempt"": 1, ""cost_usd"": 0.0, ""event_sha256"": ""e457fe78ed8eb98490b72a06121bc044e9423e156fcd237e71a01bfe9dc2ef35"", ""status"": ""image_returned""}]",0.0,,PNG,1122,3434628,4ad1725cf5a22758e9e5b355a7f8bedc2dc16a017893187a38b732c0ec420f59,True,RGB,opaque,,png,low,1402x1122,False,1402,[],prv2:water_bend:r01:monet:vivid,research_workspace/painter_responsiveness_v2/prv2-oauth-20260908/responses/0016-a1.json.gz,d3d836808bbb33d427370c756665acf40469b6f9581bf2199fbafadeafcec720,1,e457fe78ed8eb98490b72a06121bc044e9423e156fcd237e71a01bfe9dc2ef35,16,image_returned,db414b9a027da59390ff90267988f9beeff25d26d08f5c270245b9f6eeb6c37c,False
1,"[{""attempt"": 1, ""cost_usd"": 0.0, ""event_sha256"": ""e49fe646c570b72cd1dd4599e58f5845dd0bb1d3dc8f67cbe9596d4a57140d72"", ""status"": ""image_returned""}]",0.0,,PNG,1120,3038944,e028899e41c9f57880304477e1c08d7de023e9ccba6984ff7949502d6f0e7b9a,True,RGB,opaque,,png,low,1405x1120,False,1405,[],prv2:water_bend:r01:generic:vivid,research_workspace/painter_responsiveness_v2/prv2-oauth-20260908/responses/0017-a1.json.gz,2ef57232289464b416212d2d3088b9a190d8438af70eeb8febf6e202758b7844,1,e49fe646c570b72cd1dd4599e58f5845dd0bb1d3dc8f67cbe9596d4a57140d72,17,image_returned,0c9dadd810bc1e19e46130d6db821f78b272be697979caba4d732b00e27c3beb,False
