arm,content_class,pipeline,polarity,repetition,request_id,status,template_id,value
free,built,primary512,vivid,1,prv2:built_houses:r01:free:vivid,measured,built_houses,3.8168188537002408
free,built,resolution256,vivid,1,prv2:built_houses:r01:free:vivid,measured,built_houses,3.8049952032710816
free,built,jpeg90_512,vivid,1,prv2:built_houses:r01:free:vivid,measured,built_houses,3.7271712944830697
generic,built,primary512,vivid,1,prv2:built_houses:r01:generic:vivid,measured,built_houses,3.210447600248065
generic,built,resolution256,vivid,1,prv2:built_houses:r01:generic:vivid,measured,built_houses,3.2045729960879648
generic,built,jpeg90_512,vivid,1,prv2:built_houses:r01:generic:vivid,measured,built_houses,3.117390709301799
monet,built,primary512,vivid,1,prv2:built_houses:r01:monet:vivid,measured,built_houses,1.9493641926580236
monet,built,resolution256,vivid,1,prv2:built_houses:r01:monet:vivid,measured,built_houses,1.9210881838438638
monet,built,jpeg90_512,vivid,1,prv2:built_houses:r01:monet:vivid,measured,built_houses,1.8480974050889496
free,built,primary512,muted,1,prv2:built_houses:r01:free:muted,measured,built_houses,0.45639215711024644
free,built,resolution256,muted,1,prv2:built_houses:r01:free:muted,measured,built_houses,0.45775260134204454
free,built,jpeg90_512,muted,1,prv2:built_houses:r01:free:muted,measured,built_houses,0.47222623216965137
cezanne,built,primary512,vivid,1,prv2:built_houses:r01:cezanne:vivid,measured,built_houses,1.9876034843138695
cezanne,built,resolution256,vivid,1,prv2:built_houses:r01:cezanne:vivid,measured,built_houses,1.970834784831132
cezanne,built,jpeg90_512,vivid,1,prv2:built_houses:r01:cezanne:vivid,measured,built_houses,1.9248316372022554
cezanne,built,primary512,muted,1,prv2:built_houses:r01:cezanne:muted,measured,built_houses,-0.2979266476744206
cezanne,built,resolution256,muted,1,prv2:built_houses:r01:cezanne:muted,measured,built_houses,-0.3011584394076552
cezanne,built,jpeg90_512,muted,1,prv2:built_houses:r01:cezanne:muted,measured,built_houses,-0.306870053735128
generic,built,primary512,muted,1,prv2:built_houses:r01:generic:muted,measured,built_houses,0.17893451501754687
generic,built,resolution256,muted,1,prv2:built_houses:r01:generic:muted,measured,built_houses,0.1789915022393191
generic,built,jpeg90_512,muted,1,prv2:built_houses:r01:generic:muted,measured,built_houses,0.181529606621284
monet,built,primary512,muted,1,prv2:built_houses:r01:monet:muted,measured,built_houses,-0.2749930125595728
monet,built,resolution256,muted,1,prv2:built_houses:r01:monet:muted,measured,built_houses,-0.27284837647706306
monet,built,jpeg90_512,muted,1,prv2:built_houses:r01:monet:muted,measured,built_houses,-0.27138876027637615
generic,land,primary512,muted,2,prv2:land_fields:r02:generic:muted,measured,land_fields,-0.05600413965634159
generic,land,resolution256,muted,2,prv2:land_fields:r02:generic:muted,measured,land_fields,-0.05433972669888979
generic,land,jpeg90_512,muted,2,prv2:land_fields:r02:generic:muted,measured,land_fields,-0.047818167363865974
cezanne,land,primary512,muted,2,prv2:land_fields:r02:cezanne:muted,measured,land_fields,0.19301167194543237
cezanne,land,resolution256,muted,2,prv2:land_fields:r02:cezanne:muted,measured,land_fields,0.20063247054467823
cezanne,land,jpeg90_512,muted,2,prv2:land_fields:r02:cezanne:muted,measured,land_fields,0.21447571447276506
cezanne,land,primary512,vivid,2,prv2:land_fields:r02:cezanne:vivid,measured,land_fields,2.4356724675367256
cezanne,land,resolution256,vivid,2,prv2:land_fields:r02:cezanne:vivid,measured,land_fields,2.4207356318147
cezanne,land,jpeg90_512,vivid,2,prv2:land_fields:r02:cezanne:vivid,measured,land_fields,2.374812015164407
monet,land,primary512,vivid,2,prv2:land_fields:r02:monet:vivid,measured,land_fields,2.1163007633960764
monet,land,resolution256,vivid,2,prv2:land_fields:r02:monet:vivid,measured,land_fields,2.0935537892751857
monet,land,jpeg90_512,vivid,2,prv2:land_fields:r02:monet:vivid,measured,land_fields,2.0295291499026415
generic,land,primary512,vivid,2,prv2:land_fields:r02:generic:vivid,measured,land_fields,4.684254337053058
generic,land,resolution256,vivid,2,prv2:land_fields:r02:generic:vivid,measured,land_fields,4.683747088697492
generic,land,jpeg90_512,vivid,2,prv2:land_fields:r02:generic:vivid,measured,land_fields,4.603720295524038
