allocated,arm,complete,generated_mass_in_reference_central80,generated_summary.maximum,generated_summary.minimum,generated_summary.n,generated_summary.quantiles_10_50_90,generated_summary.weighted_mean,generated_weighting,measured,painter_id,pipeline,polarity,reference_mass_in_generated_central80,reference_weighting,status,wasserstein_1
24,free,False,0.6666666666666667,0.45639215711024644,-0.9120475207271771,5,"[-0.9120475207271771, 0.04562664884042597, 0.45639215711024644]",-0.1250536446287318,"equal broad classes and, for mixture, equal polarity within class",5,claude_monet,primary512,muted,0.6052631578947368,empirical_reference_mixture,descriptive_selected_available,0.5727119361097127
24,free,False,0.0,4.765982667749404,2.8953936122665613,6,"[2.8953936122665613, 3.8168188537002408, 4.765982667749404]",3.918310029936431,"equal broad classes and, for mixture, equal polarity within class",6,claude_monet,primary512,vivid,0.05263157894736843,empirical_reference_mixture,descriptive_selected_available,3.5492927055790395
48,free,False,0.3333333333333333,4.765982667749404,-0.9120475207271771,11,"[-0.9120475207271771, 2.8953936122665613, 4.390940025694465]",1.89662819265385,"equal broad classes and, for mixture, equal polarity within class",11,claude_monet,primary512,equal_polarity_mixture,0.9473684210526316,empirical_reference_mixture,descriptive_selected_available,1.6250254423736772
24,generic,False,1.0,0.7667414346336671,-0.4700845205041911,7,"[-0.4700845205041911, 0.17893451501754687, 0.7667414346336671]",0.13112464941388446,"equal broad classes and, for mixture, equal polarity within class",7,claude_monet,primary512,muted,0.6052631578947368,empirical_reference_mixture,descriptive_selected_available,0.41543741699144837
24,generic,False,0.0,4.684254337053058,2.9124924713713054,6,"[2.9124924713713054, 3.3807543220784133, 4.684254337053058]",3.6689079639105766,"equal broad classes and, for mixture, equal polarity within class",6,claude_monet,primary512,vivid,0.05263157894736843,empirical_reference_mixture,descriptive_selected_available,3.2998906395531855
48,generic,False,0.5,4.684254337053058,-0.4700845205041911,13,"[-0.4700845205041911, 0.7667414346336671, 4.481455752862762]",1.9000163066622309,"equal broad classes and, for mixture, equal polarity within class",13,claude_monet,primary512,equal_polarity_mixture,0.868421052631579,empirical_reference_mixture,descriptive_selected_available,1.533674974039406
24,monet,False,0.11111111111111108,-0.2749930125595728,-1.0764804452064956,6,"[-1.0764804452064956, -0.8292616515930418, -0.2749930125595728]",-0.8268838088644037,"equal broad classes and, for mixture, equal polarity within class",6,claude_monet,primary512,muted,0.23684210526315794,empirical_reference_mixture,descriptive_selected_available,1.1959011332217961
24,monet,False,0.11111111111111108,2.376019282653132,1.5057555846028374,6,"[1.5057555846028374, 1.8413413651751502, 2.376019282653132]",1.9489154501776236,"equal broad classes and, for mixture, equal polarity within class",6,claude_monet,primary512,vivid,0.05263157894736843,empirical_reference_mixture,descriptive_selected_available,1.7286307886373384
48,monet,False,0.1111111111111111,2.376019282653132,-1.0764804452064956,12,"[-1.0185044792717222, -0.2749930125595728, 2.1163007633960764]",0.56101582065661,"equal broad classes and, for mixture, equal polarity within class",12,claude_monet,primary512,equal_polarity_mixture,0.9210526315789475,empirical_reference_mixture,descriptive_selected_available,0.8383722018678388
24,cezanne,False,0.6666666666666665,0.19301167194543237,-0.6915999566160321,6,"[-0.6915999566160321, -0.2979266476744206, 0.19301167194543237]",-0.29739635204032894,"equal broad classes and, for mixture, equal polarity within class",6,claude_monet,primary512,muted,0.5526315789473685,empirical_reference_mixture,descriptive_selected_available,0.6967608885450313
24,cezanne,False,0.0,3.165656820142321,1.9876034843138695,7,"[1.9876034843138695, 2.277045960491738, 3.165656820142321]",2.448023242983435,"equal broad classes and, for mixture, equal polarity within class",7,claude_monet,primary512,vivid,0.0,empirical_reference_mixture,descriptive_selected_available,2.1446188406548146
48,cezanne,False,0.3333333333333333,3.165656820142321,-0.6915999566160321,13,"[-0.6915999566160321, 0.19301167194543237, 3.1172175409470326]",1.0753134454715534,"equal broad classes and, for mixture, equal polarity within class",13,claude_monet,primary512,equal_polarity_mixture,0.8947368421052632,empirical_reference_mixture,descriptive_selected_available,0.8358527701908702
24,free,False,0.6666666666666667,0.45639215711024644,-0.9120475207271771,5,"[-0.9120475207271771, 0.04562664884042597, 0.45639215711024644]",-0.1250536446287318,"equal broad classes and, for mixture, equal polarity within class",5,claude_monet,primary512,muted,0.6065323565323566,equal_broad_class,descriptive_selected_available,0.5453506276940163
24,free,False,0.0,4.765982667749404,2.8953936122665613,6,"[2.8953936122665613, 3.8168188537002408, 4.765982667749404]",3.918310029936431,"equal broad classes and, for mixture, equal polarity within class",6,claude_monet,primary512,vivid,0.04151404151404152,equal_broad_class,descriptive_selected_available,3.5863091316026052
48,free,False,0.3333333333333333,4.765982667749404,-0.9120475207271771,11,"[-0.9120475207271771, 2.8953936122665613, 4.390940025694465]",1.89662819265385,"equal broad classes and, for mixture, equal polarity within class",11,claude_monet,primary512,equal_polarity_mixture,0.9682539682539684,equal_broad_class,descriptive_selected_available,1.6739533278701542
24,generic,False,1.0,0.7667414346336671,-0.4700845205041911,7,"[-0.4700845205041911, 0.17893451501754687, 0.7667414346336671]",0.13112464941388446,"equal broad classes and, for mixture, equal polarity within class",7,claude_monet,primary512,muted,0.5683760683760686,equal_broad_class,descriptive_selected_available,0.36123996461968966
24,generic,False,0.0,4.684254337053058,2.9124924713713054,6,"[2.9124924713713054, 3.3807543220784133, 4.684254337053058]",3.6689079639105766,"equal broad classes and, for mixture, equal polarity within class",6,claude_monet,primary512,vivid,0.04151404151404152,equal_broad_class,descriptive_selected_available,3.336907065576751
48,generic,False,0.5,4.684254337053058,-0.4700845205041911,13,"[-0.4700845205041911, 0.7667414346336671, 4.481455752862762]",1.9000163066622309,"equal broad classes and, for mixture, equal polarity within class",13,claude_monet,primary512,equal_polarity_mixture,0.8531746031746033,equal_broad_class,descriptive_selected_available,1.5694265065472823
24,monet,False,0.11111111111111108,-0.2749930125595728,-1.0764804452064956,6,"[-1.0764804452064956, -0.8292616515930418, -0.2749930125595728]",-0.8268838088644037,"equal broad classes and, for mixture, equal polarity within class",6,claude_monet,primary512,muted,0.2875457875457876,equal_broad_class,descriptive_selected_available,1.158884707198231
24,monet,False,0.0,2.376019282653132,1.5057555846028374,6,"[1.5057555846028374, 1.8413413651751502, 2.376019282653132]",1.9489154501776236,"equal broad classes and, for mixture, equal polarity within class",6,claude_monet,primary512,vivid,0.04151404151404152,equal_broad_class,descriptive_selected_available,1.732006829677498
48,monet,False,0.05555555555555555,2.376019282653132,-1.0764804452064956,12,"[-1.0185044792717222, -0.2749930125595728, 2.1163007633960764]",0.56101582065661,"equal broad classes and, for mixture, equal polarity within class",12,claude_monet,primary512,equal_polarity_mixture,0.9426129426129428,equal_broad_class,descriptive_selected_available,0.8206685952191499
24,cezanne,False,0.6666666666666665,0.19301167194543237,-0.6915999566160321,6,"[-0.6915999566160321, -0.2979266476744206, 0.19301167194543237]",-0.29739635204032894,"equal broad classes and, for mixture, equal polarity within class",6,claude_monet,primary512,muted,0.565018315018315,equal_broad_class,descriptive_selected_available,0.647701918018565
24,cezanne,False,0.0,3.165656820142321,1.9876034843138695,7,"[1.9876034843138695, 2.277045960491738, 3.165656820142321]",2.448023242983435,"equal broad classes and, for mixture, equal polarity within class",7,claude_monet,primary512,vivid,0.0,equal_broad_class,descriptive_selected_available,2.165552531458566
48,cezanne,False,0.3333333333333333,3.165656820142321,-0.6915999566160321,13,"[-0.6915999566160321, 0.19301167194543237, 3.1172175409470326]",1.0753134454715534,"equal broad classes and, for mixture, equal polarity within class",13,claude_monet,primary512,equal_polarity_mixture,0.926739926739927,equal_broad_class,descriptive_selected_available,0.8441004804962585
24,free,False,0.6666666666666667,0.45639215711024644,-0.9120475207271771,5,"[-0.9120475207271771, 0.04562664884042597, 0.45639215711024644]",-0.1250536446287318,"equal broad classes and, for mixture, equal polarity within class",5,paul_cezanne,primary512,muted,0.34375,empirical_reference_mixture,descriptive_selected_available,0.9371310196478035
24,free,False,0.0,4.765982667749404,2.8953936122665613,6,"[2.8953936122665613, 3.8168188537002408, 4.765982667749404]",3.918310029936431,"equal broad classes and, for mixture, equal polarity within class",6,paul_cezanne,primary512,vivid,0.03125,empirical_reference_mixture,descriptive_selected_available,3.1062326549173607
48,free,False,0.3333333333333333,4.765982667749404,-0.9120475207271771,11,"[-0.9120475207271771, 2.8953936122665613, 4.390940025694465]",1.89662819265385,"equal broad classes and, for mixture, equal polarity within class",11,paul_cezanne,primary512,equal_polarity_mixture,1.0,empirical_reference_mixture,descriptive_selected_available,1.430119392919113
24,generic,False,0.5555555555555555,0.7667414346336671,-0.4700845205041911,7,"[-0.4700845205041911, 0.17893451501754687, 0.7667414346336671]",0.13112464941388446,"equal broad classes and, for mixture, equal polarity within class",7,paul_cezanne,primary512,muted,0.5,empirical_reference_mixture,descriptive_selected_available,0.6858124744287368
