attempt,complete,latency_seconds,observed,observed.format,observed.height,observed.image_bytes,observed.image_sha256,observed.minimum_512,observed.mode,observed.reported.background,observed.reported.model,observed.reported.output_format,observed.reported.quality,observed.reported.size,observed.square_1024,observed.width,post_started,request_id,slot_sequence,status,status_code,transport_started_monotonic
1,True,27.79446204204578,,PNG,1142,3238026,5e417150e69c95ca8616d462b26a52c270f24db01578df829471984d34118f30,True,RGB,opaque,,png,low,1377x1142,False,1377,True,prv2:built_houses:r01:free:vivid,0,image_returned,200,729173.387242958
1,True,28.134648583014496,,PNG,1162,3172893,9ca330c102421078c49efbb8282218ea7812d88a3ec01bb9d40389a8e585a5fb,True,RGB,opaque,,png,low,1353x1162,False,1353,True,prv2:built_houses:r01:generic:vivid,1,image_returned,200,729178.649431583
1,True,25.866428542067297,,PNG,1142,3271692,a26dc699a82b96dcf8ebe1fd579adaa4e03cff0691bfe098c2ce20812ca6615c,True,RGB,opaque,,png,low,1377x1142,False,1377,True,prv2:built_houses:r01:monet:vivid,2,image_returned,200,729201.393955458
1,True,30.888045375002548,,PNG,1160,3053272,297570bc0ee810d07de8e39807acb1badc08e647e9386b88094c9e9f976e780f,True,RGB,opaque,,png,low,1356x1160,False,1356,True,prv2:built_houses:r01:free:muted,3,image_returned,200,729206.996212041
1,True,25.685203333967365,,PNG,1122,2917056,1b8ac5dab66a42a1c76d21fadac60b8ebec35e29e2ae28d269766d2c19457ee3,True,RGB,opaque,,png,low,1402x1122,False,1402,True,prv2:built_houses:r01:cezanne:vivid,4,image_returned,200,729227.478613666
1,True,29.836329582962207,,PNG,1122,2470250,0618cbf6c716a41934aa52092f373b365367d283a02669d38c315b34eb36a026,True,RGB,opaque,,png,low,1402x1122,False,1402,True,prv2:built_houses:r01:cezanne:muted,5,image_returned,200,729238.097448
1,True,26.28675058297813,,PNG,1122,2581687,f4e070f64a2f70cfadda207ca3f9b9674a0f06a73ffd8a7e5d1bb7c507503600,True,RGB,opaque,,png,low,1402x1122,False,1402,True,prv2:built_houses:r01:generic:muted,6,image_returned,200,729253.387218333
1,True,33.92383087496273,,PNG,1121,2809310,ce2c9c9450f4c4ae3521294804f1b384d5cbbac368bcfa6f9cd724ca7c916a92,True,RGB,opaque,,png,low,1403x1121,False,1403,True,prv2:built_houses:r01:monet:muted,7,image_returned,200,729268.146912041
1,True,24.830782374949194,,PNG,1120,2501606,46970e1fa4dea066f3c52ea78129e0f2b09561f8fcc79cd0e959943cd015417a,True,RGB,opaque,,png,low,1404x1120,False,1404,True,prv2:land_fields:r02:generic:muted,8,image_returned,200,729302.283573583
1,True,26.91342108300887,,PNG,1124,2300204,75d897f5fb7b5b07871c73ce4730c104cc6b3170c437b304ec99c6f4534b65af,True,RGB,opaque,,png,low,1399x1124,False,1399,True,prv2:land_fields:r02:cezanne:muted,9,image_returned,200,729307.543551375
1,True,26.6742792079458,,PNG,1120,2863582,86391cb3aaef0d5c500c8a0054c3ef6d95b002f232d85ba4a61fca08e9ff3826,True,RGB,opaque,,png,low,1405x1120,False,1405,True,prv2:land_fields:r02:cezanne:vivid,10,image_returned,200,729327.330838958
1,True,28.996463209041394,,PNG,1120,3339078,d128d7f961e2e54b183421dafd30dae650a01ac55e75fcfe7321cdc4df4cceab,True,RGB,opaque,,png,low,1404x1120,False,1404,True,prv2:land_fields:r02:monet:vivid,11,image_returned,200,729334.678307791
1,True,25.95737883390393,,PNG,1131,3000121,e9f07f93ccd913fee146332534a1cff7fd652903d0303524294b94d6118d4dab,True,RGB,opaque,,png,low,1391x1131,False,1391,True,prv2:land_fields:r02:generic:vivid,12,image_returned,200,729354.218964291
1,True,27.702443999936804,,PNG,1118,2773626,99ccf1cc8c0e594679805d52291425d827c9fdec48f4af28732b565a66652ed2,True,RGB,opaque,,png,low,1407x1118,False,1407,True,prv2:land_fields:r02:free:muted,13,image_returned,200,729363.885773375
1,True,25.259324292070232,,PNG,1118,2591256,93e43215f402a2e79f90649fca1133590a73c79e7d56d4e42d196d573605f9d4,True,RGB,opaque,,png,low,1407x1118,False,1407,True,prv2:land_fields:r02:monet:muted,14,image_returned,200,729380.388159583
1,True,27.3379331670003,,PNG,1122,3084993,6cb8c023ca9ec6ff038eb5de4258860a802101723bb819e5822ac21a4983a2e9,True,RGB,opaque,,png,low,1402x1122,False,1402,True,prv2:land_fields:r02:free:vivid,15,image_returned,200,729391.796324916
1,True,25.087635208037682,,PNG,1122,3434628,4ad1725cf5a22758e9e5b355a7f8bedc2dc16a017893187a38b732c0ec420f59,True,RGB,opaque,,png,low,1402x1122,False,1402,True,prv2:water_bend:r01:monet:vivid,16,image_returned,200,729419.346378958
1,True,26.44224183401093,,PNG,1120,3038944,e028899e41c9f57880304477e1c08d7de023e9ccba6984ff7949502d6f0e7b9a,True,RGB,opaque,,png,low,1405x1120,False,1405,True,prv2:water_bend:r01:generic:vivid,17,image_returned,200,729424.619256166
1,True,30.041768832947128,,PNG,1122,3402066,fc7058cd1450aecbfc025e268288e5aeb74c99e22948e7c4c67641f9f12b7455,True,RGB,opaque,,png,low,1402x1122,False,1402,True,prv2:water_bend:r01:free:vivid,18,image_returned,200,729444.657990208
1,True,30.687028374988586,,PNG,1131,2372368,bf033ee0b3d52036c9a228a8cde821e2d404f7a43a7941c30d4dc68616a2634c,True,RGB,opaque,,png,low,1391x1131,False,1391,True,prv2:water_bend:r01:cezanne:muted,19,image_returned,200,729451.274874458
1,True,27.929017209098674,,PNG,1124,3048400,cd688e19b2b04929d28f4d7d934796f8349b5bc46f339b0be387a7f322955760,True,RGB,opaque,,png,low,1399x1124,False,1399,True,prv2:water_bend:r01:cezanne:vivid,20,image_returned,200,729474.912093791
1,True,25.530771125108004,,PNG,1122,2749424,c290396b47822fa486eacd1f312c898348c82345167537141bce5939dde487cd,True,RGB,opaque,,png,low,1402x1122,False,1402,True,prv2:water_bend:r01:free:muted,22,image_returned,200,729503.056889333
1,True,60.10433370794635,,PNG,1121,2550680,68b351d8d78d6dee8c1b042941b0b2dfaf37da87ba19f75a6d602a01da44a9e6,True,RGB,opaque,,png,low,1403x1121,False,1403,True,prv2:water_bend:r01:monet:muted,21,image_returned,200,729482.175354333
1,True,32.710515166050754,,PNG,1120,2453000,250bed3e350d6e7d6a34797c69e9b7cc220d46776b999dfa67382810e5d6c7ec,True,RGB,opaque,,png,low,1405x1120,False,1405,True,prv2:water_bend:r01:generic:muted,23,image_returned,200,729528.798648
