content_class,image_id,painter_id,pipeline,value
land,wikidata:Q105099583,claude_monet,jpeg90_512,-0.4727815623015809
water,wikidata:Q105099601,claude_monet,jpeg90_512,0.07545076848190367
land,wikidata:Q105099613,claude_monet,jpeg90_512,1.7196982512361232
water,wikidata:Q105099626,claude_monet,jpeg90_512,-0.37656385049953617
land,wikidata:Q106879983,claude_monet,jpeg90_512,0.2006931652499988
built,wikidata:Q106925109,claude_monet,jpeg90_512,-0.5310182559820995
water,wikidata:Q113520917,claude_monet,jpeg90_512,-0.38747611606757437
built,wikidata:Q116143411,claude_monet,jpeg90_512,-0.4545582912156722
water,wikidata:Q117435199,claude_monet,jpeg90_512,0.8787793767472072
built,wikidata:Q117435200,claude_monet,jpeg90_512,-0.11071487746889258
water,wikidata:Q17492292,claude_monet,jpeg90_512,0.09618878435633292
water,wikidata:Q17493461,claude_monet,jpeg90_512,-0.09822336131106002
water,wikidata:Q17493907,claude_monet,jpeg90_512,0.04088131097079019
land,wikidata:Q19967292,claude_monet,jpeg90_512,1.4704196707567256
water,wikidata:Q20538824,claude_monet,jpeg90_512,-0.19097028994911186
water,wikidata:Q20538849,claude_monet,jpeg90_512,-0.47886956730639274
water,wikidata:Q20809479,claude_monet,jpeg90_512,-0.1206246512033967
land,wikidata:Q2450237,claude_monet,jpeg90_512,0.857089638134404
water,wikidata:Q24953805,claude_monet,jpeg90_512,0.23574032964479522
water,wikidata:Q30093031,claude_monet,jpeg90_512,-0.09387189252646867
land,wikidata:Q3794124,claude_monet,jpeg90_512,0.6329369674091656
built,wikidata:Q47615867,claude_monet,jpeg90_512,0.9822186602213905
land,wikidata:Q50415977,claude_monet,jpeg90_512,-0.08939180354727674
water,wikidata:Q50700359,claude_monet,jpeg90_512,-0.1913949014366062
water,wikidata:Q59530379,claude_monet,jpeg90_512,-0.5375099592235303
land,wikidata:Q63952037,claude_monet,jpeg90_512,3.6466719477561638
water,wikidata:Q66126523,claude_monet,jpeg90_512,-0.9243267287426731
water,wikidata:Q67158045,claude_monet,jpeg90_512,3.8998619780543198
land,wikidata:Q67220780,claude_monet,jpeg90_512,0.47262259096730475
water,wikidata:Q67609602,claude_monet,jpeg90_512,-0.16829591336273708
water,wikidata:Q68372814,claude_monet,jpeg90_512,1.587816578263035
land,wikidata:Q79790733,claude_monet,jpeg90_512,1.0412647482308113
land,wikidata:Q79790741,claude_monet,jpeg90_512,1.2382550701079722
water,wikidata:Q79868506,claude_monet,jpeg90_512,-0.18312358362352923
land,wikidata:Q85224931,claude_monet,jpeg90_512,0.7441100039564362
water,wikidata:Q87367853,claude_monet,jpeg90_512,0.04659841564742176
water,wikidata:Q92787519,claude_monet,jpeg90_512,-1.051814876112938
land,wikidata:Q92831691,claude_monet,jpeg90_512,-0.09657453236863725
built,wikidata:Q108187503,paul_cezanne,jpeg90_512,0.5802732845467138
land,wikidata:Q108479438,paul_cezanne,jpeg90_512,0.06574071952611318
land,wikidata:Q119122440,paul_cezanne,jpeg90_512,0.18964738357727032
land,wikidata:Q123469396,paul_cezanne,jpeg90_512,0.307284328390486
water,wikidata:Q124156637,paul_cezanne,jpeg90_512,0.2744701250062365
land,wikidata:Q135088199,paul_cezanne,jpeg90_512,0.5400449214849977
land,wikidata:Q135208928,paul_cezanne,jpeg90_512,0.034775198833708554
water,wikidata:Q20190070,paul_cezanne,jpeg90_512,-0.0007572102657073828
land,wikidata:Q20198272,paul_cezanne,jpeg90_512,0.4818593732828109
land,wikidata:Q20879001,paul_cezanne,jpeg90_512,0.9831436906650441
land,wikidata:Q22337850,paul_cezanne,jpeg90_512,1.1886200591315494
land,wikidata:Q28039709,paul_cezanne,jpeg90_512,1.3290990102854983
built,wikidata:Q28126470,paul_cezanne,jpeg90_512,0.6353157856730587
built,wikidata:Q28126472,paul_cezanne,jpeg90_512,0.7236430663316386
land,wikidata:Q28126494,paul_cezanne,jpeg90_512,2.350893163904127
built,wikidata:Q3821663,paul_cezanne,jpeg90_512,0.789260430571059
land,wikidata:Q3984602,paul_cezanne,jpeg90_512,1.2528961465192547
land,wikidata:Q63670617,paul_cezanne,jpeg90_512,2.481672928619795
built,wikidata:Q63870916,paul_cezanne,jpeg90_512,3.730443146694696
built,wikidata:Q64212455,paul_cezanne,jpeg90_512,0.8898926578599398
land,wikidata:Q64244598,paul_cezanne,jpeg90_512,-0.008496691825978094
water,wikidata:Q64319425,paul_cezanne,jpeg90_512,0.7878313290803114
land,wikidata:Q64355195,paul_cezanne,jpeg90_512,0.6080188166014519
built,wikidata:Q64364677,paul_cezanne,jpeg90_512,1.713351778247737
land,wikidata:Q64366377,paul_cezanne,jpeg90_512,0.15392289784893523
built,wikidata:Q64370842,paul_cezanne,jpeg90_512,1.195451514212381
land,wikidata:Q64374464,paul_cezanne,jpeg90_512,1.162661830813099
built,wikidata:Q79161263,paul_cezanne,jpeg90_512,0.01592958119127469
built,wikidata:Q79889845,paul_cezanne,jpeg90_512,-0.041395902647935474
land,wikidata:Q87842510,paul_cezanne,jpeg90_512,0.8659082963222838
land,wikidata:Q91932567,paul_cezanne,jpeg90_512,0.641475824591428
built,wikidata:Q94637082,paul_cezanne,jpeg90_512,-0.5529489337558263
land,wikidata:Q105099583,claude_monet,primary512,-0.4242320169810511
water,wikidata:Q105099601,claude_monet,primary512,0.08281123981932681
land,wikidata:Q105099613,claude_monet,primary512,1.7359748007020765
water,wikidata:Q105099626,claude_monet,primary512,-0.36875325431609507
land,wikidata:Q106879983,claude_monet,primary512,0.24148888092918
built,wikidata:Q106925109,claude_monet,primary512,-0.5270786622700838
water,wikidata:Q113520917,claude_monet,primary512,-0.3363996754655396
built,wikidata:Q116143411,claude_monet,primary512,-0.43452484538846975
water,wikidata:Q117435199,claude_monet,primary512,0.8851333657272517
built,wikidata:Q117435200,claude_monet,primary512,-0.10862421286667677
water,wikidata:Q17492292,claude_monet,primary512,0.10909418233355281
water,wikidata:Q17493461,claude_monet,primary512,-0.09412706320876646
water,wikidata:Q17493907,claude_monet,primary512,0.060827080907058864
land,wikidata:Q19967292,claude_monet,primary512,1.467702153302315
water,wikidata:Q20538824,claude_monet,primary512,-0.16476620937752473
water,wikidata:Q20538849,claude_monet,primary512,-0.4744482871130686
water,wikidata:Q20809479,claude_monet,primary512,-0.09485142490219474
land,wikidata:Q2450237,claude_monet,primary512,0.8859760180387425
water,wikidata:Q24953805,claude_monet,primary512,0.2340622135680257
water,wikidata:Q30093031,claude_monet,primary512,-0.09681915413312062
land,wikidata:Q3794124,claude_monet,primary512,0.6930544546434919
built,wikidata:Q47615867,claude_monet,primary512,0.9823969275676463
land,wikidata:Q50415977,claude_monet,primary512,-0.07951952468687644
water,wikidata:Q50700359,claude_monet,primary512,-0.19701893543122628
water,wikidata:Q59530379,claude_monet,primary512,-0.5238665485852992
land,wikidata:Q63952037,claude_monet,primary512,3.6751842897875084
water,wikidata:Q66126523,claude_monet,primary512,-0.9162761576026316
water,wikidata:Q67158045,claude_monet,primary512,3.902774869043784
land,wikidata:Q67220780,claude_monet,primary512,0.4963972159272498
water,wikidata:Q67609602,claude_monet,primary512,-0.15932583431335176
water,wikidata:Q68372814,claude_monet,primary512,1.590527614257876
land,wikidata:Q79790733,claude_monet,primary512,1.1517542468703543
land,wikidata:Q79790741,claude_monet,primary512,1.2543282841170167
water,wikidata:Q79868506,claude_monet,primary512,-0.1707652214483323
land,wikidata:Q85224931,claude_monet,primary512,0.7509395406960829
water,wikidata:Q87367853,claude_monet,primary512,0.07784350348727433
water,wikidata:Q92787519,claude_monet,primary512,-1.0435207864283247
land,wikidata:Q92831691,claude_monet,primary512,-0.04069474162626436
