model,artist,energy,generic_energy,n,trace_ratio,complete_repeat_scenes,within_scene_trace,within_reference_trace_ratio,geometry_complete_scenes,geometry_error_contribution
gpt-image-1,claude_monet,2.061756316290669,4.57702733292086,28,0.47854337095140265,14,4.382691251803925,0.17845773311452268,14,0.10949348031048785
gpt-image-1,alfred_sisley,2.6989512113657304,5.437565095189254,28,0.6941674030297873,14,3.988257168764515,0.20601927648159016,14,0.30097933377710845
gpt-image-1,camille_pissarro,2.7799894161715875,5.407690613453718,28,0.6034942594584164,14,4.516319681391316,0.2631883603588168,14,0.34627278519899857
gpt-image-1,paul_cezanne,3.010759773450446,4.346814617225102,28,0.5977333197202286,14,2.067024263546741,0.13576078843718692,14,0.8156704550937095
gpt-image-2,claude_monet,1.791805631585234,2.3934843511689294,28,0.2828064232633586,14,2.1448836267853375,0.08733699177942728,14,0.31610954279629383
gpt-image-2,alfred_sisley,2.1064228163313183,3.1984746962787485,28,0.31232362580509243,14,1.9144252226264222,0.0988924441313755,14,0.10270763390325062
gpt-image-2,camille_pissarro,2.302948445975769,2.497752770310348,28,0.3026841442812656,14,2.0954860275354883,0.12211436980740388,14,0.24092483335532464
gpt-image-2,paul_cezanne,2.586909991004748,2.9596506700534233,28,0.30264492235190876,14,1.4843745910225827,0.09749274276421468,14,0.5661889177682543
gpt-image-2.5-flare,claude_monet,3.036646017427385,2.0748102412260714,28,0.26890963201603013,14,1.0246283996530636,0.04172159319039056,14,0.4894470481321024
gpt-image-2.5-flare,alfred_sisley,2.0041048099315413,2.0117051277477884,28,0.3709645783344281,14,0.8502617812578058,0.043921519997905646,14,0.11239309823689092
gpt-image-2.5-flare,camille_pissarro,2.274491393521429,1.8452120551621771,28,0.32067729645399456,14,0.799079624467946,0.04656633520129144,14,0.14493440789783021
gpt-image-2.5-flare,paul_cezanne,1.1048530988046688,2.117895614489896,28,0.2748209735161784,14,0.7685560546038174,0.050478254063720876,14,0.990944547507141
gpt-image-2.5-sunburst,claude_monet,2.781941912865932,2.514683736564672,28,0.24801397921801646,14,0.85739985222406,0.03491225487025886,14,0.5841794308953868
gpt-image-2.5-sunburst,alfred_sisley,1.5403656458906037,2.258195306949106,28,0.27414005949482817,14,0.9091110577963325,0.046961465733824204,14,0.2140172936912946
gpt-image-2.5-sunburst,camille_pissarro,2.167625029617108,2.2584127224909194,28,0.27323137171630496,14,1.2838706024414466,0.07481751129392061,14,0.13968493180787786
gpt-image-2.5-sunburst,paul_cezanne,0.7451554008889554,2.3985609479064474,28,0.3182989861050884,14,1.1699427816766161,0.0768410691968742,14,0.7035355204131528
google/gemini-3.1-flash-image,claude_monet,3.196233771471068,3.709205434464547,28,0.8294975870470584,14,4.478804760041879,0.18237135554794634,14,0.5331589906101606
google/gemini-3.1-flash-image,alfred_sisley,1.8114453121194911,3.1925157460274933,28,0.7078218198359395,14,6.031689847463592,0.3115757900638963,14,0.1327851750855667
google/gemini-3.1-flash-image,camille_pissarro,2.6391997330615213,3.3804950747349727,28,0.572056487415673,14,3.776263771333369,0.22006162990513906,14,0.05516755446916459
google/gemini-3.1-flash-image,paul_cezanne,2.348719534222835,3.4508160834291806,28,0.8768990765324012,14,6.7397177373419055,0.44266020965599573,14,0.388339233399181
black-forest-labs/flux.2-max,claude_monet,1.2287401856145657,1.9356720600282493,28,0.3397404167641293,14,2.5348013770069584,0.1032139572802538,14,0.2089902438397209
black-forest-labs/flux.2-max,alfred_sisley,1.5687047778384056,2.454742472791513,28,0.4163287613493737,14,2.5086834739412125,0.12958972612661204,14,0.127215938341237
black-forest-labs/flux.2-max,camille_pissarro,1.4359504108997712,2.5155529556849308,28,0.5695480968311286,14,3.351012204083291,0.1952801107434826,14,0.17751258200735495
black-forest-labs/flux.2-max,paul_cezanne,1.148763930995444,2.579434543414486,28,0.6224761287412268,14,3.9856844453364926,0.26177712197352665,14,0.2872094630207977
