model_a,model_b,scenes,difference,simultaneous_ci,nominal_ci,bootstrap_ci95
gpt-image-1,gpt-image-2,14,0.34648512655718083,"[-0.399607, 1.092577]","[-0.082175, 0.775145]","[-0.02284639683540342, 0.7275547552961301]"
gpt-image-1,gpt-image-2.5-flare,14,-0.16530304739366036,"[-1.027285, 0.696679]","[-0.660546, 0.329940]","[-0.5788926867607364, 0.2918766904542017]"
gpt-image-1,gpt-image-2.5-sunburst,14,-0.06900112242740783,"[-1.180694, 1.042692]","[-0.707713, 0.569711]","[-0.6113677797585803, 0.5177343295897959]"
gpt-image-1,google/gemini-3.1-flash-image,14,0.4629651008162311,"[-0.602338, 1.528269]","[-0.149094, 1.075025]","[-0.04887161158797757, 1.0116526821877627]"
gpt-image-1,black-forest-labs/flux.2-max,14,0.7714878271711941,"[-0.037184, 1.580160]","[0.306873, 1.236102]","[0.3438034918585066, 1.1759861861429102]"
gpt-image-2,gpt-image-2.5-flare,14,-0.5117881739508413,"[-1.149719, 0.126143]","[-0.878305, -0.145271]","[-0.823446229925212, -0.18598782445005574]"
gpt-image-2,gpt-image-2.5-sunburst,14,-0.4154862489845887,"[-1.180985, 0.350012]","[-0.855296, 0.024323]","[-0.7987205374443666, -0.04447716523006475]"
gpt-image-2,google/gemini-3.1-flash-image,14,0.11647997425905034,"[-0.921807, 1.154767]","[-0.480058, 0.713018]","[-0.44330638938053707, 0.6059307855385775]"
gpt-image-2,black-forest-labs/flux.2-max,14,0.42500270061401296,"[-0.161452, 1.011458]","[0.088061, 0.761945]","[0.12595027005723078, 0.7180278663430307]"
gpt-image-2.5-flare,gpt-image-2.5-sunburst,14,0.09630192496625256,"[-0.285607, 0.478211]","[-0.123120, 0.315724]","[-0.09869971194192717, 0.28325112871209107]"
gpt-image-2.5-flare,google/gemini-3.1-flash-image,14,0.6282681482098916,"[-0.283162, 1.539698]","[0.104615, 1.151921]","[0.13689699368762495, 1.0568274345333013]"
gpt-image-2.5-flare,black-forest-labs/flux.2-max,14,0.936790874564854,"[0.255552, 1.618030]","[0.545392, 1.328190]","[0.5887759976999143, 1.2739145211133645]"
gpt-image-2.5-sunburst,google/gemini-3.1-flash-image,14,0.5319662232436392,"[-0.435867, 1.499799]","[-0.024093, 1.088025]","[0.015824736459365524, 1.0062128886550707]"
gpt-image-2.5-sunburst,black-forest-labs/flux.2-max,14,0.8404889495986014,"[0.058186, 1.622791]","[0.391025, 1.289953]","[0.4220220647629541, 1.2117766145574211]"
google/gemini-3.1-flash-image,black-forest-labs/flux.2-max,14,0.30852272635496253,"[-0.846665, 1.463710]","[-0.355179, 0.972224]","[-0.21962322982798269, 0.9008857852496721]"
